solving instance uflp nldep holmberg 63 sqrt
Set parameter TokenServer to value "licences.gerad.lan"
Set parameter MIPGap to value 1e-06
Set parameter FuncPieceError to value 1e-06
Set parameter Threads to value 1
Set parameter FuncPieces to value -2
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (linux64 - "AlmaLinux 9.6 (Sage Margay)")

CPU model: Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 56 physical cores, 56 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3600
MIPGap  1e-06
Threads  1
FuncPieces  -2
FuncPieceError  1e-06

Optimize a model with 6290 rows, 6150 columns and 24150 nonzeros
Model fingerprint: 0xdff8b33a
Model has 30 function constraints treated as nonlinear
  30 POW
Variable types: 6120 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [2e-04, 1e+03]
  Objective range  [1e+00, 9e+02]
  Bounds range     [6e-13, 1e+10]
  RHS range        [1e+00, 1e+00]
Warning: Model contains large bounds
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.

User MIP start did not produce a new incumbent solution

Presolve removed 6060 rows and 90 columns
Presolve time: 0.01s
Presolved: 380 rows, 6061 columns, 12330 nonzeros
Presolved model has 30 nonlinear constraint(s)

Solving non-convex MINLP

Variable types: 6061 continuous, 0 integer (0 binary)

Root relaxation: objective 9.868654e+03, 60 iterations, 0.00 seconds (0.00 work units)
Another try with MIP start

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 9868.65405    0   30          - 9868.65405      -     -    0s
     0     0 9868.65405    0   30          - 9868.65405      -     -    0s
     0     2 9868.65405    0   30          - 9868.65405      -     -    0s
*  397   257             199    14295.649017 10095.2540  29.4%   2.7    0s
*  900   466             199    14294.138328 11500.1302  19.5%   2.3    2s
  1616   833 14275.7456   96   26 14294.1383 11521.3449  19.4%   1.9    5s
  3284  2279     cutoff  102      14294.1383 11765.5815  17.7%   1.6   10s
  4898  3613 14123.2581   77   20 14294.1383 11895.3642  16.8%   1.5   15s
  6524  4893     cutoff   90      14294.1383 11957.6099  16.3%   1.5   20s
  8156  6215 13880.1914   79   28 14294.1383 12007.3860  16.0%   1.5   25s
  9711  7390 12559.2022   45   27 14294.1383 12039.2985  15.8%   1.5   30s
 11230  8593 12639.4660   43   27 14294.1383 12049.0277  15.7%   1.5   35s
 12835  9842 12702.8672   51   27 14294.1383 12071.2002  15.6%   1.4   40s
*13527 10242             189    14280.167986 12073.7657  15.5%   1.4   41s
 14485 10946 13797.2117   73   25 14280.1680 12094.6080  15.3%   1.4   45s
 16042 12159 14176.6863   85   21 14280.1680 12109.6355  15.2%   1.4   50s
 17580 13325 14227.0493   53   24 14280.1680 12118.5183  15.1%   1.4   55s
 19151 14540 13175.8485   55   27 14280.1680 12132.1465  15.0%   1.4   60s
 20664 15733 14001.9129   71   24 14280.1680 12148.8566  14.9%   1.4   65s
 22199 16892     cutoff   78      14280.1680 12161.8930  14.8%   1.4   70s
 23734 18055 13521.8983   54   25 14280.1680 12170.8787  14.8%   1.4   75s
 25279 19224 14183.9022   48   21 14280.1680 12177.7268  14.7%   1.4   80s
 26833 20418 13676.6488   49   24 14280.1680 12187.8983  14.7%   1.4   85s
 28492 21801 13857.1287   56   25 14280.1680 12195.8409  14.6%   1.4   90s
 30018 22943 12955.4505   47   24 14280.1680 12203.5057  14.5%   1.4   95s
 31540 24059 12774.7850   44   26 14280.1680 12211.5264  14.5%   1.4  100s
 33050 25193 13562.9061   51   25 14280.1680 12221.8366  14.4%   1.4  105s
 34556 26335 14251.7784   77   23 14280.1680 12227.0894  14.4%   1.4  110s
 36045 27442 14136.8114   81   24 14280.1680 12232.9915  14.3%   1.4  115s
 37549 28536 14134.3553   82   20 14280.1680 12237.8356  14.3%   1.4  120s
 39032 29669 14164.9963   67   26 14280.1680 12244.7147  14.3%   1.4  125s
 40543 30808 14226.6235   72   25 14280.1680 12250.2568  14.2%   1.4  130s
 42094 31995 13803.9538   66   24 14280.1680 12255.2753  14.2%   1.4  135s
 43774 33405     cutoff  117      14280.1680 12258.9649  14.2%   1.4  140s
 45270 34495     cutoff   77      14280.1680 12264.7175  14.1%   1.4  145s
 46758 35583 14271.5043   84   22 14280.1680 12271.0773  14.1%   1.4  150s
 48239 36690 13834.7093   66   25 14280.1680 12279.9741  14.0%   1.4  155s
 49711 37786 13631.7615   60   24 14280.1680 12286.0404  14.0%   1.4  160s
 51187 38914 13346.7165   57   25 14280.1680 12290.6703  13.9%   1.4  165s
 52668 40005 12933.6368   47   26 14280.1680 12296.3194  13.9%   1.4  170s
 54122 41109 14155.0897   67   26 14280.1680 12299.4874  13.9%   1.4  175s
 55621 42224 12991.8411   49   26 14280.1680 12305.1928  13.8%   1.4  180s
 57082 43313     cutoff   75      14280.1680 12311.4696  13.8%   1.4  185s
 58637 44560 13699.7428   63   25 14280.1680 12315.5807  13.8%   1.4  190s
 60158 45651 12809.6253   35   26 14280.1680 12319.9534  13.7%   1.4  195s
 61628 46703 14052.9178   77   25 14280.1680 12322.8460  13.7%   1.4  200s
 63199 47880 13120.8959   54   26 14280.1680 12326.1529  13.7%   1.4  205s
 64677 48992 13240.1550   61   27 14280.1680 12329.6571  13.7%   1.4  210s
 66164 50059 12636.3451   43   28 14280.1680 12333.4088  13.6%   1.4  215s
 67588 51107 14151.2996   73   20 14280.1680 12337.1173  13.6%   1.4  220s
 69100 52269 14168.9965   89   23 14280.1680 12340.5090  13.6%   1.4  225s
 70609 53380 13269.5979   52   22 14280.1680 12342.6762  13.6%   1.4  230s
 72068 54443 13023.8837   49   26 14280.1680 12346.1858  13.5%   1.4  235s
 73517 55548 14267.6024   83   23 14280.1680 12349.7969  13.5%   1.4  240s
 74970 56657 14235.5699   73   25 14280.1680 12352.7986  13.5%   1.4  245s
 76489 57806 12826.4466   58   29 14280.1680 12358.0294  13.5%   1.4  250s
 77987 58862     cutoff   69      14280.1680 12362.7023  13.4%   1.4  255s
 79537 60052 13348.4965   55   26 14280.1680 12367.1405  13.4%   1.4  260s
 81050 61189 14174.6523   76   22 14280.1680 12371.2768  13.4%   1.4  265s
 82550 62299 14273.7097   75   23 14280.1680 12373.8641  13.3%   1.4  270s
 84030 63393 14016.5038   69   25 14280.1680 12376.3714  13.3%   1.4  275s
 85508 64481 13456.7381   54   24 14280.1680 12379.5104  13.3%   1.4  280s
 86968 65567 13701.5618   69   26 14280.1680 12381.8134  13.3%   1.4  285s
 88480 66685 12720.0246   54   30 14280.1680 12383.7559  13.3%   1.4  290s
 89946 67783 12528.1135   40   27 14280.1680 12385.4299  13.3%   1.4  295s
 91449 68860 14116.8838   67   23 14280.1680 12388.3184  13.2%   1.4  300s
 92965 70004 13529.0772   71   28 14280.1680 12390.1255  13.2%   1.4  305s
 94469 71102 14201.0095   77   24 14280.1680 12392.5074  13.2%   1.4  310s
 95917 72146 13233.8119   51   23 14280.1680 12394.9581  13.2%   1.4  315s
 97392 73231 12809.3910   45   28 14280.1680 12398.1066  13.2%   1.4  320s
 98847 74268 13213.7292   52   25 14280.1680 12400.1275  13.2%   1.4  325s
 100326 75339 13258.0129   46   26 14280.1680 12402.2085  13.2%   1.4  330s
 101814 76405 14248.8836   78   20 14280.1680 12404.1240  13.1%   1.4  335s
 103297 77478 13856.6924   74   24 14280.1680 12406.1928  13.1%   1.4  340s
 104690 78519 14216.3626   64   26 14280.1680 12407.9811  13.1%   1.4  345s
 106118 79567 13618.7551   46   25 14280.1680 12409.9712  13.1%   1.4  350s
 107604 80665 13766.7826   70   26 14280.1680 12412.5719  13.1%   1.4  355s
 109109 81772 14136.9713   69   21 14280.1680 12414.3588  13.1%   1.4  360s
 110683 82970     cutoff   95      14280.1680 12418.0972  13.0%   1.4  365s
