from,to,quantity
20,3,34
12,18,55
25,29,64
2,6,57
12,17,58
18,11,72
30,8,33
19,5,15
6,23,33
1,10,59
4,10,22
12,25,49
9,7,39
28,15,72
13,11,50
27,10,36
20,27,58
4,29,19
20,25,74
11,17,32
1,8,30
17,28,21
4,23,74
16,28,66
3,8,29
15,16,67
1,3,59
9,27,28
13,22,68
7,1,62
1,2,59
9,29,54
11,5,36
24,12,27
21,5,17
13,25,43
15,13,43
5,19,54
22,11,57
19,12,31
29,19,43
29,22,71
2,14,48
17,5,27
15,25,39
26,1,36
20,29,26
21,25,55
4,8,53
21,8,19
12,7,24
7,10,69
30,21,72
26,28,64
16,9,17
2,5,70
27,7,46
2,10,61
14,24,73
11,1,19
3,19,26
27,9,72
15,28,23
26,18,58
27,23,37
6,7,46
30,12,40
12,9,36
13,14,34
16,4,26
19,30,51
5,4,28
26,23,45
16,2,70
24,16,52
19,9,53
17,2,45
6,15,26
22,20,19
5,17,29
16,26,31
4,12,46
8,28,45
18,1,53
2,9,36
30,1,39
2,26,26
10,19,19
29,8,53
3,20,38
1,16,68
1,26,22
4,2,20
23,10,63
28,10,55
3,6,30
11,18,68
11,23,50
3,26,40
6,11,65
16,10,63
26,6,16
8,23,28
28,1,66
23,24,53
7,13,34
3,30,51
2,22,46
17,4,43
11,6,19
27,21,49
1,20,15
2,16,27
2,7,52
12,21,42
10,1,53
2,20,24
23,18,37
15,18,61
4,20,43
27,13,27
9,10,58
30,15,48
21,1,29
13,9,62
26,9,16
5,12,34
9,22,73
20,22,47
14,23,30
25,11,50
19,17,49
28,29,33
2,19,26
17,24,51
25,30,42
28,16,39
29,15,74
28,13,53
25,22,63
4,19,41
5,2,44
30,10,43
8,16,54
3,18,57
21,3,73
3,28,69
26,24,47
8,15,60
1,15,59
23,21,46
30,7,50
25,8,55
5,13,38
5,23,25
22,7,59
14,25,48
21,20,46
11,20,64
9,4,53
3,2,57
14,6,67
9,8,61
21,19,25
21,9,30
1,5,40
1,7,52
23,7,18
9,12,53
26,11,40
13,10,18
5,20,63
17,25,47
18,6,28
3,27,51
12,29,23
15,14,64
20,13,26
2,4,74
8,21,48
26,2,29
24,7,21
23,4,46
14,11,26
25,10,44
25,16,42
13,21,51
23,19,17
12,23,61
26,21,43
19,7,19
5,7,15
6,16,58
30,19,16
2,28,31
21,14,35
19,4,21
15,19,65
30,24,32
7,28,61
27,19,31
20,14,63
16,15,73
17,7,33
27,30,51
16,22,41
25,12,46
18,2,35
25,14,48
13,7,18
20,2,49
20,26,24
10,8,69
17,10,65
11,2,54
1,22,49
14,2,23
16,14,23
17,29,72
4,17,21
3,24,67
9,13,32
30,13,42
15,20,67
12,24,72
11,29,26
17,9,19
18,16,24
14,18,22
9,18,20
6,25,45
7,5,41
14,12,46
1,27,62
20,4,40
21,29,52
19,18,35
23,30,18
6,14,68
16,12,63
30,3,60
19,6,53
12,1,17
20,15,67
19,2,36
15,7,47
25,5,29
30,14,73
3,25,28
11,9,17
25,6,22
19,16,33
25,28,51
17,22,39
25,26,38
9,21,52
5,27,42
1,18,17
18,9,16
22,26,35
25,24,56
11,26,50
5,22,39
21,22,16
9,19,56
16,17,48
18,7,61
10,25,49
10,28,24
14,22,37
22,27,52
22,25,67
5,21,55
6,26,40
1,12,72
18,12,37
8,5,30
16,11,59
30,6,52
2,13,36
3,17,30
3,23,47
30,4,27
4,28,72
1,6,56
1,29,50
19,14,32
11,3,58
26,14,50
21,18,65
24,23,62
30,11,33
18,4,56
13,12,34
10,7,40
17,15,56
22,8,23
4,30,24
25,17,55
29,14,15
1,28,50
4,25,58
21,16,39
29,1,71
20,10,62
6,12,59
2,11,48
26,12,36
27,25,55
16,20,21
25,21,44
15,9,71
12,26,66
8,2,29
24,26,48
15,2,52
20,9,62
22,6,31
8,14,19
26,30,26
30,5,22
26,15,37
8,22,36
25,27,63
2,12,58
26,13,30
15,23,42
7,30,64
26,19,61
7,15,49
22,5,35
12,2,35
29,21,60
28,3,58
2,29,49
23,8,74
29,10,41
7,3,23
14,20,49
1,23,67
17,23,46
13,23,31
18,10,53
29,7,36
22,4,38
7,21,62
18,23,55
4,6,65
16,13,63
18,28,41
11,8,74
3,11,17
27,15,43
9,1,53
6,4,68
23,22,70
15,5,63
27,24,61
16,1,73
27,28,67
9,23,25
4,15,35
23,3,48
20,18,18
23,6,62
30,9,17
17,27,40
7,11,56
8,30,71
21,26,60
22,24,64
18,26,70
25,1,20
20,23,70
12,20,59
10,26,35
30,26,16
4,18,44
4,13,33
8,27,54
11,27,71
13,8,22
26,8,40
17,13,74
29,24,58
17,26,48
7,4,56
5,9,71
15,30,16
28,30,63
1,14,31
24,2,67
17,8,71
16,7,65
16,18,33
27,11,74
26,22,16
16,25,47
28,12,65
10,24,18
