from,to,quantity
24,1,44
15,20,27
10,26,31
9,16,73
21,22,71
18,11,46
6,5,41
9,14,21
30,4,64
8,29,46
19,30,70
23,29,68
16,15,74
22,26,19
14,6,18
25,7,64
18,17,31
11,15,27
10,30,43
7,25,40
5,20,64
23,12,35
22,25,72
22,8,30
8,4,53
26,16,18
1,11,55
26,18,51
16,3,31
5,4,25
27,29,24
23,30,32
12,9,63
14,13,69
20,17,56
29,19,67
20,3,69
26,2,56
26,22,37
5,22,53
16,4,16
3,30,69
6,30,48
14,16,73
8,16,56
15,28,24
2,23,62
17,2,65
24,20,57
25,13,60
27,3,61
7,17,71
20,18,73
11,14,47
14,10,18
25,6,72
10,19,19
22,15,34
9,13,56
16,26,20
28,20,20
12,11,15
15,3,37
12,17,41
8,6,73
14,4,23
20,19,69
24,22,35
28,19,50
5,25,28
20,10,57
17,21,19
21,3,32
14,11,56
15,18,28
18,8,41
2,4,35
17,29,56
7,30,46
15,9,26
22,27,67
27,16,32
17,1,40
12,21,64
9,4,15
21,8,24
23,25,69
22,21,15
18,4,53
16,11,27
2,11,16
26,30,37
12,16,32
25,18,51
26,23,24
19,14,69
19,15,74
19,21,19
28,30,23
22,30,72
13,3,39
28,17,45
18,22,37
24,14,56
4,19,39
2,12,30
17,25,18
26,21,35
29,24,54
26,24,17
21,1,35
15,25,19
1,30,70
21,17,39
29,22,46
16,17,62
12,24,21
4,13,20
5,18,49
1,2,16
5,8,61
15,10,44
12,8,51
19,24,38
23,24,49
16,29,50
3,26,50
3,4,74
3,6,51
4,24,52
19,7,20
29,20,57
26,14,25
3,27,56
13,25,53
22,14,30
13,20,44
21,11,25
12,29,51
9,19,18
10,6,73
9,3,74
5,17,29
30,25,22
20,11,22
7,27,45
28,27,70
27,25,25
22,4,26
12,15,60
3,15,58
22,2,54
19,5,16
5,14,23
30,21,35
12,3,38
26,9,37
5,1,36
16,21,17
8,1,33
2,20,55
20,15,62
14,19,69
3,2,52
22,11,69
30,14,20
3,16,22
9,17,48
25,30,17
27,22,42
16,12,30
1,20,39
27,19,25
30,9,46
6,11,29
6,4,30
22,28,65
9,15,37
28,6,25
15,4,72
14,2,35
19,3,61
16,28,71
21,9,25
14,26,40
18,9,50
15,14,32
22,29,28
9,12,19
10,15,47
22,3,36
16,2,50
30,6,50
24,6,68
26,7,21
12,5,69
26,17,36
22,1,66
22,6,44
12,2,30
2,15,33
23,9,19
16,1,31
11,19,21
22,9,41
5,3,38
19,18,73
6,26,36
10,2,20
6,24,44
6,8,74
4,9,36
28,23,61
20,29,43
4,26,50
21,25,20
12,1,28
24,2,37
11,26,71
16,18,38
23,4,28
16,10,55
14,5,30
12,18,72
3,17,70
19,1,41
16,30,69
9,11,21
17,28,28
10,18,36
19,17,23
3,9,31
20,16,23
11,10,54
3,10,31
19,27,74
19,22,36
2,5,29
11,27,18
21,5,69
6,15,65
18,16,60
29,12,52
21,2,33
30,23,44
14,9,73
1,3,48
2,24,62
29,1,34
28,26,50
29,14,42
20,28,56
12,14,39
3,20,34
20,4,32
25,26,65
4,1,63
21,20,40
3,28,73
28,5,37
28,4,34
30,27,50
6,27,29
17,10,74
17,15,32
6,18,40
27,5,20
27,18,17
24,29,41
3,18,46
10,23,70
13,4,17
9,8,54
10,24,20
5,24,56
8,25,28
14,20,26
3,1,51
15,12,63
12,7,62
19,29,37
25,11,40
16,20,16
25,15,70
22,16,71
12,13,33
2,7,60
10,9,70
6,16,41
22,13,39
18,30,46
21,18,36
11,17,37
17,7,59
2,16,50
20,1,52
24,8,67
26,27,57
18,12,64
28,22,46
1,7,64
10,11,55
10,4,25
1,13,54
2,17,74
3,25,30
10,3,43
3,7,37
13,9,57
13,22,20
21,23,36
9,7,53
2,27,20
18,14,68
18,29,48
16,6,27
3,13,58
19,12,53
12,27,23
19,25,66
26,5,60
10,22,26
7,23,50
13,7,69
2,14,15
5,2,28
21,30,56
3,19,49
6,21,44
2,9,36
20,14,36
18,24,61
28,3,38
16,19,70
18,27,51
19,6,67
28,7,47
15,1,74
9,22,52
15,11,33
29,17,61
7,16,53
30,5,46
3,14,22
7,8,36
23,11,26
4,25,35
15,30,42
25,16,68
29,9,38
7,21,54
29,10,58
1,16,15
25,22,42
22,19,20
30,17,27
26,6,72
22,12,22
18,7,29
27,28,71
16,5,42
25,10,30
13,23,60
5,23,20
7,5,62
30,3,23
15,19,65
19,28,30
7,18,68
27,6,25
19,11,22
9,21,40
3,11,33
7,2,35
20,6,20
14,22,44
9,24,65
6,25,32
26,3,55
28,2,47
1,27,46
20,23,27
24,17,25
7,19,31
24,12,56
7,26,40
8,30,57
25,23,59
8,18,58
27,14,22
18,15,71
6,28,46
25,9,48
29,3,68
27,10,36
24,23,59
22,7,38
15,17,24
3,22,21
6,9,68
