from,to,variable_cost,capacity,fixed_cost,x6,x7
1,10,9,825,1546,1,16
1,20,4,218,2842,1,20
1,7,8,874,4936,1,41
1,19,5,254,4438,1,70
1,5,8,203,3141,1,85
1,11,1,749,599,1,90
1,16,3,319,2443,1,96
1,17,3,512,4139,1,98
1,8,6,449,649,1,127
1,9,2,786,4338,1,129
1,4,9,721,2992,1,134
1,13,8,699,1297,1,145
1,15,7,885,3092,1,165
2,17,7,269,1895,1,19
2,18,3,790,1546,1,22
2,16,8,749,599,1,25
2,15,2,209,848,1,47
2,8,7,885,2194,1,56
2,7,6,282,4188,1,57
2,5,9,308,2394,1,59
2,1,9,885,1047,1,61
2,13,3,283,499,1,62
2,9,3,228,2543,1,71
2,10,7,226,1297,1,76
2,6,6,868,1097,1,99
2,3,1,928,948,1,124
2,19,7,743,549,1,174
2,20,1,758,1995,1,204
2,12,3,203,4886,1,229
3,11,9,431,2244,1,11
3,16,3,693,2144,1,32
3,17,2,287,3839,1,63
3,18,8,687,4886,1,67
3,14,1,691,3391,1,82
3,4,6,484,1546,1,121
3,1,9,458,3191,1,132
3,13,6,546,2194,1,166
3,10,7,669,1745,1,172
4,18,9,630,1745,1,7
4,7,7,256,3740,1,80
4,14,9,885,2743,1,103
4,19,6,916,3441,1,111
4,10,6,820,2294,1,177
4,8,5,626,1396,1,212
5,3,1,228,4188,1,36
5,14,6,496,1845,1,64
5,8,4,758,4587,1,107
5,6,6,887,2842,1,115
5,18,2,535,2244,1,130
5,10,2,285,3141,1,167
5,15,3,403,2144,1,184
5,16,9,229,4737,1,211
5,11,2,505,2992,1,220
5,7,3,909,4438,1,222
5,20,1,646,1795,1,223
6,11,7,661,2743,1,2
6,20,9,295,1297,1,10
6,12,1,581,2842,1,37
6,13,6,524,549,1,87
6,10,2,581,3141,1,101
6,8,1,793,2693,1,104
6,2,3,406,4388,1,120
6,16,1,259,3790,1,135
6,19,9,607,3989,1,155
6,18,7,518,2144,1,158
6,15,2,516,4537,1,159
6,14,6,302,2045,1,202
7,20,3,635,4139,1,1
7,5,1,909,2493,1,26
7,2,8,792,4637,1,27
7,1,6,702,3889,1,86
7,3,9,581,599,1,114
7,11,7,916,1945,1,122
7,6,8,864,2543,1,128
7,4,8,488,3141,1,178
7,9,1,256,1646,1,217
7,13,6,302,4886,1,218
8,1,6,408,1596,1,5
8,17,5,725,4587,1,65
8,4,6,609,1895,1,109
8,10,6,561,1496,1,144
8,2,5,336,1795,1,150
8,7,6,229,1197,1,195
8,15,1,810,3590,1,196
8,6,3,568,3839,1,203
8,12,7,632,4637,1,225
9,14,6,246,2992,1,44
9,20,7,300,2144,1,48
9,10,7,769,948,1,75
9,17,8,596,3291,1,91
9,5,6,373,2593,1,93
9,15,1,909,2094,1,102
9,11,6,196,1995,1,126
9,1,1,555,3640,1,133
9,8,2,786,1396,1,146
9,7,4,868,3939,1,151
9,19,3,654,3790,1,163
9,6,5,203,1147,1,164
10,3,5,516,1147,1,68
10,5,4,434,1895,1,84
10,13,5,900,3790,1,110
10,20,8,782,998,1,149
10,9,7,494,549,1,179
10,12,9,207,4637,1,182
10,14,1,665,2593,1,190
10,4,4,706,1396,1,197
10,6,6,360,1745,1,221
11,8,1,868,898,1,3
11,4,5,879,3092,1,46
11,7,7,758,2942,1,72
11,13,3,401,3790,1,73
11,20,6,922,898,1,95
11,19,6,544,4587,1,153
11,3,9,821,3490,1,162
11,16,2,812,4886,1,169
11,12,4,896,2443,1,173
11,9,9,827,1596,1,187
11,2,3,507,649,1,207
12,9,5,196,4338,1,29
12,20,2,447,3441,1,43
12,6,6,881,1546,1,74
12,13,6,404,1197,1,77
12,17,3,758,2094,1,116
12,10,9,326,4687,1,119
12,11,7,440,4338,1,141
12,18,7,324,3191,1,143
12,2,5,821,2892,1,148
12,15,3,555,3490,1,160
12,8,7,431,798,1,175
12,7,2,431,748,1,210
12,4,3,218,3989,1,215
13,5,7,425,1396,1,18
13,8,9,224,2543,1,33
13,9,2,393,4188,1,97
13,6,4,877,2144,1,105
13,11,9,483,3291,1,108
13,3,8,306,3241,1,171
13,1,9,842,3391,1,199
13,17,4,568,1696,1,213
13,16,1,449,2194,1,214
13,12,6,460,1995,1,230
14,6,1,708,1347,1,23
14,9,3,617,3341,1,30
14,10,6,295,3690,1,40
14,4,9,563,1496,1,52
14,5,8,486,3341,1,69
14,20,7,352,3989,1,89
14,15,4,228,1496,1,94
14,8,9,820,1696,1,112
14,3,3,712,1845,1,117
14,2,2,715,3740,1,138
14,19,2,550,4089,1,147
