from,to,quantity
26,28,24
27,28,49
13,22,68
26,14,53
26,8,41
14,1,50
9,22,20
21,29,23
16,12,61
1,13,54
9,19,46
9,14,22
15,25,38
2,28,43
20,3,50
23,24,53
24,21,29
11,25,52
29,2,33
1,14,26
1,7,30
29,21,49
28,20,36
26,11,72
12,22,30
12,27,43
15,26,43
29,23,35
20,11,64
14,15,43
15,2,17
10,11,44
4,7,73
15,8,54
14,27,72
30,26,58
3,21,46
20,17,38
24,28,29
5,13,50
5,8,65
14,12,52
17,5,61
25,24,32
1,5,17
15,6,27
5,3,17
3,23,67
1,2,49
12,26,66
13,16,22
20,30,40
25,30,26
3,5,38
25,14,25
20,15,72
8,29,22
2,23,54
16,30,73
27,8,52
18,26,52
26,17,64
18,2,15
24,13,49
30,7,61
29,11,40
28,5,31
6,11,27
16,15,19
13,21,38
21,20,60
23,15,34
3,26,42
29,30,31
24,7,32
25,10,63
19,21,44
20,8,74
19,15,58
12,28,67
9,12,18
4,30,17
10,17,62
26,13,74
27,19,74
10,25,28
5,20,55
3,14,33
27,25,36
7,11,57
16,7,38
8,28,63
1,9,56
5,23,58
12,6,64
24,27,51
17,30,29
9,21,19
16,28,18
5,28,64
26,6,41
11,28,15
10,12,61
19,25,70
22,24,51
10,24,44
18,7,64
23,30,23
24,11,56
16,13,47
6,22,50
29,13,28
27,7,46
8,5,19
18,5,49
26,22,67
30,24,40
17,6,29
14,19,42
17,7,38
28,10,62
6,10,23
15,10,57
15,22,51
16,25,18
19,2,31
13,25,49
29,10,27
13,15,57
11,6,26
6,30,64
8,22,27
11,3,40
1,28,55
18,1,17
1,3,28
25,18,33
19,5,57
3,27,15
30,6,43
14,4,32
1,22,15
16,18,32
23,26,67
30,12,47
12,21,41
15,24,73
15,29,63
23,11,16
6,20,40
24,14,53
20,22,56
25,6,74
9,5,56
10,28,60
15,11,36
5,6,31
21,13,39
28,4,38
1,27,70
11,26,61
18,16,47
13,27,35
30,8,41
25,20,25
26,19,38
26,10,19
19,26,54
26,30,15
9,16,34
15,9,73
14,21,70
16,1,36
9,25,44
15,27,49
19,14,20
6,1,54
3,18,55
4,15,21
25,13,51
16,19,28
16,24,56
12,30,72
20,28,66
3,2,59
30,17,72
14,18,48
25,21,30
24,1,39
25,26,67
18,28,15
20,6,20
19,18,43
25,2,31
21,14,72
3,24,71
10,4,40
30,23,43
13,23,52
11,20,41
24,3,57
28,27,23
24,8,28
15,18,64
6,29,57
26,12,43
26,5,39
27,24,70
12,4,45
16,3,72
13,18,39
10,14,52
15,4,68
25,9,52
26,3,37
4,25,39
4,22,15
2,18,44
17,2,49
2,26,56
21,16,35
13,26,31
8,12,21
15,3,37
30,25,50
22,3,36
17,4,65
29,15,60
24,16,59
10,1,53
19,9,71
6,17,44
3,29,33
24,17,17
23,2,35
24,30,36
23,28,74
3,8,68
21,12,45
5,22,62
14,28,38
9,26,47
24,4,71
25,5,56
18,8,49
4,18,31
21,6,69
30,11,53
19,22,39
10,29,40
2,11,64
23,10,54
22,7,31
20,14,57
7,21,47
7,30,49
30,29,19
14,10,57
3,17,45
10,26,28
2,17,23
23,29,71
29,17,58
10,15,52
10,22,44
9,6,38
11,24,61
14,8,27
24,10,57
6,2,21
4,14,17
1,20,71
7,22,70
27,22,15
25,29,73
16,2,45
5,24,17
9,27,68
3,15,64
14,20,17
24,12,54
5,2,45
6,23,38
8,20,71
24,22,38
28,3,21
10,23,53
17,1,69
16,21,33
3,12,22
13,29,16
25,3,27
3,9,72
12,5,73
17,14,38
28,11,22
22,10,44
17,24,30
12,19,27
12,13,41
18,9,61
7,10,21
30,28,21
19,1,39
14,22,37
15,1,23
20,24,58
6,8,67
7,27,64
7,3,68
7,5,18
12,11,63
13,19,30
22,6,53
9,29,48
1,19,20
27,10,40
22,27,37
1,24,59
20,27,47
22,12,68
19,7,42
11,13,63
11,23,55
7,26,71
27,20,40
23,6,71
16,29,26
5,4,59
13,4,15
30,9,69
20,26,20
6,5,49
3,28,15
23,9,15
19,17,17
2,1,42
8,10,20
29,16,55
28,12,55
17,13,53
28,22,71
21,3,31
4,24,19
10,21,69
7,20,50
21,9,58
13,17,15
2,29,65
19,16,18
20,10,69
29,20,61
18,22,73
21,15,37
13,11,38
16,10,62
22,23,22
18,6,36
17,12,35
30,19,46
12,24,43
27,23,45
28,15,72
27,1,26
13,9,43
8,3,44
10,18,65
27,6,31
11,8,23
4,5,22
26,2,61
18,29,17
7,14,22
4,6,46
28,7,44
23,1,58
19,24,38
22,26,46
14,29,51
6,14,28
25,23,70
21,30,32
8,1,31
13,12,34
4,11,72
14,2,58
5,30,57
6,27,52
5,7,26
27,29,71
27,14,45
22,25,26
19,4,32
26,7,49
2,30,62
21,17,32
26,1,61
30,3,71
2,16,62
16,8,68
