from,to,quantity
9,5,67
23,12,70
28,29,20
18,17,65
21,1,36
18,12,66
18,28,56
14,11,24
24,1,15
8,4,31
15,21,44
28,15,29
11,13,38
13,28,65
26,18,32
8,5,16
2,3,49
9,24,67
8,29,56
25,12,35
2,21,46
9,16,28
12,22,31
16,3,26
3,8,24
17,10,40
9,26,37
30,29,28
24,16,64
26,3,72
9,11,58
7,13,45
25,21,63
9,4,36
30,3,37
6,20,26
6,13,58
23,20,53
4,18,23
11,30,66
14,17,74
14,12,37
1,9,44
23,30,28
10,23,43
2,29,72
3,11,71
20,29,23
3,14,38
1,8,23
4,25,20
10,4,55
12,19,52
6,12,68
3,16,72
13,23,68
3,27,26
20,14,53
12,25,72
26,6,34
13,12,46
18,26,16
1,4,17
14,7,62
11,1,57
9,12,52
19,8,58
17,2,53
11,14,26
14,8,29
4,19,66
5,26,33
23,6,53
17,22,28
30,17,47
26,30,34
13,22,44
11,29,39
25,3,31
16,6,21
8,21,59
29,2,71
17,12,34
21,3,28
18,22,56
23,7,23
11,10,56
18,3,50
20,2,20
26,24,74
26,28,51
27,26,65
28,11,63
22,12,17
13,1,47
15,11,21
28,20,33
28,13,73
8,9,20
30,10,26
21,4,49
26,23,29
11,9,72
28,23,52
10,20,65
26,19,37
19,10,64
26,29,49
8,17,24
17,15,27
18,9,48
18,27,43
22,23,32
10,9,16
17,30,71
8,11,33
4,20,18
16,22,72
16,2,63
25,14,34
7,25,43
4,9,18
2,20,15
19,7,50
14,1,46
11,15,57
4,23,27
30,28,71
14,26,47
24,15,61
18,23,29
17,13,34
4,27,15
19,20,49
25,9,15
17,1,23
14,25,66
24,2,22
15,9,68
25,16,33
4,7,74
13,14,64
18,4,23
10,26,49
21,20,58
4,5,68
3,25,69
19,6,19
22,9,36
28,7,32
10,12,52
8,19,69
20,13,31
17,8,37
30,4,45
19,13,71
22,24,51
20,10,46
10,1,42
30,20,40
11,17,38
3,5,70
5,10,21
12,17,28
4,3,35
19,24,15
11,2,40
17,19,42
1,26,54
30,21,70
19,5,34
22,17,24
6,30,72
25,18,70
14,22,19
12,4,54
2,22,69
14,9,27
13,5,36
8,1,71
12,6,66
21,17,47
19,29,46
10,8,19
20,1,71
29,20,58
4,13,69
18,6,52
30,9,55
3,7,56
2,30,35
12,30,28
11,12,56
3,18,32
21,26,38
8,6,54
16,25,63
7,15,46
29,30,45
20,21,31
28,10,26
30,14,21
30,8,38
20,19,32
29,24,27
14,19,28
4,14,70
29,13,15
25,27,30
27,3,40
4,17,52
4,29,18
19,23,26
9,13,36
15,28,15
13,7,70
13,9,39
11,16,68
19,3,17
7,18,74
9,17,47
3,26,20
28,3,70
11,26,69
24,8,56
21,23,72
29,23,42
25,20,65
22,19,31
29,11,23
8,18,44
29,26,62
23,29,71
9,2,29
14,15,24
20,24,27
4,28,45
22,8,57
11,25,38
18,25,22
2,26,15
30,1,57
2,24,59
12,26,21
28,21,22
10,19,38
14,3,58
6,24,27
10,30,70
23,25,22
5,11,28
27,2,71
24,10,69
25,7,69
4,1,28
25,19,30
30,13,28
22,11,52
24,30,39
27,19,24
29,3,59
12,23,56
3,4,73
10,25,21
26,9,35
18,8,21
22,18,47
27,7,41
29,21,56
16,5,70
18,7,16
20,18,42
2,23,74
22,29,21
9,10,34
29,22,60
30,7,27
1,11,70
21,29,63
25,17,42
30,19,56
5,18,52
2,18,74
22,28,50
23,18,59
14,5,67
5,13,26
3,29,25
27,11,41
25,4,62
3,19,25
26,25,64
19,12,52
23,24,63
14,10,15
27,28,69
13,16,38
12,13,41
22,26,51
15,20,41
6,23,25
26,11,33
12,27,23
11,3,20
21,24,32
4,10,35
4,24,59
28,27,30
10,14,51
27,30,51
6,10,41
21,25,64
24,4,44
13,18,48
11,19,43
9,6,26
19,18,48
17,23,17
30,22,40
10,2,29
28,14,61
13,24,42
10,28,67
16,27,47
16,12,63
26,2,64
7,12,40
3,12,51
7,30,49
22,10,57
8,15,46
23,13,31
17,14,65
29,25,40
17,3,18
12,21,72
13,11,70
25,28,35
28,25,51
4,6,56
8,26,49
2,25,44
3,2,15
9,29,16
22,13,26
21,12,16
20,17,48
4,15,37
8,13,46
21,9,23
3,17,67
17,26,52
12,2,37
7,4,23
25,13,26
28,19,25
7,9,63
14,20,35
24,6,35
19,25,23
8,27,65
28,30,26
12,14,67
3,22,60
12,15,40
4,16,60
30,16,31
23,11,36
1,20,22
20,7,34
5,29,48
7,21,65
2,12,43
4,8,38
19,2,74
27,15,27
8,12,66
15,7,23
1,30,55
12,11,22
22,4,19
6,28,54
1,3,55
16,13,51
19,28,51
29,7,74
3,20,37
12,24,72
4,30,31
9,19,24
7,6,53
24,17,67
3,1,41
13,30,29
8,3,58
16,8,65
12,9,68
23,27,23
8,14,33
19,15,69
