from,to,quantity
11,19,47
30,3,59
19,17,72
28,4,70
24,5,53
7,15,55
9,25,36
5,14,21
3,8,19
28,25,49
19,23,57
19,6,31
10,2,63
8,14,59
11,21,50
1,11,60
20,9,27
23,15,55
24,1,61
16,21,50
7,28,67
9,3,42
1,5,50
10,25,72
24,11,17
1,17,17
10,12,29
28,19,74
21,20,52
20,5,30
30,7,62
26,12,47
26,3,36
16,12,54
23,16,53
15,23,52
15,28,31
7,9,59
24,15,48
19,25,46
2,28,51
8,5,44
9,19,20
9,6,35
12,10,46
6,23,27
10,30,20
28,9,18
30,9,33
21,22,67
10,17,23
25,2,70
19,24,44
30,2,30
3,30,56
13,7,73
15,11,36
1,20,48
13,14,56
2,25,64
1,9,15
11,5,60
4,15,39
26,18,69
28,20,31
21,30,49
1,26,19
10,29,72
2,6,62
23,20,40
25,23,24
24,27,37
24,7,73
5,9,40
13,30,17
23,22,30
15,22,41
17,23,70
19,18,43
2,29,22
19,16,17
19,8,49
1,8,68
24,29,69
18,9,22
24,10,20
29,13,44
13,29,45
27,23,34
3,25,25
6,29,49
27,12,41
13,1,50
30,25,15
10,20,48
16,9,42
16,20,34
3,18,66
10,4,49
10,15,40
3,24,27
23,29,58
4,9,55
11,24,33
23,9,54
29,8,56
24,12,54
9,21,18
25,3,52
20,8,35
16,26,69
8,11,52
27,20,44
30,1,39
30,22,66
12,15,35
13,21,54
3,27,55
19,9,62
21,24,21
13,20,71
16,18,67
20,22,53
9,5,40
8,22,31
9,29,17
15,9,64
28,15,17
1,4,33
26,25,24
10,16,46
25,26,51
7,2,46
27,21,31
25,21,43
30,4,66
21,18,46
5,27,22
2,22,36
27,15,19
27,14,32
20,10,38
25,11,61
2,3,29
4,12,45
5,18,70
15,8,64
24,6,56
3,10,69
13,19,71
2,26,73
7,20,37
7,12,41
7,25,49
20,13,45
21,15,24
24,22,58
25,6,33
16,24,39
13,9,20
14,28,41
25,18,44
15,1,23
22,17,37
20,21,61
12,14,55
15,30,32
22,5,24
26,4,32
30,27,27
25,16,29
27,24,71
5,23,18
16,3,40
26,16,29
12,2,15
10,23,69
22,29,73
27,16,19
13,26,23
12,4,17
2,21,43
4,17,54
17,6,26
6,7,59
13,24,42
14,8,23
13,8,39
6,3,49
23,14,55
29,2,15
22,11,43
20,4,68
13,17,65
3,9,23
19,15,45
29,4,28
23,2,41
9,14,47
26,1,63
16,13,42
28,11,70
27,25,20
21,3,44
11,16,55
27,4,21
6,9,16
8,26,19
1,18,52
23,27,59
30,18,18
6,18,23
9,30,67
4,20,64
23,7,50
30,24,62
13,6,42
15,29,40
2,23,32
14,4,68
2,18,33
6,24,15
1,23,47
29,7,56
15,4,29
19,11,70
19,1,36
14,3,21
19,26,20
30,12,48
9,4,67
29,17,15
28,21,30
1,15,24
16,28,63
17,1,21
14,20,29
30,29,31
3,22,41
12,13,49
1,2,30
13,22,65
28,1,45
9,2,40
4,24,74
27,22,63
21,19,31
13,25,56
25,9,70
13,5,52
9,24,64
13,3,18
4,13,47
15,13,47
16,6,32
14,30,35
6,14,16
28,18,21
26,28,70
14,12,16
27,5,22
29,14,28
29,11,48
4,7,68
26,13,44
22,8,42
13,12,41
29,16,49
15,12,56
4,25,29
25,14,46
23,18,72
12,19,24
20,27,73
10,24,38
18,20,29
4,5,18
29,9,18
12,1,43
25,13,74
25,4,19
11,12,44
28,14,40
30,14,55
15,26,48
15,21,46
5,28,65
7,4,17
29,28,43
29,3,65
15,27,67
1,3,51
18,4,71
1,21,71
1,30,36
26,14,28
5,17,74
11,29,22
20,26,49
7,11,46
14,25,57
11,8,40
18,30,74
2,9,61
24,25,52
2,13,40
4,29,54
29,27,65
25,10,58
22,26,44
27,2,29
30,15,73
15,25,65
2,24,69
12,20,15
22,4,34
24,21,52
25,22,15
26,10,55
11,26,21
21,11,61
5,4,74
7,10,51
16,7,18
28,12,47
25,17,49
20,29,55
20,15,18
10,19,17
9,11,29
1,12,70
19,30,32
2,20,57
4,1,71
26,17,16
5,7,59
25,24,17
25,8,59
24,13,56
12,17,17
2,19,30
20,11,15
26,7,30
13,23,29
26,8,49
12,30,44
20,23,59
11,17,60
13,11,40
15,17,35
16,1,17
15,2,38
13,18,62
10,21,48
30,5,51
4,27,40
20,19,16
10,11,58
26,9,27
22,21,15
4,22,26
25,20,46
8,18,54
21,26,59
29,10,62
19,3,24
19,10,26
10,22,64
3,15,46
7,17,59
17,3,41
2,4,66
19,12,22
18,7,68
2,7,43
2,10,22
9,18,31
15,14,69
2,8,62
11,2,17
22,27,58
17,20,27
8,28,18
3,16,19
27,7,68
16,8,26
16,19,36
21,5,35
13,2,48
20,2,24
30,17,56
30,26,46
9,8,39
17,14,35
27,11,18
2,11,43
2,12,50
6,13,62
29,21,68
6,2,32
