from,to,quantity
9,18,49
20,16,39
19,5,50
4,17,57
1,8,65
12,8,16
2,7,58
5,2,62
9,19,27
13,10,74
4,10,59
1,10,28
12,6,18
8,13,19
18,6,57
1,13,30
19,1,50
15,8,71
1,5,58
12,19,21
1,11,61
16,12,71
16,19,24
20,8,24
3,13,17
20,13,74
15,5,43
6,20,63
11,1,57
13,19,20
17,3,19
3,12,33
10,12,65
13,16,39
18,10,67
5,6,56
16,8,19
20,4,47
16,13,25
17,5,47
19,13,18
8,18,39
17,13,32
7,10,35
10,17,64
4,6,41
7,11,59
1,16,53
15,2,39
20,18,72
8,17,49
14,2,73
12,14,72
4,2,57
7,6,34
4,13,44
6,11,30
16,5,73
14,19,38
11,20,16
2,11,36
1,12,49
3,1,21
4,12,25
16,17,73
5,19,58
5,10,41
2,10,68
17,18,44
9,3,70
9,5,15
12,4,64
1,18,45
15,14,26
18,9,53
2,20,17
18,1,35
20,2,74
20,19,53
6,18,38
4,5,45
15,1,22
4,19,55
13,15,15
20,7,57
2,12,50
3,15,25
9,17,54
18,12,35
19,14,22
3,6,66
5,20,49
10,13,33
17,10,64
15,7,24
8,10,22
10,3,26
4,11,69
12,20,29
3,10,60
5,3,59
6,8,70
1,6,61
12,17,49
15,17,28
4,18,17
6,13,29
7,8,35
10,20,16
17,16,53
2,18,68
12,18,73
17,11,49
3,7,52
1,17,28
3,5,32
18,8,49
8,9,61
16,10,16
7,2,17
11,5,65
16,4,23
10,7,41
8,19,66
14,13,38
5,8,45
9,10,51
4,14,35
7,20,63
3,14,62
7,5,31
5,15,43
3,4,26
16,1,38
17,20,48
9,6,49
15,12,60
16,18,20
3,2,41
8,4,51
2,4,63
19,16,72
7,9,60
12,9,57
3,19,48
1,4,42
13,2,23
15,3,60
18,15,66
8,20,32
9,16,48
16,15,59
16,3,35
8,2,36
20,11,41
2,16,74
15,11,43
18,20,31
18,2,41
8,7,68
12,16,52
7,3,42
12,13,19
12,1,35
16,7,31
10,4,67
17,6,67
3,18,31
8,15,56
14,20,40
19,9,72
17,7,19
14,5,17
7,14,16
2,8,45
17,14,34
5,4,62
6,12,56
15,9,16
2,1,55
5,12,37
19,18,21
4,9,65
6,19,43
20,17,26
1,20,69
1,14,23
20,10,45
7,4,51
14,10,35
19,12,48
14,1,63
4,15,54
4,8,51
1,19,69
7,17,59
3,17,57
8,3,17
9,20,67
16,6,74
