from,to,quantity
9,18,27
18,8,54
16,5,23
24,1,62
30,23,16
10,13,51
1,3,43
3,11,46
16,21,15
10,27,61
20,23,42
23,27,40
22,3,59
2,5,24
26,18,68
27,17,69
22,25,59
1,22,64
13,19,54
10,8,47
2,3,37
3,5,20
14,25,67
18,15,51
23,25,17
13,11,37
19,30,62
19,16,55
26,7,40
26,16,62
2,25,27
5,19,28
11,5,72
11,13,55
26,6,28
20,15,69
16,27,54
18,7,31
27,7,15
2,28,27
1,5,21
21,8,32
2,22,71
6,22,60
25,14,51
14,10,39
3,17,20
1,15,68
13,5,17
14,18,42
25,13,17
24,27,66
30,12,16
26,9,18
26,8,52
10,20,47
5,2,23
29,14,37
17,24,36
19,28,26
13,18,43
3,20,40
12,2,60
11,3,36
16,15,74
22,30,38
3,4,52
18,29,57
15,25,62
14,2,22
3,28,47
21,17,34
12,22,43
12,27,29
24,6,64
6,7,19
13,28,15
18,12,45
27,26,37
15,6,61
28,9,67
21,1,30
24,15,70
14,20,48
10,23,32
28,3,42
10,28,46
20,12,24
3,13,32
12,11,15
12,18,64
27,14,27
20,27,70
10,7,29
3,16,54
8,28,20
8,15,30
10,18,68
19,5,52
28,17,46
