solver,problem,instance,gridno,cost,dualbound-0.1,primalbound-0.1,gap-0.1,nit-0.1,npieces-0.1,cpu-0.1,dualbound-0.01,primalbound-0.01,gap-0.01,nit-0.01,npieces-0.01,cpu-0.01,dualbound-0.001,primalbound-0.001,gap-0.001,nit-0.001,npieces-0.001,cpu-0.001,dualbound-0.0001,primalbound-0.0001,gap-0.0001,nit-0.0001,npieces-0.0001,cpu-0.0001
ipwlb,knapsack,knapsack-10-1,1,exp,-879.2087822882926,-878.3336515320435,0.09963534412265852,11,89,64.181058781,-878.5505095867825,-878.4819634845071,0.0078027899404432026,16,124,64.977123,-878.5176626484399,-878.5100348697346,0.0008682631276343266,21,155,65.61175753100001,-878.5121317428673,-878.5115806042717,6.273549578229514e-5,28,186,66.465047221
ipwlb,knapsack,knapsack-10-1,10,log,-445.45654402601735,-445.06588064080233,0.08777652976960325,12,62,0.537331799,-445.2499814896945,-445.21804228645806,0.0071738339875942365,16,89,0.694074896,-445.2266110202105,-445.22260758191453,0.0008991992382666515,21,104,0.827277802,-445.22406427713406,-445.2236299502574,9.755252134570644e-5,25,127,0.9907089130000001
ipwlb,knapsack,knapsack-10-10,100,log,-252.72916742713417,-252.47936415840496,0.09894007360240482,9,57,0.553217833,-252.5549894418182,-252.52987127707195,0.009946611313439784,13,74,0.686674062,-252.53400580661312,-252.5323840610778,0.0006421930958862267,18,96,0.8547314960000001,-252.5328508967359,-252.53269800815178,6.054209428372167e-5,22,111,0.99697564
ipwlb,knapsack,knapsack-20-1,101,exp,-1557.491292022573,-1556.0436248068427,0.09303513041994171,8,149,84.897601788,-1556.6473160514633,-1556.5004066433862,0.009438443282770975,13,196,85.248821566,-1556.5277650494065,-1556.5142472458047,0.0008684664227000012,19,252,85.61148592900001,-1556.5241891772412,-1556.5226454844778,9.917573430832182e-5,23,281,85.820873617
ipwlb,knapsack,knapsack-20-1,102,cubic,-750.4225152314895,-750.0570257899178,0.04872822052252987,6,109,14.181475665,-750.1461589880881,-750.1049626073916,0.005492082141855602,11,130,14.504888421,-750.1190307242459,-750.1116122650737,0.000988980713121456,14,213,15.438798198,-750.113811840779,-750.1131513656676,8.805006421077915e-5,21,262,16.719834989000002
ipwlb,knapsack,knapsack-20-1,103,sinabc1,-738.7539052315049,-738.0615875878682,0.09380215083395707,12,184,1.40276322,-738.4053041379397,-738.3588436467908,0.0062923999013009815,18,235,2.4274521150000004,-738.3677983832238,-738.3645910834449,0.0004343788715759412,23,298,3.1718568030000003,-738.3652551177363,-738.3647438442553,6.924402679037339e-5,29,353,4.0719175100000005
ipwlb,knapsack,knapsack-20-1,104,sinabc2,-735.2374915615103,-734.5652155708578,0.09152025938636381,14,315,1.9215831890000001,-734.6971274890134,-734.6579899771974,0.0053273104423979065,19,382,2.6786766,-734.6636078294741,-734.6579899771974,0.0007646894682093423,21,400,3.0144373740000003,-734.6603317657926,-734.6599085187432,5.7611289864044444e-5,28,438,4.136796396
ipwlb,knapsack,knapsack-20-1,105,sinabc3,-772.7136690046071,-772.3128636185655,0.05189676424185048,12,345,1.902105493,-772.4742262239256,-772.4099081038684,0.00832694135360419,17,422,2.7023175850000003,-772.436770651683,-772.4300688609513,0.000867624268114868,22,486,3.4676904640000004,-772.4324097065738,-772.4317253262832,8.860074854472224e-5,29,562,4.740229743
ipwlb,knapsack,knapsack-20-1,107,divexp,-745.856266453092,-745.436984644049,0.0562464457331995,7,287,44.024864663,-745.5253351709388,-745.4579487176023,0.00903960491029214,10,315,44.222323376000006,-745.4876035158934,-745.480268223391,0.0009839686997828662,14,351,44.600769124,-745.4816525845272,-745.4811457643177,6.798565092435902e-5,20,382,45.104457339
ipwlb,knapsack,knapsack-20-1,108,sqrt,-755.5246635437719,-754.9090179750731,0.08155228696965339,17,128,1.021920151,-755.0962751035478,-755.0373202367646,0.0078082056612411455,23,173,1.57907478,-755.055107528541,-755.0498941246371,0.0006904714436042425,29,227,1.9105431030000002,-755.0524308841107,-755.0517442560921,9.09378759527189e-5,34,262,2.125591608
