node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,3133.0,2506.0,5805.0,10755.0,18347.0,17.260508
2.0,2189.0,1752.0,3328.0,6166.0,10519.0,14.15995
3.0,1798.0,1439.0,4093.0,7582.0,12935.0,21.202191
4.0,1798.0,1439.0,3603.0,6675.0,11387.0,18.665325
5.0,2645.0,2116.0,2764.0,5120.0,8735.0,9.731216
6.0,995.0,796.0,1952.0,3616.0,6168.0,18.26747
7.0,1978.0,1583.0,1846.0,3419.0,5832.0,8.689394
8.0,49.0,39.0,284.0,527.0,898.0,55.097561
9.0,4120.0,3296.0,7708.0,14280.0,24360.0,17.42398
10.0,1045.0,836.0,1829.0,3388.0,5779.0,16.308989
11.0,3927.0,3142.0,12334.0,22850.0,38981.0,29.253701
12.0,929.0,744.0,2208.0,4089.0,6976.0,22.130323
13.0,2218.0,1775.0,6005.0,11125.0,18978.0,25.216333
14.0,3879.0,3103.0,8101.0,15008.0,25602.0,19.451223
15.0,2999.0,2400.0,2850.0,5279.0,9005.0,8.848424
16.0,2234.0,1787.0,7338.0,13594.0,23190.0,30.598485
17.0,1373.0,1099.0,3916.0,7255.0,12377.0,26.565066
18.0,1507.0,1205.0,3053.0,5656.0,9648.0,18.876417
19.0,2211.0,1769.0,8128.0,15058.0,25689.0,34.244737
20.0,1984.0,1587.0,5151.0,9542.0,16278.0,24.179874
