node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,182.0,55.0,625.0,1158.0,1975.0,48.823529
2.0,182.0,55.0,739.0,1368.0,2333.0,57.692308
3.0,202.0,61.0,1052.0,1949.0,3324.0,73.878788
4.0,166.0,50.0,553.0,1023.0,1746.0,47.222222
5.0,166.0,50.0,553.0,1023.0,1746.0,47.222222
6.0,166.0,50.0,553.0,1023.0,1746.0,47.222222
7.0,166.0,50.0,553.0,1023.0,1746.0,47.222222
8.0,166.0,50.0,553.0,1023.0,1746.0,47.222222
9.0,166.0,50.0,553.0,1023.0,1746.0,47.222222
10.0,166.0,50.0,553.0,1023.0,1746.0,47.222222
11.0,166.0,50.0,553.0,1023.0,1746.0,47.222222
12.0,166.0,50.0,1072.0,1986.0,3388.0,91.666667
13.0,166.0,50.0,1508.0,2793.0,4764.0,128.888889
14.0,166.0,50.0,1508.0,2793.0,4764.0,128.888889
15.0,166.0,50.0,1508.0,2793.0,4764.0,128.888889
16.0,166.0,50.0,1508.0,2793.0,4764.0,128.888889
17.0,166.0,50.0,1508.0,2793.0,4764.0,128.888889
18.0,166.0,50.0,1063.0,1968.0,3358.0,90.84
19.0,166.0,50.0,1871.0,3467.0,5913.0,160.0
20.0,166.0,50.0,559.0,1036.0,1767.0,47.804878
21.0,166.0,50.0,819.0,1517.0,2587.0,70.0
22.0,137.0,42.0,410.0,759.0,1294.0,42.365854
23.0,137.0,42.0,586.0,1085.0,1850.0,60.583333
24.0,137.0,42.0,425.0,786.0,1341.0,43.916667
25.0,164.0,49.0,407.0,754.0,1287.0,35.3125
26.0,164.0,49.0,445.0,825.0,1407.0,38.614286
27.0,164.0,49.0,392.0,726.0,1239.0,34.0
28.0,182.0,55.0,436.0,806.0,1375.0,34.0
29.0,182.0,55.0,436.0,806.0,1375.0,34.0
30.0,182.0,55.0,528.0,978.0,1668.0,41.243902
31.0,182.0,55.0,421.0,780.0,1330.0,32.873563
32.0,164.0,49.0,391.0,723.0,1233.0,33.847619
33.0,164.0,49.0,355.0,657.0,1121.0,30.769231
34.0,164.0,49.0,365.0,675.0,1152.0,31.605263
35.0,164.0,49.0,330.0,611.0,1042.0,28.596491
36.0,182.0,55.0,366.0,678.0,1157.0,28.596491
37.0,153.0,46.0,333.0,616.0,1051.0,30.888889
38.0,164.0,49.0,330.0,611.0,1042.0,28.596491
39.0,110.0,33.0,268.0,496.0,846.0,34.69863
40.0,110.0,33.0,283.0,523.0,893.0,36.610169
41.0,82.0,25.0,273.0,505.0,860.0,47.222222
42.0,82.0,25.0,282.0,522.0,890.0,48.823529
43.0,82.0,25.0,282.0,522.0,890.0,48.823529
44.0,57.0,17.0,350.0,647.0,1104.0,87.666667
45.0,57.0,17.0,478.0,884.0,1508.0,119.777778
46.0,57.0,17.0,255.0,471.0,804.0,63.821429
47.0,57.0,17.0,400.0,742.0,1265.0,100.434783
48.0,57.0,17.0,321.0,595.0,1015.0,80.586207
49.0,57.0,17.0,273.0,506.0,863.0,68.518519
50.0,86.0,26.0,268.0,496.0,847.0,44.5
51.0,113.0,34.0,284.0,525.0,896.0,35.555556
52.0,86.0,26.0,268.0,496.0,847.0,44.5
53.0,86.0,26.0,522.0,966.0,1648.0,86.666667
