node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,118.0,95.0,1415.0,2620.0,4470.0,111.98
2.0,346.0,277.0,6777.0,12555.0,21418.0,182.609
3.0,172.0,138.0,3673.0,6804.0,11607.0,199.306
4.0,131.0,105.0,1793.0,3320.0,5664.0,127.591
5.0,193.0,154.0,4052.0,7506.0,12805.0,196.509
6.0,197.0,158.0,3720.0,6891.0,11756.0,176.012
7.0,226.0,181.0,4831.0,8950.0,15267.0,199.408
8.0,289.0,231.0,5177.0,9591.0,16362.0,167.398
9.0,214.0,171.0,3896.0,7217.0,12312.0,169.838
10.0,262.0,210.0,5524.0,10234.0,17459.0,196.653
11.0,225.0,180.0,4804.0,8900.0,15182.0,199.355
12.0,173.0,139.0,3699.0,6852.0,11689.0,199.31
13.0,147.0,118.0,1942.0,3598.0,6138.0,123.531
14.0,101.0,81.0,1203.0,2228.0,3800.0,111.068
15.0,176.0,141.0,2933.0,5434.0,9269.0,155.891
16.0,194.0,155.0,4011.0,7430.0,12676.0,193.321
17.0,122.0,97.0,2193.0,4063.0,6931.0,168.488
18.0,101.0,81.0,1202.0,2226.0,3798.0,111.0
19.0,159.0,127.0,2500.0,4631.0,7900.0,146.959
20.0,190.0,152.0,2724.0,5045.0,8607.0,133.752
21.0,151.0,121.0,3181.0,5893.0,10053.0,197.467
22.0,143.0,115.0,2109.0,3907.0,6664.0,137.509
23.0,134.0,107.0,2765.0,5121.0,8736.0,193.254
24.0,176.0,141.0,2842.0,5264.0,8980.0,151.02
25.0,195.0,156.0,2645.0,4899.0,8358.0,126.676
