node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,81.0,25.0,71.0,131.0,223.0,12.37931
2.0,565.0,170.0,268.0,496.0,846.0,6.714286
3.0,844.0,254.0,589.0,1091.0,1860.0,9.878947
4.0,290.0,87.0,210.0,389.0,663.0,10.27027
5.0,448.0,135.0,273.0,504.0,860.0,8.607547
6.0,458.0,138.0,418.0,774.0,1321.0,12.940639
7.0,331.0,100.0,189.0,350.0,596.0,8.086777
8.0,428.0,129.0,268.0,497.0,847.0,8.879808
9.0,109.0,33.0,172.0,318.0,542.0,22.475
10.0,563.0,169.0,479.0,887.0,1513.0,12.042042
11.0,154.0,47.0,133.0,246.0,419.0,12.20354
12.0,435.0,131.0,289.0,536.0,914.0,9.42
13.0,256.0,77.0,293.0,542.0,924.0,16.194444
14.0,221.0,67.0,248.0,459.0,783.0,15.882353
15.0,398.0,120.0,293.0,543.0,925.0,10.434343
16.0,292.0,88.0,336.0,622.0,1061.0,16.298969
17.0,350.0,105.0,316.0,584.0,996.0,12.777778
18.0,487.0,146.0,271.0,502.0,855.0,7.88125
19.0,419.0,126.0,338.0,625.0,1066.0,11.400943
20.0,279.0,84.0,292.0,541.0,922.0,14.837349
21.0,243.0,73.0,272.0,504.0,859.0,15.871921
22.0,375.0,113.0,416.0,770.0,1314.0,15.72
23.0,514.0,155.0,269.0,498.0,849.0,7.4
24.0,465.0,140.0,340.0,629.0,1073.0,10.351064
25.0,365.0,110.0,277.0,512.0,873.0,10.71875
26.0,392.0,118.0,296.0,548.0,934.0,10.691275
27.0,397.0,119.0,307.0,568.0,969.0,10.964286
28.0,344.0,103.0,139.0,258.0,439.0,5.724638
29.0,657.0,197.0,484.0,896.0,1529.0,10.434409
30.0,475.0,143.0,477.0,883.0,1505.0,14.227139
