node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,81.0,65.0,633.0,1172.0,1998.0,73.224
2.0,85.0,68.0,673.0,1247.0,2127.0,74.583
3.0,16.0,13.0,151.0,280.0,477.0,90.0
4.0,32.0,25.0,277.0,513.0,875.0,82.55
5.0,55.0,44.0,534.0,990.0,1688.0,92.083
6.0,51.0,41.0,421.0,780.0,1329.0,77.7
7.0,35.0,28.0,656.0,1214.0,2071.0,175.333
8.0,43.0,34.0,482.0,893.0,1523.0,106.81
9.0,40.0,32.0,305.0,564.0,962.0,71.579
10.0,28.0,23.0,376.0,696.0,1187.0,126.722
11.0,22.0,18.0,1183.0,2192.0,3739.0,510.0
12.0,62.0,49.0,571.0,1057.0,1803.0,86.778
13.0,53.0,43.0,559.0,1036.0,1767.0,98.583
14.0,62.0,49.0,580.0,1074.0,1831.0,88.152
15.0,58.0,47.0,592.0,1096.0,1870.0,95.629
16.0,40.0,32.0,279.0,516.0,880.0,65.448
17.0,67.0,53.0,500.0,925.0,1578.0,70.421
18.0,29.0,24.0,524.0,970.0,1654.0,169.222
19.0,16.0,13.0,200.0,371.0,632.0,119.25
20.0,51.0,41.0,514.0,951.0,1623.0,94.833
21.0,43.0,34.0,477.0,883.0,1505.0,105.571
22.0,29.0,24.0,517.0,956.0,1631.0,166.857
23.0,55.0,44.0,367.0,679.0,1159.0,63.206
24.0,62.0,49.0,432.0,799.0,1363.0,65.622
25.0,29.0,24.0,523.0,969.0,1653.0,169.1
