node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,17.0,14.0,211.0,391.0,666.0,116.714286
2.0,7.0,5.0,15.0,28.0,47.0,23.0
3.0,7.0,5.0,15.0,28.0,47.0,23.0
4.0,7.0,5.0,15.0,28.0,47.0,23.0
5.0,7.0,5.0,15.0,28.0,47.0,23.0
6.0,10.0,8.0,37.0,68.0,116.0,35.444444
7.0,7.0,5.0,15.0,28.0,47.0,23.0
8.0,7.0,5.0,15.0,28.0,47.0,23.0
9.0,11.0,9.0,137.0,254.0,433.0,118.0
10.0,11.0,9.0,137.0,254.0,433.0,118.0
11.0,7.0,5.0,15.0,28.0,47.0,23.0
12.0,10.0,8.0,26.0,48.0,82.0,24.888889
13.0,7.0,5.0,15.0,28.0,47.0,23.0
14.0,10.0,8.0,94.0,173.0,295.0,90.333333
15.0,10.0,8.0,118.0,218.0,372.0,114.0
16.0,7.0,5.0,15.0,28.0,47.0,23.0
17.0,10.0,8.0,41.0,76.0,129.0,39.333333
18.0,7.0,5.0,15.0,28.0,47.0,23.0
19.0,7.0,5.0,15.0,28.0,47.0,23.0
20.0,10.0,8.0,51.0,94.0,160.0,49.0
21.0,7.0,5.0,15.0,28.0,47.0,23.0
22.0,7.0,5.0,15.0,28.0,47.0,23.0
23.0,7.0,5.0,15.0,28.0,47.0,23.0
24.0,21.0,17.0,53.0,97.0,165.0,23.8
25.0,38.0,30.0,405.0,750.0,1280.0,101.315789
26.0,41.0,33.0,314.0,581.0,992.0,71.578947
27.0,20.0,16.0,266.0,493.0,840.0,128.888889
28.0,20.0,16.0,266.0,493.0,840.0,128.888889
29.0,7.0,5.0,15.0,28.0,47.0,23.0
30.0,7.0,5.0,15.0,28.0,47.0,23.0
31.0,7.0,5.0,29.0,53.0,90.0,44.166667
32.0,7.0,5.0,119.0,219.0,374.0,183.333333
33.0,7.0,5.0,15.0,28.0,47.0,23.0
34.0,7.0,5.0,15.0,28.0,47.0,23.0
35.0,7.0,5.0,15.0,28.0,47.0,23.0
36.0,7.0,5.0,15.0,28.0,47.0,23.0
37.0,7.0,5.0,15.0,28.0,47.0,23.0
38.0,10.0,8.0,117.0,216.0,368.0,112.888889
39.0,10.0,8.0,133.0,247.0,420.0,128.888889
40.0,31.0,25.0,461.0,854.0,1456.0,143.0
41.0,17.0,14.0,167.0,309.0,527.0,92.333333
42.0,7.0,5.0,15.0,28.0,47.0,23.0
43.0,7.0,5.0,15.0,28.0,47.0,23.0
44.0,14.0,11.0,70.0,129.0,219.0,48.75
45.0,14.0,11.0,145.0,267.0,456.0,101.666667
46.0,16.0,13.0,92.0,170.0,289.0,54.555556
47.0,7.0,5.0,15.0,28.0,47.0,23.0
48.0,7.0,5.0,15.0,28.0,47.0,23.0
49.0,7.0,5.0,15.0,28.0,47.0,23.0
50.0,7.0,5.0,73.0,135.0,230.0,112.5
51.0,11.0,9.0,84.0,155.0,264.0,71.9
52.0,7.0,5.0,15.0,28.0,47.0,23.0
53.0,7.0,5.0,15.0,28.0,47.0,23.0
54.0,7.0,5.0,15.0,28.0,47.0,23.0
55.0,14.0,11.0,144.0,265.0,453.0,100.916667
56.0,7.0,5.0,15.0,28.0,47.0,23.0
57.0,10.0,8.0,133.0,247.0,420.0,128.888889
58.0,7.0,5.0,15.0,28.0,47.0,23.0
59.0,20.0,16.0,134.0,248.0,423.0,64.777778
60.0,10.0,8.0,133.0,247.0,420.0,128.888889
61.0,7.0,5.0,15.0,28.0,47.0,23.0
62.0,7.0,5.0,15.0,28.0,47.0,23.0
63.0,7.0,5.0,15.0,28.0,47.0,23.0
64.0,7.0,5.0,15.0,28.0,47.0,23.0
65.0,7.0,5.0,15.0,28.0,47.0,23.0
66.0,27.0,22.0,174.0,322.0,548.0,61.133333
67.0,7.0,5.0,15.0,28.0,47.0,23.0
68.0,7.0,5.0,15.0,28.0,47.0,23.0
69.0,27.0,22.0,170.0,315.0,538.0,59.944444
70.0,33.0,26.0,411.0,761.0,1298.0,118.0
71.0,10.0,8.0,37.0,69.0,117.0,35.666667
72.0,7.0,5.0,15.0,28.0,47.0,23.0
73.0,7.0,5.0,15.0,28.0,47.0,23.0
74.0,10.0,8.0,31.0,57.0,98.0,29.777778
75.0,10.0,8.0,78.0,145.0,246.0,75.444444
76.0,20.0,16.0,266.0,493.0,840.0,128.888889
77.0,16.0,13.0,216.0,400.0,683.0,128.888889
78.0,7.0,5.0,15.0,28.0,47.0,23.0
79.0,20.0,16.0,205.0,380.0,648.0,99.411765
80.0,8.0,6.0,29.0,53.0,90.0,36.571429
81.0,10.0,8.0,95.0,176.0,299.0,91.666667
82.0,16.0,13.0,199.0,368.0,628.0,118.5
83.0,7.0,5.0,15.0,28.0,47.0,23.0
84.0,7.0,5.0,15.0,28.0,47.0,23.0
85.0,10.0,8.0,53.0,97.0,166.0,50.777778
86.0,10.0,8.0,133.0,247.0,420.0,128.888889
87.0,7.0,5.0,15.0,28.0,47.0,23.0
88.0,7.0,5.0,15.0,28.0,47.0,23.0
89.0,7.0,5.0,15.0,28.0,47.0,23.0
90.0,7.0,5.0,15.0,28.0,47.0,23.0
91.0,7.0,5.0,15.0,28.0,47.0,23.0
92.0,7.0,5.0,15.0,28.0,47.0,23.0
93.0,10.0,8.0,49.0,90.0,153.0,46.666667
94.0,10.0,8.0,56.0,103.0,175.0,53.666667
95.0,7.0,5.0,15.0,28.0,47.0,23.0
96.0,10.0,8.0,83.0,154.0,263.0,80.444444
97.0,11.0,9.0,51.0,95.0,161.0,43.9
98.0,7.0,5.0,15.0,28.0,47.0,23.0
99.0,10.0,8.0,84.0,155.0,264.0,81.0
100.0,7.0,5.0,119.0,219.0,374.0,183.333333
