solver,problem,instance,gridno,cost,dualbound,primalbound,gap,cpu
scip,knapsack,knapsack-20-1,106,sincos,-737.142060016107,-737.1404583492757,0.0002172806190572163,3604.54
scip,knapsack,knapsack-20-2,116,sincos,-437.394474375595,-437.3872069905094,0.0016615173513470085,3604.23
scip,knapsack,knapsack-20-3,126,sincos,-822.902279357678,-822.9022793576777,4.1446052796337515e-14,16.02
scip,knapsack,knapsack-20-4,136,sincos,-536.566808963153,-536.5647593360209,0.0003819891759768324,3604.59
scip,knapsack,knapsack-20-5,146,sincos,-829.156197583513,-829.1561975835128,1.371114852098364e-14,16.42
scip,knapsack,knapsack-20-6,156,sincos,-583.865178052669,-583.8646095582557,9.736741197632891e-5,35.03
scip,knapsack,knapsack-10-2,16,sincos,-286.252573398269,-286.2523664449931,7.229743771116403e-5,3.13
scip,knapsack,knapsack-20-7,166,sincos,-503.871974690859,-503.86624083384754,0.0011379591045911795,3604.31
scip,knapsack,knapsack-20-8,176,sincos,-592.997824142947,-592.9972350946634,9.9333970480917e-5,53.25
scip,knapsack,knapsack-20-9,186,sincos,-643.143517943028,-643.1435179430283,5.3030234100106453e-14,15.9
scip,knapsack,knapsack-20-10,196,sincos,-794.620705231429,-794.6199417570558,9.608035232448388e-5,54.75
scip,knapsack,knapsack-50-1,206,sincos,-1638.18980184336,-1596.337127757888,2.5548122713483887,3602.77
scip,knapsack,knapsack-50-2,216,sincos,-1648.82357342036,-1631.6975771788364,1.0386797300572914,3602.78
scip,knapsack,knapsack-50-3,226,sincos,-1563.25418160474,-1538.7251398061476,1.5691013072111226,3602.78
scip,knapsack,knapsack-50-4,236,sincos,-1666.55152923288,-1648.1408059822343,1.104719711794349,3602.72
scip,knapsack,knapsack-50-5,246,sincos,-1897.11416610794,-1820.644927254359,4.030819031332365,3602.41
scip,knapsack,knapsack-50-6,256,sincos,-1760.37028741823,-1702.7742240482203,3.2718152414672046,3602.14
scip,knapsack,knapsack-10-3,26,sincos,-220.850908653953,-220.8507166417758,8.694199104421067e-5,5.86
scip,knapsack,knapsack-50-7,266,sincos,-1435.03658479128,-1391.916867042174,3.0047817739348703,3602.15
scip,knapsack,knapsack-50-8,276,sincos,-1593.12390881333,-1552.2479716499538,2.565772626802359,3602.08
scip,knapsack,knapsack-50-9,286,sincos,-1751.07473443187,-1747.1285422982203,0.22535829317016573,3602.15
scip,knapsack,knapsack-50-10,296,sincos,-2020.83898998862,-1906.1814171565954,5.6737609181160025,3602.16
scip,knapsack,knapsack-100-1,306,sincos,-3410.99038751771,-3183.367671181286,6.673214828437929,3602.13
scip,knapsack,knapsack-100-2,316,sincos,-3308.35720130484,-3092.76050177333,6.516729797087126,3602.12
scip,knapsack,knapsack-100-3,326,sincos,-3483.96066708844,-3306.93961133675,5.081029112180736,3602.17
scip,knapsack,knapsack-100-4,336,sincos,-3423.90897582597,-3176.3362827682035,7.230703117568807,3602.11
scip,knapsack,knapsack-100-5,346,sincos,-3186.79171571327,-3020.07234414254,5.231574148654867,3602.14
scip,knapsack,knapsack-100-6,356,sincos,-3268.39366020756,-2997.8845582281524,8.27651531921736,3602.02
scip,knapsack,knapsack-10-4,36,sincos,-386.125023926594,-386.12502392659377,5.888602430658779e-14,2.52
scip,knapsack,knapsack-100-7,366,sincos,-3689.52435963332,-3366.724559893951,8.749089808732142,3601.99
scip,knapsack,knapsack-100-8,376,sincos,-3073.66087645767,-2960.913534311451,3.668177677303102,3601.99
scip,knapsack,knapsack-100-9,386,sincos,-3667.41898476916,-3357.3215490932766,8.455467918002338,3602.01
scip,knapsack,knapsack-100-10,396,sincos,-3517.0198626201,-3333.370464004726,5.221733336432155,3602.01
scip,knapsack,knapsack-200-1,406,sincos,-6924.81942824608,-6291.27739784037,9.14885993736552,3602.05
scip,knapsack,knapsack-200-2,416,sincos,-7109.72667171213,-6429.965806406122,9.560998568490835,3602.04
scip,knapsack,knapsack-200-3,426,sincos,-7785.85556918985,-7049.370879071193,9.459264734283938,3602.05
scip,knapsack,knapsack-200-4,436,sincos,-7203.34867787326,-6540.626644202057,9.200193733602074,3602.04
scip,knapsack,knapsack-200-5,446,sincos,-7081.79017637117,-6461.898977716024,8.75331213177497,3602.06
scip,knapsack,knapsack-200-6,456,sincos,-6762.9566404302,-6084.220381713668,10.036087687727024,3602.04
scip,knapsack,knapsack-10-5,46,sincos,-373.602154369752,-373.60215436975204,1.5214960137663014e-14,2.74
