solver,problem,instance,gridno,cost,dualbound-0.0001,primalbound-0.0001,gap-0.0001,nit-0.0001,npieces-0.0001,cpu-0.0001
naive,knapsack,knapsack-10-1,1,exp,-878.5120996531957,-878.5113583604053,8.438055846856138e-5,1,8510,51.849311856
naive,knapsack,knapsack-10-1,10,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-10-10,100,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-1,101,exp,-1556.5240715797386,-1556.523102536189,6.22569332844568e-5,1,17020,91.22794989600001
naive,knapsack,knapsack-20-1,102,cubic,-750.1133142745175,-750.1131624377201,2.024185216166593e-5,1,19060,511.96666063500004
naive,knapsack,knapsack-20-1,103,sinabc1,-738.365230031487,-738.3649148928552,4.268060758767323e-5,1,23460,98.450747788
naive,knapsack,knapsack-20-1,104,sinabc2,-734.660680424046,-734.6599302057107,0.00010211776965429774,1,33300,140.585597157
naive,knapsack,knapsack-20-1,105,sinabc3,-772.4325088455429,-772.4318141452836,8.993677455250418e-5,1,59760,302.32674549
naive,knapsack,knapsack-20-1,107,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-1,108,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-1,109,square,-722.7961834393975,-722.795389990925,0.00010977497692310377,1,18720,46.765980654
naive,knapsack,knapsack-10-2,11,exp,-583.0396068525476,-583.0390896922445,8.870079421849261e-5,1,8510,51.330514838000006
naive,knapsack,knapsack-20-1,110,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-2,111,exp,-967.1752673712816,-967.1744170241601,8.79207624339291e-5,1,17020,89.622695785
naive,knapsack,knapsack-20-2,112,cubic,-453.83077819648963,-453.8306833563729,2.0897687223186696e-5,1,19060,531.8002500140001
naive,knapsack,knapsack-20-2,113,sinabc1,-442.4985860126228,-442.4982643474183,7.269298671675141e-5,1,23460,95.661010285
naive,knapsack,knapsack-20-2,114,sinabc2,-435.6876296437675,-435.6871927600232,0.00010027463545659812,1,33300,149.511944357
naive,knapsack,knapsack-20-2,115,sinabc3,-472.9988186884518,-472.99840749449515,8.693347591669049e-5,1,59760,245.970289822
naive,knapsack,knapsack-20-2,117,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-2,118,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-2,119,square,-427.78991309168435,-427.7894420710272,0.00011010572277100138,1,18720,55.896387884000006
naive,knapsack,knapsack-10-2,12,cubic,-291.03163433574093,-291.0315771599348,1.96459115214357e-5,1,9530,282.945321293
naive,knapsack,knapsack-20-2,120,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-3,121,exp,-1741.7907643140313,-1741.7895884780532,6.750734909959316e-5,1,17020,108.207173991
