
Note: the module "julia" cannot be unloaded because it was not loaded.

2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance uflp nldep gunluk ../../../../../instances/uflp/gunluk/gunluk-30-60-9.txt pardivexp
The latest version of Julia in the `1.10` channel is 1.10.6+0.x64.linux.gnu. You currently have `1.10.5+0.x64.linux.gnu` installed. Run:

  juliaup update

in your terminal shell to install Julia 1.10.6+0.x64.linux.gnu and update the `1.10` channel to that version.
presolving:
(round 1, fast)       30 del vars, 30 del conss, 0 add conss, 30 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, exhaustive) 30 del vars, 30 del conss, 0 add conss, 30 chg bounds, 0 chg sides, 0 chg coeffs, 1800 upgd conss, 0 impls, 0 clqs
   (0.1s) probing cycle finished: starting next cycle
   (0.1s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.1s) no symmetry present (symcode time: 0.00)
presolving (3 rounds: 3 fast, 2 medium, 2 exhaustive):
 30 deleted vars, 30 deleted constraints, 0 added constraints, 30 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 1800 implications, 0 cliques
presolved problem has 1860 variables (30 bin, 0 int, 0 impl, 1830 cont) and 1890 constraints
   1800 constraints of type <varbound>
     60 constraints of type <linear>
     30 constraints of type <nonlinear>
Presolving Time: 0.07

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.1s|     1 |     0 |   266 |     - |shiftand|   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 |-1.144409e-04 | 1.260101e+03 |    Inf | unknown
t 0.1s|     1 |     0 |   266 |     - |  trysol|   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 |-1.144409e-04 | 2.575704e+02 |    Inf | unknown
  0.1s|     1 |     0 |   535 |     - |    21M |   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 | 2.562535e+02 | 2.575704e+02 |   0.51%| unknown
L 2.3s|     1 |     0 |   535 |     - |  subnlp|   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 | 2.562535e+02 | 2.573795e+02 |   0.44%| unknown
  2.3s|     1 |     0 |   565 |     - |    21M |   0 |1980 |1890 |2129 |  29 |  1 |   0 |   0 | 2.562551e+02 | 2.573795e+02 |   0.44%| unknown
  2.3s|     1 |     0 |   620 |     - |    21M |   0 |1980 |1890 |2158 |  58 |  2 |   0 |   0 | 2.562956e+02 | 2.573795e+02 |   0.42%| unknown
  2.3s|     1 |     0 |   635 |     - |    21M |   0 |1980 |1890 |2171 |  71 |  3 |   0 |   0 | 2.562991e+02 | 2.573795e+02 |   0.42%| unknown
  4.5s|     1 |     0 |  5689 |     - |    71M |   0 |1980 | 450 |2171 |  71 |  4 |   0 |   0 | 2.566275e+02 | 2.573795e+02 |   0.29%| unknown
  4.5s|     1 |     0 |  5774 |     - |    71M |   0 |1980 | 450 |2197 |  97 |  5 |   0 |   0 | 2.568671e+02 | 2.573795e+02 |   0.20%| unknown
  4.5s|     1 |     0 |  5787 |     - |    71M |   0 |1980 | 450 |2210 | 110 |  6 |   0 |   0 | 2.568782e+02 | 2.573795e+02 |   0.20%| unknown
  4.8s|     1 |     0 |  6033 |     - |    76M |   0 |1980 | 450 |2210 | 110 |  7 |   0 |   0 | 2.568861e+02 | 2.573795e+02 |   0.19%| unknown
  4.8s|     1 |     0 |  6062 |     - |    76M |   0 |1980 | 450 |2233 | 133 |  8 |   0 |   0 | 2.569989e+02 | 2.573795e+02 |   0.15%| unknown
  4.8s|     1 |     0 |  6074 |     - |    76M |   0 |1980 | 450 |2245 | 145 |  9 |   0 |   0 | 2.570091e+02 | 2.573795e+02 |   0.14%| unknown
(run 1, node 1) restarting after 24 global fixings of integer variables

presolving:
(round 1, fast)       144 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 351 chg coeffs, 0 upgd conss, 1800 impls, 0 clqs
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 144 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 1800 implications, 0 cliques
presolved problem has 1836 variables (6 bin, 0 int, 0 impl, 1830 cont) and 450 constraints
    360 constraints of type <varbound>
     60 constraints of type <linear>
     30 constraints of type <nonlinear>
Presolving Time: 0.10
transformed 3/4 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  6.8s|     1 |     0 |  6293 |     - |    39M |   0 |1956 | 450 | 660 |   0 |  0 |   0 |   0 | 2.570091e+02 | 2.573795e+02 |   0.14%| unknown
  8.9s|     1 |     0 |  6336 |     - |    39M |   0 |1956 | 450 | 687 |  27 |  1 |   0 |   0 | 2.570091e+02 | 2.573795e+02 |   0.14%| unknown
  8.9s|     1 |     0 |  6349 |     - |    40M |   0 |1956 | 450 | 698 |  38 |  2 |   0 |   0 | 2.570141e+02 | 2.573795e+02 |   0.14%| unknown
 10.1s|     1 |     0 | 12049 |     - |    86M |   0 |1956 | 390 | 698 |  38 |  3 |   0 |   0 | 2.570355e+02 | 2.573795e+02 |   0.13%| unknown
 10.1s|     1 |     0 | 12103 |     - |    86M |   0 |1956 | 390 | 724 |  64 |  4 |   0 |   0 | 2.572781e+02 | 2.573795e+02 |   0.04%| unknown
 10.1s|     1 |     0 | 12118 |     - |    86M |   0 |1956 | 390 | 739 |  79 |  5 |   0 |   0 | 2.572855e+02 | 2.573795e+02 |   0.04%| unknown
 12.1s|     1 |     2 | 12127 |     - |    87M |   0 |1956 | 390 | 739 |  79 |  6 |   0 |   3 | 2.572855e+02 | 2.573795e+02 |   0.04%| unknown
d20.2s|    61 |    58 | 12184 | 184.5 |nlpdivin|  49 |1956 | 270 | 577 | 148 |  1 |   0 |   4 | 2.573531e+02 | 2.573795e+02 |   0.01%|  69.12%
 20.8s|   100 |    37 | 12185 | 112.6 |   117M |  58 |1956 | 210 | 577 | 148 |  1 |   0 |   4 | 2.573565e+02 | 2.573795e+02 |   0.01%|  94.55%
 32.3s|   200 |   123 | 12195 |  56.3 |   117M | 120 |1956 | 210 | 584 | 156 |  1 |   0 |   4 | 2.573565e+02 | 2.573795e+02 |   0.01%|  94.55%
 69.5s|   300 |    81 | 12204 |  37.6 |   117M | 131 |1956 | 210 | 573 | 161 |  0 |   0 |   4 | 2.573591e+02 | 2.573795e+02 |   0.01%|  97.37%
 70.4s|   400 |    87 | 12208 |  28.2 |   117M | 131 |1956 | 210 | 576 | 164 |  1 |   0 |   4 | 2.573600e+02 | 2.573795e+02 |   0.01%|  98.31%
 73.6s|   500 |    97 | 12219 |  22.6 |   117M | 131 |1956 | 210 | 577 | 174 |  1 |   0 |   4 | 2.573600e+02 | 2.573795e+02 |   0.01%|  98.32%
 74.6s|   600 |    93 | 12230 |  18.8 |   117M | 131 |1956 | 210 | 578 | 183 |  1 |   0 |   4 | 2.573606e+02 | 2.573795e+02 |   0.01%|  98.89%
 75.6s|   700 |    97 | 12238 |  16.2 |   117M | 131 |1956 | 210 | 578 | 188 |  1 |   0 |   4 | 2.573606e+02 | 2.573795e+02 |   0.01%|  98.89%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 80.2s|   800 |    95 | 12264 |  14.2 |   118M | 150 |1956 | 210 | 592 | 207 |  0 |   0 |   4 | 2.573622e+02 | 2.573795e+02 |   0.01%|  98.97%
 81.2s|   900 |    99 | 12283 |  12.6 |   118M | 166 |1956 | 210 | 591 | 223 |  1 |   0 |   4 | 2.573631e+02 | 2.573795e+02 |   0.01%|  98.98%
 82.2s|  1000 |   103 | 12300 |  11.4 |   118M | 167 |1956 | 210 | 577 | 239 |  0 |   0 |   4 | 2.573635e+02 | 2.573795e+02 |   0.01%|  99.01%
 83.3s|  1100 |   105 | 12321 |  10.4 |   118M | 167 |1956 | 210 | 582 | 256 |  0 |   0 |   4 | 2.573635e+02 | 2.573795e+02 |   0.01%|  99.06%
 84.4s|  1200 |    87 | 12334 |   9.5 |   118M | 167 |1956 | 210 | 580 | 267 |  0 |   0 |   4 | 2.573641e+02 | 2.573795e+02 |   0.01%|  99.28%
 98.0s|  1300 |    89 | 12342 |   8.8 |   118M | 167 |1956 | 210 | 581 | 274 |  0 |   0 |   4 | 2.573641e+02 | 2.573795e+02 |   0.01%|  99.28%
 98.9s|  1400 |    91 | 12351 |   8.2 |   118M | 167 |1956 | 210 | 580 | 282 |  0 |   0 |   4 | 2.573641e+02 | 2.573795e+02 |   0.01%|  99.28%
 99.9s|  1500 |    91 | 12372 |   7.6 |   118M | 167 |1956 | 210 | 587 | 302 |  1 |   0 |   4 | 2.573641e+02 | 2.573795e+02 |   0.01%|  99.28%
  101s|  1600 |    89 | 12407 |   7.2 |   118M | 167 |1956 | 210 | 590 | 327 |  0 |   0 |   4 | 2.573641e+02 | 2.573795e+02 |   0.01%|  99.28%
  102s|  1700 |    87 | 12464 |   6.8 |   118M | 167 |1956 | 210 | 595 | 367 |  0 |   0 |   4 | 2.573650e+02 | 2.573795e+02 |   0.01%|  99.32%
  103s|  1800 |    93 | 12469 |   6.4 |   118M | 201 |1956 | 210 | 594 | 371 |  1 |   0 |   4 | 2.573650e+02 | 2.573795e+02 |   0.01%|  99.32%
  109s|  1900 |   109 | 12501 |   6.1 |   118M | 232 |1956 | 210 | 598 | 395 |  2 |   0 |   4 | 2.573650e+02 | 2.573795e+02 |   0.01%|  99.32%
  110s|  2000 |   109 | 12584 |   5.8 |   118M | 232 |1956 | 210 | 590 | 454 |  2 |   0 |   4 | 2.573650e+02 | 2.573795e+02 |   0.01%|  99.34%
  110s|  2100 |   107 | 12655 |   5.6 |   118M | 232 |1956 | 210 | 593 | 502 |  0 |   0 |   4 | 2.573658e+02 | 2.573795e+02 |   0.01%|  99.40%
  111s|  2200 |   107 | 12674 |   5.3 |   118M | 232 |1956 | 210 | 587 | 513 |  1 |   0 |   4 | 2.573658e+02 | 2.573795e+02 |   0.01%|  99.40%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  112s|  2300 |   103 | 12736 |   5.1 |   118M | 237 |1956 | 210 | 588 | 554 |  1 |   0 |   4 | 2.573658e+02 | 2.573795e+02 |   0.01%|  99.42%
  113s|  2400 |   107 | 12764 |   4.9 |   118M | 237 |1956 | 210 | 591 | 572 |  1 |   0 |   4 | 2.573658e+02 | 2.573795e+02 |   0.01%|  99.42%
  123s|  2500 |   107 | 12807 |   4.8 |   118M | 251 |1956 | 210 | 595 | 598 |  1 |   0 |   4 | 2.573661e+02 | 2.573795e+02 |   0.01%|  99.42%
  126s|  2600 |   107 | 12856 |   4.6 |   118M | 251 |1956 | 210 | 594 | 628 |  0 |   0 |   4 | 2.573661e+02 | 2.573795e+02 |   0.01%|  99.46%
  127s|  2700 |   105 | 12929 |   4.4 |   118M | 251 |1956 | 210 | 590 | 672 |  0 |   0 |   4 | 2.573661e+02 | 2.573795e+02 |   0.01%|  99.46%
  127s|  2800 |    97 | 12997 |   4.3 |   118M | 251 |1956 | 210 | 584 | 712 |  2 |   0 |   4 | 2.573686e+02 | 2.573795e+02 |   0.00%|  99.51%
  129s|  2900 |    97 | 13023 |   4.2 |   118M | 251 |1956 | 210 | 597 | 731 |  0 |   0 |   4 | 2.573686e+02 | 2.573795e+02 |   0.00%|  99.51%
  129s|  3000 |    99 | 13069 |   4.0 |   118M | 251 |1956 | 210 | 597 | 759 |  1 |   0 |   4 | 2.573686e+02 | 2.573795e+02 |   0.00%|  99.51%
  130s|  3100 |    97 | 13147 |   3.9 |   118M | 251 |1956 | 210 | 597 | 807 |  1 |   0 |   4 | 2.573686e+02 | 2.573795e+02 |   0.00%|  99.51%
