solving instance uflp nlass gunluk ../../../../../instances/uflp/gunluk/gunluk-20-40-7.txt sinabc1
Couenne 0.5.8 -- an Open-Source solver for Mixed Integer Nonlinear Optimization
Mailing list: couenne@list.coin-or.org
Instructions: http://www.coin-or.org/Couenne
couenne: 
ANALYSIS TEST: Reformulating problem: 2.2 seconds
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT 166.60174       32 2.499478
NLP0014I             2      INFEAS 0.99999999       33 0.695946
Loaded instance "/tmp/jl_mG4rsW/model.nl"
Constraints:         2440
Variables:           2420 (820 integer)
Auxiliaries:         3241 (0 integer)

Coin0506I Presolve 8800 (-1641) rows, 3980 (-1681) columns and 19120 (-4141) elements
Clp0006I 0  Obj 0 Primal inf 79.99996 (40)
Clp0006I 251  Obj 1.6447034e-16 Primal inf 112.5629 (212)
Clp0006I 502  Obj 2.0690132e-16 Primal inf 127.47372 (236)
Clp0006I 753  Obj 1.6649364e-16 Primal inf 95.944109 (236)
Clp0006I 1004  Obj 1.8595935e-16 Primal inf 96.347942 (202)
Clp0006I 1255  Obj 1.6401314e-16 Primal inf 121.99312 (255)
Clp0006I 1506  Obj 1.8179674e-16 Primal inf 96.21729 (213)
Clp0006I 1757  Obj 1.7065961e-16 Primal inf 160.26801 (277)
Clp0006I 2008  Obj 1.7515027e-16 Primal inf 96.086639 (224)
Clp0006I 2259  Obj 1.7857812e-16 Primal inf 132.65739 (242)
Clp0006I 2510  Obj 1.6723176e-16 Primal inf 95.955987 (235)
Clp0006I 2761  Obj 1.8595935e-16 Primal inf 96.35982 (201)
Clp0006I 3012  Obj 1.6347587e-16 Primal inf 116.77381 (252)
Clp0006I 3263  Obj 17.355463 Primal inf 54.334157 (181)
Clp0006I 3386  Obj 20.871441
Clp0000I Optimal - objective value 20.871441
Clp0032I Optimal objective 20.8714414 - 3386 iterations time 0.162, Presolve 0.03
Clp0000I Optimal - objective value 20.871441
NLP Heuristic: time limit reached.
Clp0000I Optimal - objective value 20.871441
Optimality Based BT: 0 improved bounds
Probing: 0 improved bounds
NLP Heuristic: time limit reached.
Cbc0031I 937 added rows had average density of 2
Cbc0013I At root node, 937 cuts changed objective from 20.871441 to 92.780508 in 20 passes
Cbc0014I Cut generator 0 (Couenne convexifier cuts) - 14273 row cuts average 2.0 elements, 840 column cuts (1529 active)
Cbc0010I After 0 nodes, 1 on tree, 1e+50 best solution, best possible -1.7976931e+308 (77.79 seconds)
Optimality Based BT: 0 improved bounds
Couenne: new cutoff value 8.4853763360e+02 (102.965 seconds)
Optimality Based BT: 0 improved bounds
Couenne: new cutoff value 8.1351604828e+02 (346.91 seconds)
Cbc0012I Integer solution of 813.51605 found by Couenne Rounding NLP after 11577 iterations and 2 nodes (323.18 seconds)
Optimality Based BT: 0 improved bounds
Optimality Based BT: 1 improved bounds
Optimality Based BT: 0 improved bounds
Cbc0010I After 100 nodes, 50 on tree, 813.51605 best solution, best possible 105.05371 (753.65 seconds)
Cbc0010I After 200 nodes, 100 on tree, 813.51605 best solution, best possible 105.05371 (787.05 seconds)
Cbc0010I After 300 nodes, 150 on tree, 813.51605 best solution, best possible 105.05371 (816.31 seconds)
Cbc0010I After 400 nodes, 200 on tree, 813.51605 best solution, best possible 105.05371 (841.88 seconds)
Cbc0010I After 500 nodes, 247 on tree, 813.51605 best solution, best possible 105.25884 (883.94 seconds)
Cbc0010I After 600 nodes, 297 on tree, 813.51605 best solution, best possible 105.77357 (923.82 seconds)
Cbc0010I After 700 nodes, 347 on tree, 813.51605 best solution, best possible 105.77357 (958.94 seconds)
Cbc0010I After 800 nodes, 397 on tree, 813.51605 best solution, best possible 105.77357 (988.12 seconds)
Cbc0010I After 900 nodes, 447 on tree, 813.51605 best solution, best possible 105.77357 (1012.62 seconds)
Cbc0010I After 1000 nodes, 490 on tree, 813.51605 best solution, best possible 105.7797 (1036.75 seconds)
Cbc0010I After 1100 nodes, 540 on tree, 813.51605 best solution, best possible 105.7797 (1069.44 seconds)
Cbc0010I After 1200 nodes, 590 on tree, 813.51605 best solution, best possible 105.7797 (1090.25 seconds)
Cbc0010I After 1300 nodes, 640 on tree, 813.51605 best solution, best possible 105.7797 (1110.23 seconds)
Cbc0010I After 1400 nodes, 690 on tree, 813.51605 best solution, best possible 105.7797 (1132.15 seconds)
Cbc0010I After 1500 nodes, 736 on tree, 813.51605 best solution, best possible 105.85545 (1164.09 seconds)
Cbc0010I After 1600 nodes, 786 on tree, 813.51605 best solution, best possible 105.85545 (1196.28 seconds)
Cbc0010I After 1700 nodes, 836 on tree, 813.51605 best solution, best possible 105.85545 (1218.01 seconds)
Cbc0010I After 1800 nodes, 886 on tree, 813.51605 best solution, best possible 105.85545 (1238.25 seconds)
Cbc0010I After 1900 nodes, 933 on tree, 813.51605 best solution, best possible 106.01687 (1264.00 seconds)
