2023/05/23
Julia is now 1.9.4
previous version was 1.9.0
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance mcf c100_400_10_V_L_10 3 6 sqrt
===========================================================================
 BARON version 23.11.13. Built: LNX-64 Mon Nov 13 23:14:09 EST 2023

 BARON is a product of The Optimization Firm.
 For information on BARON, see https://minlp.com/about-baron
 Licensee: Claudio Contardo at Concordia University, claudio.contardo@concordia.ca.

 If you use this software, please cite publications from
 https://minlp.com/baron-publications, such as: 

 Khajavirad, A. and N. V. Sahinidis,
 A hybrid LP/NLP paradigm for global optimization relaxations,
 Mathematical Programming Computation, 10, 383-421, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP/QP: CLP/CBC, ILOG CPLEX                             
 For NLP: IPOPT, FILTERSQP
===========================================================================
 Doing local search
 Solving bounding LP
 Preprocessing found feasible solution with value 0.100000E+13
 Starting multi-start local search
 Estimated remaining time for local search is 49 secs
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
*         1             1           250.72      1373.09          2173.67       
          1             1           311.95      1373.09          2173.67       
          3             2           358.70      1373.09          2173.67       
          5             3           441.62      1430.36          2173.67       
          6             4           479.03      1431.17          2173.67       
          8             5           559.34      1431.17          2173.67       
         10             6           608.07      1431.17          2173.67       
         14             8           650.34      1431.17          2173.67       
         19            10           713.71      1431.17          2173.67       
         21            11           748.98      1458.72          2173.67       
         28            13           784.91      1458.72          2173.67       
         35            16           816.86      1458.72          2173.67       
         41            19           852.49      1459.53          2173.67       
         55            26           961.87      1500.00          2173.67       
         58            26          1037.93      1502.28          2173.67       
         77            36          1088.29      1503.09          2173.67       
         84            39          1121.43      1503.09          2173.67       
        108            50          1179.53      1508.81          2173.67       
        125            57          1246.94      1510.09          2173.67       
        140            65          1300.00      1510.90          2173.67       
        191            78          1329.98      1515.10          2173.67       
        209            83          1380.83      1515.10          2173.67       
        282           106          1437.13      1524.10          2173.67       
        344           126          1501.36      1530.54          2173.67       
        403           151          1543.22      1542.10          2173.67       
        484           177          1582.61      1549.81          2173.67       
        530           187          1614.70      1550.68          2173.67       
        591           205          1663.03      1552.35          2173.67       
        641           219          1731.57      1555.53          2173.67       
        747           250          1766.03      1556.48          2173.67       
        802           265          1809.24      1557.74          2173.67       
        851           283          1861.49      1559.33          2173.67       
        956           312          1900.77      1561.48          2173.67       
       1058           344          1934.69      1562.25          2173.67       
       1105           362          1985.03      1563.07          2173.67       
       1209           393          2026.97      1565.03          2173.67       
       1309           433          2067.49      1565.93          2173.67       
       1408           465          2104.35      1566.57          2173.67       
       1511           496          2141.67      1567.99          2173.67       
       1583           519          2186.32      1569.13          2173.67       
       1668           550          2233.54      1571.03          2173.67       
       1768           590          2269.85      1572.16          2173.67       
       1872           623          2309.23      1582.05          2173.67       
       1964           666          2347.77      1585.79          2173.67       
       2060           703          2399.98      1586.78          2173.67       
       2087           714          2440.31      1588.20          2173.67       
       2161           733          2478.57      1589.33          2173.67       
       2261           766          2521.01      1591.24          2173.67       
       2353           805          2560.35      1592.37          2173.67       
       2422           828          2590.26      1613.43          2173.67       
       2513           854          2629.66      1617.17          2173.67       
       2590           884          2659.47      1617.53          2173.67       
       2661           908          2702.31      1619.81          2173.67       
       2753           940          2732.19      1621.09          2173.67       
       2806           967          2775.37      1621.09          2173.67       
       2879           994          2805.33      1621.27          2173.67       
       2952          1025          2842.09      1621.89          2173.67       
       3049          1064          2882.66      1622.26          2173.67       
       3105          1086          2936.98      1622.27          2173.67       
       3206          1118          2997.61      1623.68          2173.67       
       3317          1146          3038.96      1624.64          2173.67       
       3423          1171          3080.67      1624.81          2173.67       
       3538          1200          3125.41      1626.23          2173.67       
       3637          1238          3155.37      1626.72          2173.67       
       3691          1261          3192.17      1626.72          2173.67       
       3734          1283          3275.30      1626.74          2173.67       
       3822          1307          3305.14      1626.83          2173.67       
       3890          1327          3404.91      1627.85          2173.67       
       3988          1366          3443.58      1627.85          2173.67       
       4097          1400          3477.68      1628.88          2173.67       
       4186          1425          3522.89      1630.45          2173.67       
slurmstepd: error: *** JOB 742157 ON optimum02 CANCELLED AT 2023-12-24T23:07:33 DUE TO TIME LIMIT ***
