solver,problem,instance,gridno,cost,dualbound,primalbound,gap,cpu
couenne,knapsack,knapsack-10-1,1,exp,-878.5129,-878.5129,0.0,309.894
couenne,knapsack,knapsack-10-1,10,log,-445.2237,-445.2237,0.0,0.044863
couenne,knapsack,knapsack-10-10,100,log,-252.5327,-252.5327,0.0,0.038579
couenne,knapsack,knapsack-20-1,101,exp,-1600.746,-1554.696,2.8767836996000726,3600.1
couenne,knapsack,knapsack-20-1,102,cubic,-829.7406,-743.8521,10.351247124703795,3600.1
couenne,knapsack,knapsack-20-1,103,sinabc1,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-1,104,sinabc2,-734.66,-734.6599,1.3611738760092824e-5,3652.97
couenne,knapsack,knapsack-20-1,105,sinabc3,-783.4469,-772.3743,1.41331850314298,3600.1
couenne,knapsack,knapsack-20-1,107,divexp,-784.2218,-718.4934,8.381353336517815,3600.1
couenne,knapsack,knapsack-20-1,109,square,-722.7954,-722.7954,0.0,0.468065
couenne,knapsack,knapsack-10-2,11,exp,-583.0403,-583.0403,0.0,38.2096
couenne,knapsack,knapsack-20-1,110,log,-770.3863,-770.3863,0.0,1.0556
couenne,knapsack,knapsack-20-2,111,exp,-1026.972,-938.8461,8.58113950526402,3600.1
couenne,knapsack,knapsack-20-2,112,cubic,-518.5851,-446.8971,13.823767786617855,3600.1
couenne,knapsack,knapsack-20-2,113,sinabc1,-442.9333,-442.4981,0.09825407121116252,3623.15
couenne,knapsack,knapsack-20-2,114,sinabc2,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-2,115,sinabc3,-480.8491,-472.9981,1.6327367567080813,3600.1
couenne,knapsack,knapsack-20-2,117,divexp,-499.0451,-405.7244,18.69985297921971,3600.1
couenne,knapsack,knapsack-20-2,119,square,-427.7894,-427.7894,0.0,0.794206
couenne,knapsack,knapsack-10-2,12,cubic,-291.0316,-291.0316,0.0,12.7719
couenne,knapsack,knapsack-20-2,120,log,-471.3177,-471.3177,0.0,0.637569
couenne,knapsack,knapsack-20-3,121,exp,-1840.341,-1696.625,7.8092049245221355,3600.1
couenne,knapsack,knapsack-20-3,122,cubic,-899.5298,-832.7301,7.426068597171548,3600.1
couenne,knapsack,knapsack-20-3,123,sinabc1,-821.7019,-821.6377,0.00781305239771601,3615.19
couenne,knapsack,knapsack-20-3,124,sinabc2,-822.761,-822.761,0.0,80.8329
couenne,knapsack,knapsack-20-3,125,sinabc3,-881.2878,-867.8486,1.5249501922073487,3600.1
couenne,knapsack,knapsack-20-3,127,divexp,-890.8347,-869.3629,2.4103012601552263,3600.1
couenne,knapsack,knapsack-20-3,129,square,-808.0623,-808.0623,0.0,0.326237
couenne,knapsack,knapsack-10-2,13,sinabc1,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-3,130,log,-860.4051,-860.4051,0.0,2.68956
couenne,knapsack,knapsack-20-4,131,exp,-1147.203,-1110.975,3.15794153257968,3600.1
couenne,knapsack,knapsack-20-4,132,cubic,-549.2019,-549.2019,0.0,3482.73
couenne,knapsack,knapsack-20-4,133,sinabc1,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-4,134,sinabc2,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-4,135,sinabc3,-565.189,-555.5147,1.711692902728117,3600.1
couenne,knapsack,knapsack-20-4,137,divexp,-571.2766,-527.1341,7.726992493653693,3600.1
couenne,knapsack,knapsack-20-4,139,square,-535.0835,-535.0835,0.0,0.157796
couenne,knapsack,knapsack-10-2,14,sinabc2,-286.1873,-286.1873,0.0,0.395033
couenne,knapsack,knapsack-20-4,140,log,-555.4655,-555.4655,0.0,0.079766
couenne,knapsack,knapsack-20-5,141,exp,-1896.106,-1763.584,6.989166217500495,3600.1
couenne,knapsack,knapsack-20-5,142,cubic,-942.189,-847.9152,10.005826856395048,3600.1
couenne,knapsack,knapsack-20-5,143,sinabc1,-840.2949,-840.2268,0.008104297669777423,3623.49
couenne,knapsack,knapsack-20-5,144,sinabc2,-828.121,-828.121,0.0,47.9694
couenne,knapsack,knapsack-20-5,145,sinabc3,-891.388,-875.82,1.7464897440845044,3600.1
couenne,knapsack,knapsack-20-5,147,divexp,-946.7642,-737.2616,22.1282765022167,3600.1
couenne,knapsack,knapsack-20-5,149,square,-805.2593,-805.2593,0.0,0.374126
couenne,knapsack,knapsack-10-2,15,sinabc3,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-5,150,log,-876.546,-876.546,0.0,0.721299
couenne,knapsack,knapsack-20-6,151,exp,-1315.547,-1238.622,5.847377554735783,3600.1
couenne,knapsack,knapsack-20-6,152,cubic,-725.9359,-594.8984,18.050836168868344,3600.1
couenne,knapsack,knapsack-20-6,153,sinabc1,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-6,154,sinabc2,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-6,155,sinabc3,-630.8341,-612.8245,2.8548868870595436,3600.1
couenne,knapsack,knapsack-20-6,157,divexp,-656.197,-518.9208,20.91996763167159,3600.1
couenne,knapsack,knapsack-20-6,159,square,-575.6272,-575.6272,0.0,0.062842
couenne,knapsack,knapsack-20-6,160,log,-617.5535,-617.5535,0.0,3.12349
couenne,knapsack,knapsack-20-7,161,exp,-1197.558,-1098.877,8.240185444045302,3600.1
couenne,knapsack,knapsack-20-7,162,cubic,-593.2174,-513.3574,13.462180981205208,3600.1
couenne,knapsack,knapsack-20-7,163,sinabc1,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-7,164,sinabc2,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-7,165,sinabc3,-559.9401,-547.5992,2.203967888708102,3600.1
couenne,knapsack,knapsack-20-7,167,divexp,-536.3101,-517.0425,3.592622999268523,3600.1
couenne,knapsack,knapsack-20-7,169,square,-491.31,-491.31,0.0,0.447136
couenne,knapsack,knapsack-10-2,17,divexp,-287.8912,-287.8912,0.0,0.358214
couenne,knapsack,knapsack-20-7,170,log,-548.1617,-548.1617,0.0,0.074303
couenne,knapsack,knapsack-20-8,171,exp,-1328.845,-1269.284,4.4821630814730025,3600.1
couenne,knapsack,knapsack-20-8,172,cubic,-669.9752,-602.9505,10.004056866582516,3600.1
couenne,knapsack,knapsack-20-8,173,sinabc1,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-8,174,sinabc2,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-8,175,sinabc3,-634.812,-624.1814,1.6746060250908863,3600.1
couenne,knapsack,knapsack-20-8,177,divexp,-617.3033,-617.3011,0.0003563888286384001,3606.54
couenne,knapsack,knapsack-20-8,179,square,-578.8598,-578.8598,0.0,0.635734
couenne,knapsack,knapsack-20-8,180,log,-626.6575,-626.6575,0.0,0.065746
couenne,knapsack,knapsack-20-9,181,exp,-1362.983,-1355.41,0.5556195491799872,3602.09
couenne,knapsack,knapsack-20-9,182,cubic,-707.4071,-650.2461,8.080354296698472,3600.1
couenne,knapsack,knapsack-20-9,183,sinabc1,-644.9641,-644.9499,0.002201672930334182,3631.5
couenne,knapsack,knapsack-20-9,184,sinabc2,-642.1897,-642.1897,0.0,33.5761
couenne,knapsack,knapsack-20-9,185,sinabc3,-687.9053,-671.8636,2.331963425779681,3600.1
couenne,knapsack,knapsack-20-9,187,divexp,-685.1825,-658.1538,3.9447446483236157,3600.1
couenne,knapsack,knapsack-20-9,189,square,-634.3038,-634.3038,0.0,0.581361
couenne,knapsack,knapsack-10-2,19,square,-284.8476,-284.8476,0.0,0.045193
couenne,knapsack,knapsack-20-9,190,log,-668.0747,-668.0747,0.0,0.124628
couenne,knapsack,knapsack-20-10,191,exp,-1807.058,-1645.553,8.937455244934025,3600.1
couenne,knapsack,knapsack-20-10,192,cubic,-883.6532,-814.1775,7.862326532626144,3600.1
couenne,knapsack,knapsack-20-10,193,sinabc1,-790.7999,-790.7128,0.011014164265822997,3613.51
couenne,knapsack,knapsack-20-10,194,sinabc2,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-20-10,195,sinabc3,-853.8546,-829.877,2.8081596093761223,3600.1
couenne,knapsack,knapsack-20-10,197,divexp,-907.3796,-811.0361,10.617772319324786,3600.1
couenne,knapsack,knapsack-20-10,199,square,-782.0736,-782.0736,0.0,0.088162
couenne,knapsack,knapsack-10-1,2,cubic,-410.8867,-410.8867,0.0,19.4602
couenne,knapsack,knapsack-10-2,20,log,-290.6172,-290.6172,0.0,0.042182
couenne,knapsack,knapsack-20-10,200,log,-840.1002,-840.1002,0.0,5.31514
couenne,knapsack,knapsack-50-1,201,exp,-3569.683,-3276.573,8.211093253938799,3600.1
couenne,knapsack,knapsack-50-1,202,cubic,-2281.713,-1591.159,30.264717780018785,3600.1
couenne,knapsack,knapsack-50-1,203,sinabc1,-1693.719,-1608.149,5.052195789266116,3600.1
couenne,knapsack,knapsack-50-1,204,sinabc2,-2460.16,-1598.057,35.042558207596244,3600.1
couenne,knapsack,knapsack-50-1,205,sinabc3,-2114.167,-1695.671,19.794841183312382,3600.1
couenne,knapsack,knapsack-50-1,207,divexp,-1795.371,-1328.693,25.993401920828624,3600.1
couenne,knapsack,knapsack-50-1,209,square,-1571.748,-1571.748,0.0,3.10648
couenne,knapsack,knapsack-10-3,21,exp,-476.3083,-476.3083,0.0,49.8404
couenne,knapsack,knapsack-50-1,210,log,-1670.616,-1670.616,0.0,2.35044
couenne,knapsack,knapsack-50-2,211,exp,-3595.393,-3348.097,6.878135436098358,3600.1
couenne,knapsack,knapsack-50-2,212,cubic,-2333.351,-1649.106,29.324563685446385,3600.1
couenne,knapsack,knapsack-50-2,213,sinabc1,-1727.698,-1630.234,5.641263693075999,3600.1
couenne,knapsack,knapsack-50-2,214,sinabc2,-2566.914,-1628.567,36.55545140974728,3600.1
couenne,knapsack,knapsack-50-2,215,sinabc3,-2121.643,-1694.756,20.12058579129476,3600.1
couenne,knapsack,knapsack-50-2,217,divexp,-1802.212,-1378.304,23.521539086411583,3600.1
couenne,knapsack,knapsack-50-2,219,square,-1620.931,-1620.931,0.0,1.40081
couenne,knapsack,knapsack-10-3,22,cubic,-224.9351,-224.9351,0.0,28.2914
couenne,knapsack,knapsack-50-2,220,log,-1683.222,-1683.222,0.0,2046.25
couenne,knapsack,knapsack-50-3,221,exp,-3383.905,-3147.471,6.987016479481552,3600.1
couenne,knapsack,knapsack-50-3,222,cubic,-2214.211,-1549.27,30.030606839185598,3600.1
couenne,knapsack,knapsack-50-3,223,sinabc1,-1630.291,-1537.711,5.678740789221061,3600.1
couenne,knapsack,knapsack-50-3,224,sinabc2,-2440.856,-1535.495,37.09194643190751,3600.1
couenne,knapsack,knapsack-50-3,225,sinabc3,-1991.178,-1595.828,19.855080761237826,3600.1
couenne,knapsack,knapsack-50-3,227,divexp,-1696.213,-1415.066,16.5749820335064,3600.1
couenne,knapsack,knapsack-50-3,229,square,-1527.265,-1527.265,0.0,1.76315
couenne,knapsack,knapsack-10-3,23,sinabc1,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-50-3,230,log,-1592.074,-1592.074,0.0,2.73435
couenne,knapsack,knapsack-50-4,231,exp,-3637.36,-3410.612,6.233861921833419,3600.1
couenne,knapsack,knapsack-50-4,232,cubic,-2344.442,-1680.45,28.3219631792981,3600.1
couenne,knapsack,knapsack-50-4,233,sinabc1,-1747.544,-1654.07,5.34887819705828,3600.1
couenne,knapsack,knapsack-50-4,234,sinabc2,-2568.749,-1646.008,35.92180473841546,3600.1
couenne,knapsack,knapsack-50-4,235,sinabc3,-2145.362,-1717.198,19.95765749556485,3600.1
couenne,knapsack,knapsack-50-4,237,divexp,-1821.996,-1600.042,12.181914779176253,3600.1
couenne,knapsack,knapsack-50-4,239,square,-1638.857,-1638.857,0.0,4.00333
couenne,knapsack,knapsack-10-3,24,sinabc2,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-50-4,240,log,-1702.62,-1702.62,0.0,2.01281
couenne,knapsack,knapsack-50-5,241,exp,-4213.506,-3793.609,9.965501413787006,3600.1
couenne,knapsack,knapsack-50-5,242,cubic,-2671.151,-1851.159,30.698077345683554,3600.1
couenne,knapsack,knapsack-50-5,243,sinabc1,-1940.475,-1840.282,5.163323413081848,3600.1
couenne,knapsack,knapsack-50-5,244,sinabc2,-2902.006,-1820.797,37.25729719373426,3600.1
couenne,knapsack,knapsack-50-5,245,sinabc3,-2411.353,-1930.539,19.939594078511114,3600.1
couenne,knapsack,knapsack-50-5,247,divexp,-2111.575,-1739.55,17.61836543812083,3600.1
couenne,knapsack,knapsack-50-5,249,square,-1804.936,-1804.936,0.0,1.67807
couenne,knapsack,knapsack-10-3,25,sinabc3,-1.0e12,1.0e12,200.0,3600.1
couenne,knapsack,knapsack-50-5,250,log,-1935.762,-1935.762,0.0,1.5147
couenne,knapsack,knapsack-50-6,251,exp,-3942.958,-3531.347,10.439142390053352,3600.1
couenne,knapsack,knapsack-50-6,252,cubic,-2536.932,-1727.669,31.899278340925168,3600.1
couenne,knapsack,knapsack-50-6,253,sinabc1,-1822.621,-1722.375,5.500101227847154,3600.1
couenne,knapsack,knapsack-50-6,254,sinabc2,-2695.504,-1703.504,36.8020229240988,3600.1
couenne,knapsack,knapsack-50-6,255,sinabc3,-2264.971,-1818.153,19.727316596989542,3600.1
couenne,knapsack,knapsack-50-6,257,divexp,-1977.181,-1587.345,19.71675835444504,3600.1
couenne,knapsack,knapsack-50-6,259,square,-1682.031,-1682.031,0.0,2.59255
couenne,knapsack,knapsack-50-6,260,log,-1799.851,-1799.851,0.0,869.448
couenne,knapsack,knapsack-50-7,261,exp,-3193.536,-2901.728,9.137457664482254,3600.1
couenne,knapsack,knapsack-50-7,262,cubic,-2088.861,-1373.119,34.26470215107659,3600.1
couenne,knapsack,knapsack-50-7,263,sinabc1,-1495.122,-1412.45,5.529448432970688,3600.1
couenne,knapsack,knapsack-50-7,264,sinabc2,-2216.416,-1392.859,37.157149199428275,3600.1
couenne,knapsack,knapsack-50-7,265,sinabc3,-1865.514,-1493.903,19.920032763088344,3600.1
couenne,knapsack,knapsack-50-7,267,divexp,-1598.354,-1156.29,27.657452604366746,3600.1
couenne,knapsack,knapsack-50-7,269,square,-1377.405,-1377.405,0.0,2.08244
couenne,knapsack,knapsack-10-3,27,divexp,-223.4542,-223.4542,0.0,9.03607
couenne,knapsack,knapsack-50-7,270,log,-1467.246,-1467.246,0.0,1107.14
couenne,knapsack,knapsack-50-8,271,exp,-3485.651,-3193.997,8.367274864867424,3600.1
couenne,knapsack,knapsack-50-8,272,cubic,-2261.257,-1542.233,31.79753561846354,3600.1
couenne,knapsack,knapsack-50-8,273,sinabc1,-1656.138,-1567.039,5.379926068962848,3600.1
