solving instance mcf arcs c64 3 6 cubic
Couenne 0.5.8 -- an Open-Source solver for Mixed Integer Nonlinear Optimization
Mailing list: couenne@list.coin-or.org
Instructions: http://www.coin-or.org/Couenne
couenne: 
ANALYSIS TEST: Reading problem: 0.1 seconds
Reformulating problem: 975.0 seconds
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1        TIME 0       74 1316.0638
Loaded instance "/tmp/jl_poUlos/model.nl"
Constraints:        14109
Variables:         275309 (713 integer)
Auxiliaries:         1767 (0 integer)

Coin0506I Presolve 20910 (-30) rows, 276616 (-460) columns and 1112608 (-90) elements
Clp0030I 0 infeas 71728, obj 0 - mu 1000, its 0, 684 interior
Clp0030I 1 infeas 91750.656, obj -113.02479 - mu 1000, its 2, 6895 interior
Clp0030I 1 infeas 92094.109, obj -79.09669 - mu 700, its 2, 7093 interior
Clp0030I 1 infeas 92535.588, obj -55.357682 - mu 490, its 2, 7182 interior
Clp0030I 1 infeas 92013.52, obj -38.767206 - mu 343, its 2, 6980 interior
Clp0030I 1 infeas 91525.397, obj -27.118729 - mu 240.1, its 2, 6907 interior
Clp0030I 1 infeas 91860.468, obj -18.986268 - mu 168.07, its 2, 6944 interior
Clp0030I 1 infeas 91333.901, obj -13.270528 - mu 117.649, its 2, 6829 interior
Clp0030I 1 infeas 91940.82, obj -9.3035721 - mu 82.3543, its 2, 6964 interior
Clp0030I 1 infeas 91308.401, obj -6.4874001 - mu 57.64801, its 2, 6857 interior
Clp0030I 1 infeas 91331.861, obj -4.5361147 - mu 40.353607, its 2, 6833 interior
Clp0030I 1 infeas 91315.206, obj -3.1654052 - mu 28.247525, its 2, 6747 interior
Clp0030I 1 infeas 91686.58, obj -2.2027893 - mu 19.773267, its 2, 6882 interior
Clp0030I 1 infeas 91714.683, obj -1.5324472 - mu 13.841287, its 2, 6763 interior
Clp0030I 1 infeas 91241.443, obj -1.0675645 - mu 9.688901, its 2, 6441 interior
Clp0030I 1 infeas 91122.512, obj -0.74086282 - mu 6.7822307, its 2, 6215 interior
Clp0030I 1 infeas 91411.8, obj -0.50589167 - mu 4.7475615, its 2, 6070 interior
Clp0030I 1 infeas 91228.324, obj -0.36881044 - mu 3.3232931, its 2, 5735 interior
