from,to,quantity
13,12,23
14,10,29
7,1,60
12,13,26
17,10,22
13,7,33
17,6,15
13,3,40
8,13,51
17,2,27
8,9,69
13,2,18
16,10,65
7,13,31
16,3,74
4,1,43
8,14,16
1,13,45
17,7,51
18,13,70
17,18,22
13,16,23
20,14,42
1,19,70
9,13,67
9,8,60
16,19,40
14,20,26
20,7,58
10,13,60
7,10,43
13,20,53
13,18,67
5,19,66
12,15,45
2,13,25
13,6,49
7,3,23
5,20,38
14,12,32
6,15,62
13,4,35
1,18,50
10,11,45
20,12,26
13,5,43
19,10,31
20,4,61
10,5,15
17,15,49
12,18,38
6,16,28
3,2,61
5,2,73
4,12,72
3,7,27
19,5,34
19,14,23
20,15,25
7,15,51
3,10,25
2,12,69
6,19,35
5,16,27
15,5,40
10,2,59
3,20,72
4,18,33
14,18,34
1,8,25
15,8,24
14,13,42
20,19,23
7,2,43
2,10,73
9,12,56
4,9,61
17,14,17
14,8,70
1,11,66
10,1,62
15,3,42
8,16,61
3,1,39
11,4,22
17,16,24
8,11,24
10,20,36
9,5,42
20,6,26
19,16,56
14,1,16
8,12,16
10,16,22
19,11,16
3,9,71
4,11,41
6,2,31
12,14,45
5,10,45
20,18,66
2,6,71
19,6,27
19,7,35
3,12,68
18,2,72
10,19,70
17,19,21
13,19,54
7,19,25
2,17,66
13,14,68
8,1,55
8,19,30
8,5,37
8,3,46
8,17,48
12,19,26
19,1,24
6,3,63
16,20,66
19,9,28
1,4,57
15,11,53
9,6,62
20,11,30
7,9,27
2,20,29
5,14,27
16,6,64
18,17,50
12,16,42
7,4,26
13,10,72
2,18,45
12,8,51
14,9,52
8,15,69
19,8,62
3,18,22
4,15,37
19,4,56
10,7,49
10,17,34
4,19,63
18,14,61
1,15,54
12,2,46
13,11,64
2,9,31
4,20,59
15,7,24
18,6,26
14,15,60
4,2,26
1,12,71
10,14,27
4,14,29
4,3,53
20,3,40
19,17,67
6,12,54
11,17,23
9,18,32
14,11,59
5,9,33
16,15,18
10,9,33
7,16,33
17,3,15
14,5,19
17,11,73
20,10,38
13,8,25
8,7,44
11,9,40
15,16,62
16,1,44
16,13,71
3,5,46
10,18,73
9,10,24
3,6,32
6,1,24
5,4,61
3,13,23
16,9,51
9,14,36
7,20,57
8,10,27
20,2,55
12,11,49
20,9,16
3,19,20
20,13,58
8,2,66
4,13,21
20,8,57
6,8,64
7,8,44
