from,to,quantity
4,23,71
19,17,19
19,20,24
6,15,57
16,29,49
9,8,38
11,6,49
5,12,41
5,9,74
29,2,23
15,9,41
6,2,20
1,30,37
17,29,21
26,2,58
21,15,46
2,16,45
19,4,55
22,5,59
24,2,44
27,15,40
30,10,52
20,25,56
26,16,18
25,19,53
5,15,32
11,4,62
1,29,38
13,6,43
18,15,71
22,13,18
23,15,53
25,28,37
13,20,31
4,19,34
6,12,70
23,30,28
8,21,53
18,30,48
19,10,27
17,6,57
18,27,49
21,24,30
23,16,33
12,28,34
5,27,58
23,3,61
17,9,54
9,16,19
7,26,27
7,13,71
9,18,28
22,19,58
27,7,30
8,14,34
16,7,28
2,29,52
25,5,72
17,14,44
18,14,21
2,15,71
7,18,53
5,3,33
20,9,38
28,3,53
11,18,54
28,17,39
2,25,73
9,28,54
25,15,73
1,14,51
16,26,61
7,27,53
25,27,70
6,23,43
8,26,29
29,25,20
18,4,17
27,16,37
17,20,37
3,9,55
23,2,58
26,11,49
4,21,30
11,14,54
17,11,61
9,12,28
2,5,30
11,10,52
2,19,73
12,20,50
4,7,29
13,19,71
20,7,60
10,4,49
18,2,36
28,25,64
27,18,53
23,21,39
25,10,24
22,28,50
28,15,31
23,4,74
27,6,36
24,9,74
24,10,55
4,27,45
23,17,66
30,11,48
27,4,20
30,1,18
22,1,72
30,5,62
23,26,70
12,19,66
11,28,44
3,11,46
24,30,72
11,24,18
28,26,51
4,1,65
28,19,44
22,25,47
23,7,36
15,12,55
28,13,69
17,21,54
24,19,38
20,22,51
23,6,69
25,6,38
18,17,56
4,9,47
17,3,20
1,23,68
19,11,74
1,26,24
29,26,41
5,10,69
22,23,61
12,14,40
28,11,41
19,23,17
8,9,30
21,28,61
20,30,22
3,17,62
20,29,48
12,24,60
10,12,72
1,3,18
20,4,33
26,28,52
12,7,15
6,11,33
7,15,70
28,8,18
29,10,38
16,19,59
3,28,53
21,1,67
12,1,43
1,6,20
24,5,20
8,10,27
8,23,24
27,25,16
24,11,71
8,13,73
1,17,48
11,26,45
10,25,61
11,29,72
6,19,29
26,24,15
22,24,54
6,4,25
22,11,45
21,12,48
28,2,19
4,20,43
26,3,70
16,18,19
6,25,24
17,5,32
17,12,64
22,9,42
18,8,57
1,20,33
22,27,54
9,15,71
2,22,65
5,17,58
4,16,22
18,7,57
14,5,37
8,25,48
22,17,44
8,24,68
9,4,25
23,27,40
4,6,40
20,23,20
29,1,22
29,17,49
22,20,28
9,17,15
17,8,39
12,25,32
15,7,33
2,11,40
1,25,64
7,12,24
1,2,73
22,16,25
25,14,38
30,16,58
28,24,56
4,24,63
5,22,25
18,6,46
24,17,51
16,15,34
25,13,19
14,29,50
30,20,24
21,29,44
2,1,45
15,26,62
1,22,28
20,10,48
14,3,24
29,8,57
14,10,15
9,13,57
6,17,33
1,12,20
29,23,50
29,7,60
14,18,21
15,27,27
5,14,48
24,14,25
16,4,51
3,12,62
22,18,24
3,26,36
26,19,34
26,10,61
14,23,73
5,24,48
15,16,66
8,18,39
25,2,68
20,28,30
14,22,66
13,24,35
28,22,16
1,21,37
29,14,51
19,28,41
13,27,49
10,30,47
4,2,53
11,20,20
12,11,60
26,25,39
20,3,44
30,4,62
3,2,55
22,30,59
26,5,46
3,15,28
5,25,25
3,23,54
10,11,55
17,22,56
11,23,41
7,5,60
3,20,74
29,6,38
29,24,67
4,8,50
10,6,26
11,9,18
5,28,71
16,11,61
2,12,28
20,19,29
27,13,41
15,6,34
14,2,50
10,8,34
18,24,49
12,21,29
17,1,26
29,28,69
9,10,56
8,30,70
22,15,43
13,16,25
7,16,29
17,18,61
9,26,47
11,5,28
5,1,22
27,10,45
17,26,39
23,18,68
21,20,24
9,29,46
7,1,52
6,22,64
30,17,21
27,20,33
3,1,19
29,5,68
2,23,19
22,6,38
1,10,47
23,25,67
8,17,60
22,2,40
27,24,54
8,3,65
27,11,42
6,13,17
16,25,45
11,27,16
11,8,30
16,21,61
5,6,45
8,28,62
11,16,53
17,4,59
6,3,22
3,22,57
24,6,22
2,3,48
13,25,57
30,14,30
18,16,37
22,21,64
13,7,23
5,23,46
15,21,74
23,13,70
17,24,20
18,9,42
10,28,18
17,25,32
7,24,27
21,26,69
22,7,36
13,14,25
29,13,58
25,12,66
26,17,21
19,21,65
22,29,19
5,2,41
21,2,35
4,18,69
11,12,53
13,17,35
16,6,50
27,12,28
24,21,45
17,23,44
22,10,42
1,13,56
3,13,54
4,15,18
17,27,16
14,6,45
6,1,55
16,27,20
11,3,31
26,30,40
27,9,35
18,29,43
16,30,67
23,9,19
28,10,43
12,2,26
17,19,45
29,27,30
4,10,25
19,1,59
14,16,64
17,10,20
10,5,20
17,7,65
16,23,34
18,13,40
29,18,51
8,7,66
13,15,44
19,30,48
28,16,36
