from,to,quantity
3,12,58
3,11,54
10,13,74
6,12,22
20,5,57
5,4,24
13,11,30
3,17,39
10,1,25
11,13,15
19,13,49
3,7,74
9,14,60
9,1,55
4,2,64
1,12,48
20,18,47
13,3,69
1,20,65
20,3,34
13,16,35
19,10,23
19,11,70
15,3,16
5,14,56
3,15,15
18,10,20
19,8,31
4,19,44
1,3,45
9,18,68
15,9,35
18,17,58
19,4,65
20,6,19
3,2,28
5,15,28
8,5,48
15,20,69
17,12,35
12,5,64
20,10,34
14,11,29
15,14,37
1,6,60
4,10,71
20,12,56
11,4,55
13,18,59
19,17,23
4,11,56
19,14,30
19,7,49
3,4,27
5,7,33
19,3,70
12,1,66
7,17,63
16,8,42
9,8,49
3,9,59
10,15,74
8,19,67
4,7,74
2,6,25
13,1,46
7,13,50
19,5,65
7,3,24
6,8,62
6,15,62
16,14,58
19,2,28
17,2,53
4,8,62
2,3,50
17,20,39
5,12,64
8,10,62
6,5,22
4,13,15
15,12,70
1,17,54
7,14,48
3,5,41
12,11,49
11,17,29
17,19,57
1,5,52
14,12,27
4,16,32
15,5,48
1,7,27
11,6,48
18,7,40
8,14,29
12,10,44
14,19,49
18,11,21
13,10,59
13,7,50
12,13,39
19,20,68
4,3,67
13,6,19
19,6,32
14,13,67
19,12,45
16,18,29
9,4,44
4,18,50
16,9,70
16,10,59
9,11,40
7,2,52
9,10,47
14,18,59
5,18,59
14,2,31
19,18,18
5,11,52
18,13,18
6,13,54
12,6,29
8,15,46
7,5,73
6,20,39
17,3,68
8,4,73
12,18,71
2,14,30
11,16,23
20,15,74
9,6,73
4,12,59
16,4,68
13,8,67
17,9,36
18,6,48
6,19,56
5,1,61
3,14,51
15,11,62
11,12,60
13,2,51
6,1,59
6,9,41
1,15,59
12,2,43
14,15,58
11,2,51
16,13,68
14,3,29
8,13,44
18,9,58
4,6,64
14,20,15
17,11,17
14,16,35
9,5,74
10,6,15
4,14,27
16,5,33
17,10,25
13,20,25
14,9,68
2,13,38
20,19,35
5,8,30
14,6,74
14,17,52
2,19,23
11,9,36
19,9,15
16,12,61
10,2,41
4,17,55
15,18,51
16,20,47
6,3,27
13,5,62
11,15,70
18,5,44
19,1,67
20,9,70
19,15,21
5,6,72
9,7,26
15,2,43
1,10,58
5,20,51
16,15,35
13,12,55
10,7,64
1,18,18
6,7,29
2,10,49
15,17,18
8,11,16
13,4,61
