from,to,quantity
22,23,48
9,15,28
25,19,70
1,16,51
15,7,25
26,3,52
6,3,74
22,10,18
14,10,49
29,20,35
1,4,63
6,21,34
15,22,20
15,8,54
15,12,38
27,9,54
28,9,22
28,14,74
12,15,22
9,14,26
20,13,24
18,1,61
24,21,17
23,13,46
3,1,39
3,28,59
29,17,16
22,21,62
12,25,44
20,8,25
15,5,70
5,19,52
1,28,15
29,4,16
24,18,44
30,27,47
15,17,43
7,10,59
3,14,67
25,17,19
30,23,27
16,9,52
22,18,61
11,4,62
20,2,47
30,29,41
26,19,20
7,13,59
27,6,48
27,3,30
10,7,47
23,17,64
24,7,15
10,15,48
20,21,20
22,5,19
8,19,42
15,28,30
5,1,33
19,21,53
17,19,68
20,1,22
15,29,22
2,9,45
29,15,44
26,23,47
7,22,63
25,11,29
2,13,59
21,26,17
2,18,72
18,8,45
18,9,18
14,20,61
12,4,51
1,8,41
27,14,22
16,12,74
9,7,41
12,30,40
7,15,63
8,4,39
12,14,71
29,21,29
19,27,72
17,28,15
13,19,25
21,8,45
7,4,27
3,10,52
29,14,46
12,17,45
21,5,69
29,13,72
17,24,21
20,29,63
16,26,40
14,12,15
16,19,24
2,5,19
6,11,46
10,19,27
16,30,39
15,21,49
5,17,62
18,25,20
22,6,63
5,22,53
3,9,48
24,25,16
14,6,48
23,28,70
26,15,50
14,27,41
8,3,35
16,4,41
12,6,66
3,6,27
21,29,51
6,20,44
25,28,20
1,13,18
9,20,48
11,5,69
26,10,39
2,15,46
27,22,25
6,4,65
8,27,18
16,27,34
22,24,20
8,22,32
7,5,45
11,26,65
7,12,56
6,1,29
17,2,49
22,11,66
12,5,45
14,28,57
21,18,48
28,15,60
15,24,33
7,17,57
14,19,34
8,16,74
21,14,65
27,2,57
7,16,32
20,6,50
4,1,28
3,25,29
22,2,38
7,29,25
15,20,59
4,9,25
20,28,57
6,29,29
15,23,27
28,18,18
23,22,37
7,30,40
26,25,40
29,27,70
14,3,52
17,9,52
15,2,23
29,30,45
4,24,55
25,3,73
27,5,48
11,8,69
14,11,42
20,26,19
30,4,32
13,5,22
17,6,71
2,19,74
1,11,55
16,5,74
1,30,47
21,3,53
11,30,36
7,20,66
3,8,65
8,21,67
9,26,52
18,5,60
16,21,25
19,7,66
29,23,56
5,8,57
27,18,54
26,30,31
14,29,23
25,2,49
19,13,61
10,23,53
9,17,44
6,2,45
27,19,25
28,20,54
11,7,17
10,6,36
11,28,62
6,17,22
8,11,55
27,12,70
13,4,60
22,8,62
1,3,47
6,22,17
11,16,23
30,28,60
7,9,16
15,30,28
14,15,19
6,27,73
15,3,17
9,2,15
14,24,19
6,5,50
3,21,53
23,10,16
17,3,72
12,26,66
12,11,68
15,16,32
6,14,44
27,25,37
10,9,65
2,24,18
23,3,62
2,28,49
26,24,63
29,1,31
18,12,59
5,21,56
28,7,38
6,12,34
5,13,59
5,11,43
27,23,42
17,4,37
20,27,29
4,11,23
11,13,43
13,26,47
24,28,20
9,3,49
8,15,18
20,5,71
5,14,60
5,10,52
22,25,37
7,27,50
27,11,72
9,6,57
7,3,17
17,10,29
14,1,38
15,6,20
18,26,63
4,13,36
23,6,67
10,21,39
8,5,71
21,13,64
7,1,62
19,12,30
1,21,57
16,11,54
25,30,38
7,23,24
20,30,62
9,13,71
13,23,53
10,3,56
23,19,34
9,10,50
13,3,19
25,23,46
11,22,68
17,14,30
3,30,31
13,9,67
12,2,31
22,29,44
22,30,19
12,21,38
15,25,46
16,17,15
2,6,49
29,28,42
28,24,50
11,19,52
5,3,44
2,26,21
30,9,58
5,20,17
26,21,35
13,12,29
9,5,55
24,14,25
22,9,29
16,22,71
2,7,56
11,1,23
14,9,28
26,12,36
29,6,32
10,25,29
4,14,47
5,15,60
4,6,48
13,25,47
5,26,37
18,15,22
22,3,28
26,17,24
28,10,56
10,22,64
6,23,37
14,13,72
15,13,39
26,18,17
21,20,37
30,5,69
21,30,30
28,5,68
26,16,65
10,30,25
8,23,66
4,18,49
20,16,56
16,2,17
13,16,36
27,20,24
23,8,39
4,19,62
18,20,26
25,26,72
9,27,65
12,8,52
8,28,52
17,7,36
24,22,27
16,25,48
8,14,63
28,19,18
22,27,26
7,18,31
24,5,73
4,26,16
30,7,68
3,19,44
23,29,34
11,18,43
25,7,32
16,13,23
27,1,28
28,1,42
20,17,18
20,4,41
5,27,20
16,6,43
5,28,20
18,28,59
29,3,26
14,17,42
10,17,57
19,20,39
18,30,45
15,19,69
16,7,27
11,27,55
15,11,60
7,2,23
24,11,35
11,25,18
27,8,72
17,21,65
19,1,15
26,27,41
9,23,28
5,24,74
22,20,47
11,20,53
7,21,15
27,29,73
18,27,36
3,7,24
29,8,19
27,16,71
5,23,43
13,29,35
10,16,47
9,28,31
2,20,60
20,10,59
