from,to,quantity
18,3,52
15,23,28
9,2,40
5,30,40
9,4,51
29,18,74
2,14,67
19,17,21
6,20,41
18,10,36
19,21,50
22,9,66
21,7,61
9,21,32
27,25,52
13,29,42
15,6,16
2,22,61
3,8,33
14,9,56
6,10,18
6,22,45
30,20,74
17,7,72
25,21,58
30,24,56
19,30,18
10,22,18
24,17,57
16,20,50
8,17,57
22,30,71
9,13,57
14,21,61
17,20,37
9,16,58
12,1,19
27,28,58
29,25,41
6,23,47
1,13,66
8,25,15
17,23,51
5,27,41
27,5,44
5,29,45
13,23,53
7,17,31
23,12,61
7,2,25
26,17,26
20,13,36
16,7,45
28,7,74
1,4,30
5,28,51
21,1,28
9,6,59
25,13,56
29,19,16
5,23,53
6,17,31
25,4,21
26,20,56
19,27,48
27,24,43
28,13,40
18,29,51
3,23,74
19,23,17
15,9,41
18,7,71
24,8,29
14,4,27
15,14,18
10,25,68
5,17,72
18,17,41
17,21,45
18,6,28
20,9,62
2,28,62
12,2,54
19,15,15
28,9,59
27,16,44
3,30,74
28,1,35
30,8,66
27,3,27
25,5,49
4,1,71
22,15,62
17,16,24
26,16,62
20,1,40
6,16,55
19,9,38
30,19,16
4,11,21
2,11,53
4,8,26
26,25,15
16,21,31
7,23,20
29,7,15
29,10,19
16,9,63
26,7,15
25,8,69
23,10,63
2,27,27
26,23,39
13,18,59
2,24,61
9,30,52
21,25,41
22,2,46
28,19,27
16,2,63
12,22,63
30,25,74
16,24,41
14,28,40
9,27,67
13,7,25
15,27,61
16,13,18
8,23,65
25,11,52
15,19,50
14,24,32
2,23,57
15,13,36
29,22,58
12,3,62
14,20,58
24,10,62
29,23,36
26,8,70
17,1,17
21,18,68
24,11,19
30,22,55
16,28,22
26,10,71
17,4,57
28,16,29
30,5,59
7,16,62
7,1,74
4,13,43
30,17,29
29,6,57
22,17,40
3,24,29
13,20,57
14,23,61
19,6,52
14,25,68
7,13,29
19,18,41
17,5,23
21,15,18
24,3,68
22,28,23
19,16,43
26,19,20
11,21,49
13,11,56
13,24,66
24,5,20
16,15,17
25,19,52
30,11,58
5,20,70
20,16,34
4,29,72
11,5,33
23,30,72
25,22,42
30,6,21
8,14,19
2,4,29
9,5,53
18,20,42
23,6,54
25,2,55
5,19,43
6,7,17
9,14,56
4,20,45
28,27,19
14,7,38
20,12,44
16,23,31
8,20,32
15,18,50
9,3,68
9,7,44
9,15,18
1,10,73
10,27,27
2,3,22
27,7,31
25,1,24
25,27,45
26,5,68
12,10,65
24,18,51
11,4,65
7,24,70
15,24,60
1,6,28
19,28,27
3,11,15
5,1,20
19,26,58
25,16,61
9,22,49
2,13,54
4,7,39
6,15,30
27,29,45
25,7,73
7,5,21
15,4,50
3,16,41
5,9,58
7,4,33
15,8,62
20,22,68
22,3,26
10,8,21
14,6,39
4,9,41
4,27,36
22,14,42
10,6,69
5,6,59
3,21,41
9,23,34
6,2,36
8,15,44
5,8,59
23,13,61
10,15,63
16,18,17
19,12,70
24,23,57
21,6,27
30,7,18
26,11,23
21,23,44
28,3,58
6,27,53
10,16,45
24,12,67
9,10,52
30,2,60
29,26,74
25,23,19
4,6,48
23,29,44
27,12,23
14,5,68
1,5,40
12,21,66
24,27,48
12,9,56
27,6,46
8,28,65
29,2,37
1,21,43
18,4,61
9,17,62
27,17,74
7,15,63
30,21,21
29,5,74
25,10,56
12,17,24
29,30,34
15,26,50
20,7,21
5,26,32
26,29,59
30,4,65
8,24,57
1,22,16
10,30,74
26,6,73
3,13,47
24,25,70
15,7,22
10,9,64
15,28,37
29,12,65
24,19,65
24,28,70
16,8,64
5,3,46
14,29,15
22,29,52
16,12,32
1,19,32
17,18,58
29,20,45
29,13,18
20,4,65
6,4,51
25,15,66
23,15,19
19,7,25
25,14,72
22,27,33
21,27,53
10,3,30
10,1,36
9,29,54
22,11,29
3,12,17
16,22,73
30,28,22
5,2,66
2,8,44
1,30,52
11,10,34
2,25,16
26,27,22
24,29,25
21,2,49
9,18,60
21,8,63
6,25,48
11,22,52
6,8,28
12,7,41
28,14,48
8,27,60
6,9,21
28,30,15
29,17,38
4,5,45
16,25,70
25,24,71
25,29,23
6,26,66
25,20,47
18,24,44
26,22,67
16,10,15
13,17,53
7,8,66
12,6,26
25,3,59
6,5,34
28,11,15
18,5,63
6,28,25
19,1,41
2,12,36
13,26,24
30,16,70
22,1,58
25,6,25
10,2,24
19,22,21
27,1,45
10,28,47
21,3,32
13,4,63
22,25,45
16,5,63
2,19,41
16,27,70
27,30,34
16,1,51
28,21,51
28,24,61
21,10,60
17,8,51
25,26,68
19,5,60
12,29,69
20,15,18
29,14,73
16,30,52
24,16,19
27,11,46
19,8,18
11,30,31
27,23,28
4,30,55
26,13,49
25,9,69
10,13,19
29,3,57
24,9,21
25,30,25
