from,to,quantity
22,21,61
27,29,58
10,28,30
14,18,72
27,18,49
3,29,57
11,5,57
5,15,62
24,18,32
14,2,20
21,20,32
28,6,43
2,18,54
2,14,20
27,10,36
2,30,16
21,5,68
18,29,59
6,21,45
30,15,28
2,19,61
17,3,62
26,25,33
17,24,66
10,11,44
20,30,73
30,19,24
19,23,22
21,3,60
19,8,31
19,5,30
27,20,20
30,3,74
9,17,66
22,18,58
13,27,45
11,25,69
13,3,56
14,7,46
22,6,26
8,3,19
10,3,58
3,13,61
27,21,47
20,10,19
15,23,33
22,27,65
15,3,50
16,27,54
14,8,66
18,17,25
8,18,18
4,10,69
28,17,43
7,2,40
6,24,63
4,13,45
10,2,28
25,10,73
23,26,30
1,14,36
11,6,28
20,29,45
23,30,52
14,29,61
1,28,56
15,29,23
8,30,43
24,12,34
28,22,37
14,21,49
20,25,39
24,30,62
7,10,60
24,10,58
21,11,68
30,2,46
10,24,48
21,15,32
19,28,33
16,7,39
6,26,63
13,25,70
10,15,31
1,19,57
9,30,38
1,22,69
23,6,41
12,6,39
16,13,26
1,15,25
29,20,18
20,7,74
10,23,32
1,6,41
11,4,37
7,9,39
27,23,31
11,16,47
23,29,59
