from,to,quantity
18,26,74
1,26,65
15,19,74
19,26,73
2,6,46
16,17,56
22,20,36
25,17,35
15,6,49
17,19,24
14,12,68
9,17,73
26,12,48
9,23,51
16,30,60
23,4,52
30,2,54
12,27,54
10,8,57
4,8,26
7,2,54
2,1,45
12,13,37
7,20,23
7,30,19
6,15,26
11,7,73
17,3,61
25,1,23
27,20,16
19,9,24
17,30,57
10,13,19
25,5,38
23,2,27
23,30,15
27,24,39
17,24,45
6,7,29
14,30,32
24,13,40
21,8,46
24,14,46
12,16,35
9,29,21
27,23,54
23,5,67
30,8,73
26,17,22
13,11,52
6,9,52
15,2,64
17,25,66
7,19,74
14,16,27
26,19,21
7,5,71
1,10,37
28,27,68
22,16,25
22,3,37
27,7,47
29,6,38
11,27,38
22,17,53
7,4,66
13,29,74
24,22,41
23,7,48
8,21,37
11,22,18
15,1,51
30,4,72
3,4,43
15,7,62
4,27,47
11,24,27
30,7,55
21,18,16
3,2,43
14,9,51
23,21,34
5,14,43
3,30,67
11,26,54
13,21,44
17,6,52
28,15,48
15,5,64
9,12,56
7,12,40
4,25,52
21,26,31
8,23,36
22,7,35
28,19,23
8,1,31
23,8,46
26,2,40
14,7,73
