from,to,variable_cost,capacity,fixed_cost,x6,x7
1,19,1,212,2722,1,65
1,15,7,629,1902,1,140
1,11,1,365,2066,1,167
1,2,6,517,2198,1,215
2,1,3,369,2657,1,24
2,20,2,507,2230,1,38
2,10,9,206,1935,1,76
2,14,9,177,1968,1,154
2,7,1,591,2886,1,206
2,3,3,151,919,1,227
3,8,5,437,2427,1,52
3,9,7,582,2853,1,54
3,15,8,167,3083,1,74
3,7,7,357,3181,1,81
3,13,5,509,2722,1,87
3,18,7,479,427,1,92
3,2,5,261,525,1,106
3,5,5,588,2362,1,115
3,17,7,235,1509,1,117
3,10,7,634,3181,1,118
3,19,5,203,2788,1,123
3,11,3,145,1181,1,125
3,4,2,450,886,1,146
3,14,4,516,2329,1,165
3,6,2,208,2230,1,178
3,12,9,600,1804,1,187
3,16,8,354,2886,1,193
3,1,1,583,2296,1,211
3,20,7,296,492,1,225
4,7,6,582,2198,1,7
4,20,1,455,2722,1,17
4,11,9,209,1771,1,47
4,5,9,408,3181,1,63
4,15,8,590,2952,1,73
4,8,7,324,1935,1,88
4,14,4,142,2821,1,98
4,13,7,203,1378,1,120
4,3,9,224,3050,1,191
4,18,5,246,2886,1,194
4,6,6,152,1312,1,209
5,10,2,142,1476,1,1
5,3,6,594,1181,1,19
5,1,6,447,3116,1,79
5,13,9,456,2034,1,145
5,14,8,486,558,1,186
5,16,2,269,1771,1,192
6,20,8,544,2230,1,41
6,3,5,537,2558,1,85
6,16,6,638,1804,1,89
6,13,5,180,2362,1,90
6,12,1,168,2493,1,91
6,11,7,342,2526,1,105
6,17,5,512,2657,1,126
6,2,9,304,328,1,135
6,14,9,442,2165,1,153
6,18,5,552,1279,1,184
7,12,6,296,1837,1,23
7,9,2,295,2165,1,40
7,19,5,325,1804,1,55
7,3,5,235,1607,1,58
7,6,1,627,1411,1,113
7,5,6,582,2821,1,147
7,11,9,354,1607,1,156
7,17,4,417,3149,1,157
7,2,1,158,886,1,160
7,14,9,287,886,1,163
7,1,8,318,2099,1,168
7,4,8,360,820,1,196
7,20,2,434,820,1,207
7,8,4,325,984,1,212
7,18,6,529,2165,1,217
7,15,9,476,2689,1,228
8,15,3,177,656,1,59
8,4,4,464,2034,1,67
8,18,1,194,1706,1,84
8,11,3,556,2198,1,109
8,16,2,631,1870,1,158
8,10,3,239,1411,1,218
9,15,3,407,1935,1,4
9,18,4,468,328,1,5
9,14,8,416,2493,1,42
9,17,9,351,2591,1,50
9,10,3,588,1148,1,96
9,7,5,335,2689,1,99
9,2,1,309,2526,1,110
9,13,3,339,2853,1,114
9,4,2,229,2230,1,185
9,11,4,579,2755,1,197
9,20,3,409,2624,1,201
10,3,9,642,525,1,6
10,8,3,257,460,1,9
10,17,6,147,2132,1,11
10,16,6,487,2066,1,29
10,20,4,155,1870,1,62
10,12,6,629,2034,1,68
10,2,2,130,1771,1,100
10,6,7,577,2132,1,111
10,7,8,604,820,1,121
10,4,1,351,2198,1,127
10,9,2,163,1181,1,139
10,18,7,446,624,1,169
10,11,5,335,1443,1,173
10,1,3,456,3116,1,183
10,19,4,464,1443,1,190
11,2,1,206,2132,1,3
11,16,1,287,820,1,39
11,13,9,422,2657,1,49
11,15,7,186,656,1,51
11,20,8,404,2198,1,56
11,1,3,559,2099,1,60
11,10,4,254,853,1,75
11,18,4,317,2493,1,82
11,19,7,174,1968,1,103
11,12,6,304,1902,1,108
11,9,1,316,2755,1,138
11,17,9,190,1148,1,155
11,14,7,579,2460,1,166
11,8,6,464,1673,1,180
11,7,6,538,2493,1,204
11,4,6,330,1115,1,220
12,4,2,543,1575,1,14
12,10,1,424,2493,1,35
12,16,6,317,2001,1,43
12,6,6,443,2755,1,57
12,9,7,552,2657,1,61
12,20,1,377,2460,1,64
12,13,3,265,1115,1,70
12,18,3,293,2558,1,164
12,8,9,392,1542,1,174
12,11,3,322,2591,1,199
13,5,4,623,1607,1,8
13,15,4,400,722,1,12
13,9,3,248,2755,1,13
13,10,4,630,1739,1,27
13,1,9,404,788,1,33
13,6,9,509,2263,1,66
13,8,6,440,2099,1,97
13,18,8,252,2099,1,107
13,16,7,267,1181,1,119
13,14,7,422,3149,1,159
13,2,5,610,886,1,162
13,3,1,313,558,1,182
13,4,6,326,1017,1,188
14,17,4,173,2952,1,2
14,18,1,464,2362,1,15
14,7,9,601,853,1,16
14,11,1,337,1509,1,21
14,1,1,527,2985,1,30
14,10,9,642,558,1,32
14,8,4,609,3050,1,36
14,3,5,470,886,1,133
14,2,2,548,2034,1,141
14,4,3,232,1378,1,175
14,13,3,228,3116,1,176
14,12,8,492,1050,1,208
14,9,1,569,460,1,219
14,19,8,368,2198,1,221
15,2,7,372,1115,1,10
15,8,4,259,1804,1,20
15,5,2,459,2952,1,26
15,10,9,587,2198,1,37
15,20,5,211,2460,1,46
15,6,8,235,1181,1,53
15,18,5,495,689,1,78
15,11,4,529,2919,1,86
15,3,2,186,1050,1,122
15,4,1,383,328,1,129
15,12,6,610,2263,1,130
15,14,1,189,1279,1,161
15,1,5,486,1279,1,216
15,9,5,225,1968,1,223
16,8,3,265,1739,1,72
16,3,4,639,1640,1,77
16,12,4,312,1607,1,95
16,5,5,350,3017,1,102
16,1,2,387,2624,1,132
16,15,8,322,2591,1,134
16,7,7,173,3247,1,152
16,2,1,633,1607,1,171
16,20,1,381,788,1,200
17,10,9,391,3214,1,25
17,4,4,453,1247,1,104
17,12,4,418,919,1,116
17,1,1,470,1115,1,124
17,7,8,156,1706,1,131
17,3,1,569,1673,1,189
17,13,1,230,2296,1,195
17,6,3,190,1804,1,203
17,5,2,363,919,1,222
17,8,2,618,2296,1,226
18,1,6,531,1509,1,44
18,3,5,409,525,1,45
18,14,7,533,984,1,48
18,13,8,260,755,1,128
18,10,9,501,2919,1,143
18,12,5,443,1935,1,144
18,19,3,644,1345,1,149
18,9,8,591,1443,1,177
18,2,9,490,2034,1,198
18,20,8,186,1935,1,205
18,11,6,395,624,1,213
18,15,1,540,3017,1,224
19,5,9,642,1115,1,31
19,11,9,232,2788,1,80
19,3,7,613,689,1,93
19,7,7,278,2066,1,101
19,16,5,551,3116,1,136
19,15,4,638,788,1,151
19,9,9,387,1115,1,170
19,4,9,387,3083,1,181
19,18,6,590,591,1,210
20,15,7,300,1148,1,18
20,4,1,177,2296,1,22
20,17,4,238,3083,1,28
20,6,4,634,689,1,34
20,18,7,234,2886,1,69
20,2,7,578,1771,1,71
20,16,1,331,853,1,83
20,7,3,405,2657,1,94
20,19,4,356,1083,1,112
20,8,4,211,2526,1,137
20,5,7,521,2394,1,142
20,9,7,346,2165,1,148
20,14,3,469,1673,1,150
20,10,1,132,1443,1,172
20,3,3,575,2066,1,179
20,13,4,490,3017,1,202
20,12,5,420,1312,1,214
