from,to,quantity
7,2,44
10,5,34
8,4,18
13,5,59
1,11,47
5,7,44
10,19,38
18,2,74
8,18,46
11,10,16
19,2,47
1,14,19
8,1,57
15,8,24
10,3,18
5,14,26
20,17,16
11,8,38
12,9,25
19,18,36
5,17,60
15,18,46
8,17,56
7,12,46
20,11,17
2,10,17
20,12,45
4,11,21
19,20,56
10,6,66
18,16,58
14,13,55
5,16,52
13,3,72
20,7,32
11,17,65
11,19,30
12,14,48
7,18,47
9,10,19
20,16,62
6,19,46
16,14,46
17,16,38
10,17,32
18,10,37
1,10,58
11,13,59
1,3,58
10,15,34
19,16,19
17,19,52
8,7,54
4,17,59
3,17,74
7,17,22
15,17,30
4,2,42
14,2,65
13,8,53
16,6,30
19,1,52
6,16,60
2,13,55
1,12,53
5,3,52
13,9,69
15,16,62
1,16,33
15,5,57
2,14,25
17,18,34
15,11,44
6,20,61
17,3,23
19,6,21
12,11,28
14,18,33
2,9,59
8,9,25
7,8,59
13,18,52
15,2,26
18,12,29
9,11,50
7,9,29
18,3,21
4,15,68
6,9,45
15,20,33
10,16,41
9,7,30
1,7,29
2,20,16
20,13,23
17,8,73
1,13,20
3,8,19
19,14,51
16,20,50
7,6,38
13,11,20
13,10,45
18,5,42
12,15,46
14,9,26
11,7,35
2,16,25
20,5,35
12,18,47
20,15,50
16,13,70
12,5,23
18,14,25
4,7,57
18,13,69
6,8,29
6,5,26
19,13,45
2,7,29
9,15,67
20,3,15
16,10,41
19,15,41
16,4,33
15,7,28
13,2,71
13,19,45
20,6,31
4,19,30
8,3,40
16,19,42
13,7,70
5,20,62
15,4,44
13,1,54
20,4,54
16,2,31
8,11,52
4,1,23
2,18,32
13,15,53
1,17,17
16,15,33
15,1,53
15,12,70
6,15,15
12,20,20
1,2,71
5,8,73
5,18,59
17,20,68
17,7,27
6,3,72
20,19,60
5,6,36
1,15,41
8,20,30
20,9,62
3,16,62
6,17,60
2,4,24
7,10,18
3,11,48
13,20,31
15,9,23
13,12,64
12,4,31
4,6,16
17,13,54
1,6,46
11,14,58
3,10,39
20,10,15
8,10,50
15,14,71
2,17,71
18,9,37
9,4,31
17,2,62
12,1,68
5,11,45
15,3,23
6,7,49
7,15,65
5,4,47
13,4,21
6,10,25
18,19,21
11,6,19
4,13,65
8,13,70
11,16,53
12,2,22
8,16,43
20,1,47
8,6,27
11,20,51
17,15,19
4,20,20
