from,to,quantity
26,9,23
13,4,68
4,5,54
7,25,59
15,23,27
11,29,64
1,4,22
19,26,42
1,15,27
9,18,51
16,18,26
20,25,24
14,1,42
1,14,58
14,23,31
1,7,55
26,14,71
9,16,74
30,5,37
13,22,73
9,7,66
11,19,41
10,16,69
18,10,39
15,29,50
8,12,67
10,7,59
28,22,44
12,2,38
13,19,32
12,26,54
15,19,66
28,13,51
13,7,41
24,29,62
20,23,61
26,25,66
7,13,28
17,4,27
8,20,31
2,13,46
14,3,32
2,6,16
10,25,35
28,30,66
1,17,34
11,2,33
10,22,23
20,17,19
12,28,47
12,18,39
26,19,54
24,10,56
25,10,68
6,4,47
21,7,18
11,22,60
30,16,49
24,6,25
9,19,30
18,25,53
26,20,20
19,18,30
26,24,53
17,1,40
25,7,37
14,11,46
29,5,50
11,20,67
28,3,54
15,7,32
25,27,73
14,21,17
14,6,54
16,21,21
20,29,45
28,5,30
4,21,68
7,22,33
21,10,37
21,30,62
19,1,35
22,9,31
26,13,59
1,19,15
5,25,16
12,22,73
7,5,37
18,15,53
19,17,61
13,5,56
14,17,29
17,12,31
14,9,57
11,4,37
16,9,21
22,29,22
15,17,59
21,27,69
12,29,73
