from,to,quantity
30,18,71
2,17,56
14,5,15
4,14,49
4,3,67
22,29,54
4,27,23
15,4,23
21,23,51
15,24,60
11,28,50
23,24,65
18,6,58
24,30,69
27,22,70
17,7,73
26,27,73
14,12,70
29,2,54
18,27,44
26,19,68
20,3,19
6,2,15
14,24,36
15,20,54
11,23,60
1,30,47
7,24,15
25,6,50
23,30,65
25,27,49
14,27,71
7,17,33
10,7,29
16,1,71
24,5,26
16,14,70
24,23,30
16,18,15
19,12,18
5,15,59
30,11,16
24,21,44
9,1,30
13,7,70
4,25,15
4,21,42
11,16,21
14,22,72
2,28,44
2,1,48
2,18,39
11,21,52
11,19,50
23,5,31
21,30,55
26,25,64
29,11,37
27,26,55
3,1,26
10,11,38
18,7,16
30,24,57
30,19,16
19,22,30
17,6,59
17,1,52
28,17,66
26,6,47
1,21,16
25,12,42
21,7,45
30,22,25
15,28,60
6,9,66
4,19,45
12,17,37
30,6,32
6,14,48
3,23,21
5,19,46
15,26,17
13,15,16
9,17,33
11,24,54
18,13,49
8,22,43
27,13,41
3,13,43
10,9,22
23,4,23
16,23,37
9,8,48
10,2,48
14,7,48
8,25,37
17,19,48
22,17,34
19,9,18
2,16,47
