from,to,quantity
7,2,71
2,6,57
16,3,74
9,2,25
8,19,67
2,5,19
5,20,37
12,14,37
6,4,37
6,20,54
19,10,18
10,2,30
18,4,59
12,13,27
12,18,29
5,3,44
15,9,35
16,9,36
4,9,44
18,12,70
9,17,28
10,1,25
19,13,35
19,17,27
11,14,25
1,18,52
6,9,22
11,1,62
12,10,15
17,1,73
7,17,35
9,12,30
1,2,40
14,8,50
14,17,49
3,10,49
16,17,62
4,16,61
11,2,47
7,6,60
20,7,59
9,5,22
19,20,43
3,5,34
2,8,24
3,6,28
2,1,63
18,6,70
13,6,45
3,20,44
14,18,71
9,18,15
2,18,53
12,9,39
10,4,40
10,8,43
19,16,70
17,2,73
12,1,19
9,3,68
20,6,61
18,1,36
9,7,35
13,18,35
14,7,50
18,13,73
20,15,16
2,12,26
19,7,73
14,10,64
7,19,35
10,17,18
16,4,39
11,3,25
13,5,68
14,1,44
18,15,31
5,11,36
12,15,37
17,14,71
2,11,30
2,4,65
10,18,66
12,19,36
16,13,47
6,8,72
18,2,26
18,17,48
10,5,68
1,16,39
17,3,24
18,11,15
19,2,39
2,14,50
15,17,70
12,2,47
17,5,42
17,20,28
20,3,45
20,12,15
19,1,46
1,8,66
14,16,59
16,5,24
3,9,28
6,17,59
8,3,37
16,8,62
5,12,24
19,18,16
7,15,56
20,13,72
2,19,43
13,16,65
18,10,24
1,4,69
10,20,41
5,19,68
2,7,25
14,11,66
5,9,29
19,11,41
18,8,69
14,4,59
5,16,15
11,7,44
19,3,74
4,17,20
11,17,67
15,7,34
10,13,51
15,13,24
3,19,72
20,1,41
7,13,27
20,4,19
13,9,50
7,16,59
10,6,26
13,4,41
17,12,27
9,8,51
13,10,65
11,19,61
4,3,45
7,18,50
1,13,52
10,14,51
11,9,30
2,10,17
3,18,44
18,19,23
9,10,44
10,9,73
19,12,54
5,17,59
15,2,36
20,8,72
13,20,17
20,19,43
2,16,41
14,15,70
2,3,40
11,5,28
4,15,52
2,13,73
16,15,28
15,3,35
13,8,69
1,14,17
10,16,55
7,5,19
18,9,73
19,8,45
6,10,70
12,3,45
8,12,57
1,12,57
5,13,43
13,11,44
8,17,67
6,19,42
13,7,40
7,11,58
13,2,45
13,12,17
10,15,60
11,18,19
2,9,22
8,18,48
13,15,35
7,10,28
1,10,16
12,11,45
19,4,38
4,6,42
16,12,18
20,10,60
8,15,58
14,2,32
