from,to,quantity
12,2,33
1,15,29
9,8,71
20,5,24
5,4,55
20,14,18
15,20,52
19,5,37
8,1,26
6,1,24
1,2,35
17,10,56
2,4,32
2,19,18
17,15,64
1,9,29
14,9,68
12,10,56
2,18,55
6,13,19
11,18,69
8,9,17
11,20,28
15,18,58
7,8,51
19,15,30
13,19,67
12,17,42
15,5,72
20,19,67
3,6,46
13,9,34
18,5,19
12,1,25
11,3,34
10,20,41
9,17,63
1,6,29
4,5,43
9,19,19
7,15,43
9,14,68
8,4,49
4,12,26
19,6,24
11,17,45
10,6,46
4,1,41
20,6,18
3,4,15
2,14,15
14,19,53
3,9,51
12,15,69
1,20,28
9,4,66
12,20,67
7,11,60
11,5,20
10,7,30
11,10,65
12,9,26
3,18,27
5,13,22
1,19,59
17,18,44
17,19,39
4,16,74
3,10,31
19,10,28
16,11,33
12,8,26
16,3,41
1,8,68
10,19,71
14,13,37
13,6,57
17,9,33
7,16,45
12,16,20
3,11,46
17,20,29
13,2,51
3,19,27
13,8,18
13,17,65
4,6,32
15,19,33
6,9,63
19,12,52
16,15,32
5,15,43
8,20,18
10,1,62
4,7,64
9,20,66
17,12,18
18,9,43
16,4,46
11,16,53
6,16,33
19,2,39
17,13,30
8,15,64
14,6,68
16,1,59
9,13,43
10,16,37
5,16,23
1,11,71
18,20,63
9,11,40
17,1,57
16,18,73
10,12,69
11,13,31
16,2,36
20,13,26
2,15,58
3,20,71
16,8,35
5,19,29
2,12,74
17,3,41
6,12,73
14,1,64
13,14,27
8,18,52
13,3,39
14,12,20
17,4,16
20,15,52
16,9,64
13,20,46
1,18,47
18,14,54
9,15,57
14,11,38
9,16,25
8,14,62
1,4,69
17,16,19
14,17,39
18,19,71
11,14,36
7,19,57
6,15,15
4,11,47
1,13,22
10,3,34
3,2,71
4,9,72
3,16,40
16,20,69
10,8,61
14,8,41
12,6,20
5,1,53
9,2,15
3,8,53
11,15,28
18,4,69
12,19,50
1,17,53
9,18,60
11,1,28
9,3,60
10,2,18
20,3,64
18,8,33
9,7,63
6,5,64
6,2,74
9,6,40
1,10,65
3,7,19
20,1,73
13,7,63
13,11,29
16,12,53
14,20,67
17,14,40
13,16,17
9,5,35
18,1,28
3,13,44
19,11,30
14,16,24
15,16,37
11,19,48
15,7,35
1,12,15
9,1,19
12,3,39
10,18,35
4,13,60
5,6,53
1,16,36
7,2,73
2,8,15
