from,to,quantity
10,25,58
5,4,29
19,18,57
13,19,41
10,28,34
23,13,24
18,3,35
16,18,69
5,9,36
6,25,21
24,11,26
27,7,48
7,27,22
29,5,66
5,3,28
17,7,30
21,12,71
18,21,74
9,29,25
22,2,28
6,29,40
28,22,57
17,1,36
4,15,60
21,23,56
25,30,33
1,9,74
9,26,52
3,22,57
13,9,57
5,30,40
21,2,59
3,18,18
11,26,43
26,22,15
25,3,31
20,9,31
7,18,58
18,30,49
2,6,45
22,17,30
13,2,41
28,4,34
11,12,44
15,3,43
19,22,46
30,18,68
26,5,41
2,1,46
23,6,22
14,3,44
19,30,57
27,23,52
3,25,17
8,22,33
5,23,73
21,29,57
29,30,58
6,26,32
8,13,16
8,29,71
19,10,30
20,26,21
22,1,61
29,28,65
27,2,22
7,21,71
15,24,18
5,17,38
4,7,62
14,25,36
4,16,74
29,19,73
2,18,48
26,7,33
22,15,69
2,11,30
28,23,43
3,6,22
16,10,74
9,19,27
16,30,61
14,29,22
3,8,59
30,6,42
27,9,47
22,28,33
15,22,18
11,14,55
3,19,59
9,11,53
16,14,52
29,10,43
23,12,67
25,15,34
3,27,64
21,8,29
9,13,26
23,16,46
9,16,19
