from,to,variable_cost,capacity,fixed_cost,x6,x7
1,14,2,464,1431,1,12
1,16,6,490,373,1,19
1,4,8,181,358,1,22
1,17,9,267,909,1,61
1,30,6,595,492,1,70
1,24,7,496,1118,1,201
1,12,6,430,895,1,208
1,29,3,232,701,1,268
1,21,4,206,1267,1,287
1,10,4,452,641,1,326
1,9,7,452,1148,1,327
1,25,5,593,507,1,333
1,11,8,550,626,1,440
1,13,8,417,790,1,443
1,6,6,702,1327,1,455
1,5,5,242,880,1,465
1,18,9,461,731,1,496
2,18,4,401,150,1,31
2,20,8,651,1476,1,60
2,26,1,207,1312,1,78
2,23,8,623,954,1,97
2,12,6,149,1133,1,199
2,4,5,552,1178,1,217
2,15,5,477,403,1,233
2,30,9,458,760,1,259
2,10,9,615,269,1,279
2,14,4,554,701,1,300
2,21,9,409,850,1,302
2,11,9,285,1178,1,350
2,9,2,245,492,1,409
2,28,4,175,835,1,413
2,5,4,606,1371,1,483
3,10,7,710,1431,1,20
3,9,5,225,522,1,66
3,4,3,357,656,1,81
3,19,8,339,880,1,82
3,27,9,447,209,1,189
3,2,7,578,492,1,308
3,17,2,172,820,1,451
3,12,1,323,865,1,456
3,28,8,285,1058,1,464
3,11,6,547,388,1,468
3,26,2,603,1356,1,497
3,7,6,642,239,1,502
4,26,9,289,1267,1,51
4,13,2,628,1178,1,87
4,29,3,431,656,1,91
4,30,1,220,194,1,135
4,6,2,698,537,1,157
4,10,6,241,1446,1,161
4,7,5,425,433,1,181
4,15,5,210,939,1,245
4,5,1,323,611,1,265
4,12,7,632,1252,1,283
4,20,5,250,462,1,289
4,28,9,201,656,1,294
4,1,7,629,835,1,320
4,21,8,282,284,1,329
4,16,7,316,716,1,355
4,19,7,651,1416,1,454
4,23,3,323,626,1,461
4,17,5,532,150,1,510
5,27,2,289,269,1,7
5,13,2,679,1088,1,11
5,25,8,178,567,1,36
5,9,8,664,328,1,39
5,28,6,248,880,1,79
5,16,3,631,239,1,86
5,18,6,730,1401,1,100
5,3,8,335,1401,1,114
5,6,7,178,999,1,141
5,4,9,704,1401,1,170
5,23,6,628,656,1,178
5,22,7,179,686,1,228
5,1,2,509,790,1,247
5,14,1,304,507,1,309
5,24,5,546,1029,1,335
5,29,8,591,1118,1,351
5,21,7,543,477,1,375
5,11,6,406,150,1,378
5,12,4,365,820,1,384
5,8,8,658,1446,1,394
5,30,8,346,1356,1,414
6,30,4,245,1148,1,18
6,13,1,159,865,1,33
6,17,5,150,418,1,35
6,12,9,364,388,1,40
6,11,1,566,418,1,122
6,25,7,730,1222,1,130
6,8,5,647,150,1,140
6,10,2,553,1431,1,153
6,15,6,730,880,1,171
6,28,6,553,567,1,183
6,27,7,354,1133,1,224
6,18,8,417,433,1,239
6,20,9,204,790,1,258
6,5,1,197,194,1,284
6,23,6,313,731,1,292
6,2,5,553,671,1,307
6,19,4,362,209,1,310
6,29,2,255,1401,1,313
6,1,3,568,1282,1,331
6,21,5,222,1148,1,376
6,3,4,661,1058,1,401
6,9,1,562,805,1,448
6,7,3,255,1014,1,514
7,5,5,289,462,1,25
7,2,5,464,1461,1,89
7,6,1,382,1148,1,110
7,16,8,402,403,1,143
7,4,8,365,984,1,144
7,29,2,720,448,1,154
7,3,2,474,239,1,214
7,22,6,316,954,1,231
7,23,2,458,731,1,253
7,8,5,153,522,1,261
7,28,9,727,209,1,270
7,11,9,573,552,1,318
7,21,7,226,403,1,342
7,15,3,528,492,1,357
7,19,1,625,269,1,358
7,24,3,722,1133,1,407
7,14,5,349,448,1,453
7,25,8,156,343,1,495
7,30,5,395,984,1,500
7,26,2,323,239,1,507
8,11,4,234,1163,1,15
8,13,5,675,820,1,42
8,23,4,484,343,1,62
8,5,1,549,1342,1,116
8,21,6,220,671,1,209
8,17,6,379,1297,1,218
8,1,8,393,164,1,238
8,12,6,418,1342,1,240
8,15,2,382,865,1,264
8,2,5,609,418,1,319
8,22,6,402,507,1,400
8,27,8,335,895,1,476
8,20,8,666,641,1,486
8,3,4,324,284,1,503
9,3,9,641,835,1,4
9,26,9,720,1103,1,50
9,19,7,368,194,1,55
9,10,2,433,1178,1,56
9,17,7,175,388,1,155
9,11,4,484,358,1,163
9,6,3,572,775,1,168
9,14,1,710,1267,1,222
9,12,6,556,448,1,226
9,15,9,436,1058,1,276
9,13,3,409,775,1,365
9,30,5,340,209,1,366
9,7,9,461,597,1,452
9,23,2,250,686,1,481
9,20,3,601,611,1,508
10,8,2,509,299,1,58
10,21,5,713,1401,1,107
10,20,4,610,1446,1,123
10,27,1,471,865,1,128
10,30,9,292,835,1,146
10,5,7,203,597,1,149
10,24,5,207,462,1,177
10,18,8,251,299,1,196
10,28,4,157,954,1,219
10,11,5,418,284,1,353
10,25,8,553,239,1,371
10,22,5,648,224,1,444
10,3,8,266,597,1,447
10,16,8,310,1193,1,466
10,12,9,190,954,1,505
11,13,2,298,1282,1,1
11,3,9,528,313,1,5
11,2,4,301,462,1,6
11,12,5,714,239,1,72
11,7,7,250,1237,1,83
11,5,4,355,924,1,94
11,8,2,308,656,1,99
11,1,9,581,760,1,117
11,26,3,510,150,1,129
11,14,1,584,984,1,180
11,28,3,631,1386,1,188
11,21,5,506,522,1,193
11,18,5,483,1267,1,211
11,20,9,273,239,1,234
11,22,9,620,1178,1,262
11,29,2,254,358,1,305
11,17,8,698,701,1,330
11,10,7,631,1252,1,367
11,9,7,283,1312,1,442
11,24,4,704,313,1,472
12,4,4,453,433,1,93
12,26,2,379,984,1,112
12,5,2,402,1044,1,121
12,7,2,556,269,1,124
12,15,9,467,835,1,162
12,10,6,377,969,1,164
12,21,6,420,1118,1,212
12,1,2,475,969,1,235
12,16,3,154,1193,1,255
12,11,5,566,284,1,266
12,2,4,651,924,1,278
12,3,2,192,954,1,312
12,19,3,289,403,1,340
12,29,7,714,895,1,356
12,23,2,159,269,1,418
12,6,4,603,567,1,419
12,22,8,527,1058,1,457
12,14,9,651,239,1,467
12,27,4,439,671,1,499
12,17,9,615,671,1,504
13,27,5,607,746,1,10
13,2,4,390,492,1,74
13,5,5,367,1207,1,95
13,14,2,695,1446,1,96
13,23,2,292,552,1,101
13,7,3,447,1133,1,103
13,10,4,226,164,1,125
13,16,3,417,299,1,160
13,15,4,537,954,1,248
13,6,9,370,716,1,323
13,25,2,449,790,1,336
13,18,9,549,1342,1,398
13,11,6,704,760,1,428
14,11,7,307,358,1,24
14,5,3,191,254,1,115
14,13,7,481,1386,1,169
14,1,7,289,1073,1,192
14,3,4,600,835,1,200
14,28,1,225,209,1,205
14,16,4,204,909,1,227
14,25,8,433,924,1,272
14,26,2,162,1103,1,295
14,10,6,286,299,1,299
14,27,1,513,1461,1,303
14,29,3,420,1371,1,306
14,15,7,149,1312,1,332
14,22,8,179,1356,1,347
14,9,4,289,1222,1,349
14,8,5,229,686,1,402
14,21,8,639,1237,1,430
14,7,9,433,984,1,431
14,4,1,502,164,1,512
14,12,5,412,746,1,515
15,23,5,276,656,1,92
15,27,3,595,1312,1,120
15,25,4,280,820,1,132
15,1,5,239,1118,1,138
15,22,5,474,1058,1,147
15,9,7,509,582,1,195
15,4,9,610,1416,1,215
15,26,3,326,939,1,243
15,19,9,355,477,1,250
15,21,7,336,254,1,314
15,20,7,689,448,1,360
15,11,8,338,507,1,379
15,13,9,462,954,1,388
15,24,3,658,731,1,391
15,17,1,683,224,1,396
15,28,6,579,448,1,408
15,5,2,544,850,1,425
15,7,4,379,597,1,459
15,2,9,417,507,1,460
15,10,4,480,567,1,462
15,6,7,534,373,1,469
15,29,1,720,1073,1,482
16,24,9,336,313,1,38
16,26,1,519,1133,1,44
16,30,5,637,1163,1,54
16,28,8,428,522,1,63
16,27,4,343,1029,1,68
16,3,5,635,1014,1,152
16,11,8,338,239,1,256
16,25,9,286,1014,1,271
16,4,1,676,1431,1,275
16,9,6,701,1282,1,304
16,20,1,612,462,1,328
16,19,4,258,1073,1,346
16,10,3,458,313,1,441
16,8,4,387,1476,1,446
16,15,7,716,522,1,474
16,17,6,635,552,1,487
17,27,6,673,1252,1,49
17,19,1,172,716,1,57
17,15,5,423,775,1,67
17,24,1,266,1044,1,156
17,14,8,588,1222,1,158
17,4,5,351,611,1,198
17,10,2,505,820,1,325
17,9,8,349,254,1,380
17,7,8,673,239,1,423
17,11,9,518,820,1,478
18,10,6,575,224,1,13
18,17,9,184,984,1,14
18,16,9,232,1476,1,126
18,26,4,354,522,1,139
18,28,6,474,895,1,175
18,29,3,299,433,1,223
18,9,1,198,775,1,269
18,5,4,332,1163,1,412
18,12,5,494,567,1,416
18,11,7,503,909,1,420
18,1,1,191,984,1,434
18,20,1,534,1103,1,435
18,19,7,695,775,1,438
18,24,4,207,895,1,501
19,4,1,264,522,1,16
19,9,3,606,850,1,45
19,22,5,510,209,1,47
19,15,2,450,746,1,64
19,6,4,697,999,1,77
19,18,3,147,775,1,105
19,3,4,660,1103,1,109
19,26,5,483,969,1,182
19,21,6,194,1193,1,290
19,11,7,566,462,1,301
19,28,1,175,1178,1,322
19,20,7,493,671,1,363
19,27,3,626,343,1,374
19,1,5,447,1088,1,383
19,17,6,206,537,1,392
19,29,8,704,343,1,490
19,23,2,445,1029,1,513
19,25,8,415,1327,1,519
20,13,7,241,850,1,53
20,22,2,194,1118,1,84
20,18,5,512,760,1,85
20,4,3,286,1371,1,98
20,11,6,582,1446,1,131
20,10,1,414,462,1,172
20,12,2,670,492,1,203
20,25,2,314,1431,1,206
20,19,2,727,284,1,213
20,24,5,483,880,1,244
20,26,5,269,1118,1,273
20,6,7,670,731,1,344
20,27,7,222,746,1,369
20,21,6,673,313,1,386
20,30,7,163,179,1,410
20,7,3,204,299,1,411
20,29,6,623,1029,1,518
21,14,9,719,1148,1,9
21,2,9,282,537,1,43
21,30,8,619,1356,1,197
21,10,8,437,626,1,254
21,12,7,497,299,1,260
21,20,2,616,1327,1,345
21,25,8,678,1073,1,348
21,9,2,553,1401,1,352
21,28,6,307,686,1,373
21,24,6,267,1297,1,385
21,1,8,393,597,1,387
21,16,1,697,507,1,395
21,5,8,670,984,1,424
21,23,5,585,1044,1,439
22,23,9,685,716,1,28
22,3,2,609,433,1,37
22,1,3,255,1014,1,46
22,14,4,234,1073,1,52
22,28,9,464,1148,1,102
22,30,5,540,880,1,142
22,10,5,244,1118,1,165
22,15,4,724,1386,1,190
22,19,4,483,1222,1,280
22,24,4,595,284,1,298
22,13,1,390,1133,1,317
22,18,3,417,209,1,361
22,7,3,452,254,1,364
22,16,7,436,835,1,370
22,4,1,528,224,1,393
22,6,9,383,984,1,463
22,25,5,519,1014,1,475
22,21,4,562,999,1,477
22,2,6,467,701,1,492
22,27,1,642,746,1,494
23,11,5,678,1163,1,32
23,26,4,332,850,1,59
23,16,4,622,1118,1,113
23,12,6,569,1103,1,136
23,30,8,556,1356,1,166
23,22,3,273,1029,1,174
23,18,7,689,1252,1,179
23,9,8,647,999,1,204
23,2,1,527,909,1,216
23,4,5,228,164,1,230
23,3,1,292,939,1,274
23,19,7,335,224,1,422
23,27,3,702,1148,1,426
23,7,2,442,1327,1,506
23,10,1,600,850,1,516
23,21,1,537,1327,1,520
24,16,3,730,1476,1,21
24,14,6,175,820,1,30
24,26,2,376,1118,1,65
24,28,5,239,939,1,133
24,20,6,663,209,1,173
24,6,1,722,552,1,184
24,22,6,302,775,1,220
24,13,7,660,1461,1,225
24,12,3,442,343,1,281
24,9,3,389,299,1,293
24,25,4,257,1029,1,311
24,19,9,424,1237,1,337
24,8,4,258,746,1,338
24,23,4,698,1058,1,343
24,1,1,173,1356,1,405
24,17,5,301,1461,1,427
24,15,7,415,686,1,433
25,15,4,165,209,1,3
25,7,7,348,507,1,17
25,11,5,522,1133,1,23
25,28,4,527,1371,1,29
25,4,8,194,1386,1,80
25,6,3,669,582,1,176
25,13,4,179,164,1,191
25,23,4,447,194,1,210
25,9,7,512,1133,1,221
25,29,4,332,1282,1,236
25,16,8,203,194,1,249
25,24,2,496,522,1,251
25,1,8,241,254,1,263
25,30,6,719,254,1,296
25,27,4,587,1476,1,334
25,10,2,291,686,1,339
25,17,2,228,343,1,354
25,8,1,367,269,1,362
25,19,1,587,1207,1,377
25,26,3,537,954,1,397
25,14,8,182,716,1,404
25,3,6,638,954,1,511
26,7,3,566,284,1,27
26,12,6,720,716,1,127
26,29,1,319,179,1,134
26,18,6,185,448,1,159
26,2,9,433,1193,1,187
26,24,6,411,567,1,194
26,16,8,619,1193,1,246
26,17,5,692,299,1,267
26,4,3,565,1014,1,291
26,1,7,238,820,1,297
26,25,3,436,552,1,315
26,6,2,601,522,1,341
26,22,6,499,969,1,359
26,21,4,506,939,1,372
26,28,8,730,1312,1,390
26,27,2,661,1178,1,436
26,11,7,212,1356,1,449
26,3,2,673,1327,1,450
27,22,1,700,954,1,26
27,3,7,510,909,1,71
27,25,6,417,224,1,75
27,2,3,382,939,1,76
27,16,8,415,179,1,90
27,13,5,638,1297,1,108
27,15,1,661,731,1,111
27,26,7,238,880,1,148
27,30,4,286,1342,1,150
27,19,6,508,239,1,186
27,12,2,173,790,1,232
27,14,9,714,1356,1,252
27,7,7,540,701,1,324
27,10,4,275,656,1,389
27,5,2,481,1446,1,399
27,11,2,667,552,1,421
27,6,8,275,507,1,470
27,8,1,431,716,1,471
27,23,6,377,343,1,484
27,20,3,537,731,1,488
27,24,9,610,1237,1,498
27,28,4,474,552,1,509
28,24,7,213,716,1,8
28,26,7,546,760,1,41
28,19,8,228,1431,1,73
28,22,7,537,1088,1,88
28,5,3,714,1267,1,106
28,12,7,571,1476,1,118
28,17,5,634,1476,1,137
28,27,8,424,1014,1,151
28,14,2,311,388,1,185
28,13,8,490,1401,1,202
28,9,3,333,671,1,207
28,4,6,600,418,1,257
28,3,3,468,150,1,368
28,2,4,154,746,1,403
28,7,2,528,850,1,417
28,6,7,219,746,1,432
28,30,2,280,686,1,437
28,21,9,568,671,1,473
28,18,6,423,895,1,480
28,25,4,629,760,1,489
28,1,4,288,477,1,493
29,24,2,434,1282,1,2
29,21,4,223,805,1,34
29,7,5,239,492,1,69
29,8,8,705,731,1,229
29,10,9,311,731,1,282
29,27,3,229,954,1,288
29,19,6,383,611,1,316
29,28,7,267,969,1,321
29,15,3,549,924,1,381
29,11,8,150,194,1,406
29,9,8,565,1282,1,415
29,1,8,260,567,1,458
29,25,5,425,701,1,485
29,14,8,534,537,1,491
30,13,5,395,1148,1,48
30,20,7,188,1148,1,104
30,9,6,440,150,1,119
30,25,7,475,299,1,145
30,5,1,241,1133,1,167
30,24,2,280,1461,1,237
30,7,4,176,1461,1,241
30,19,3,642,820,1,242
30,27,2,192,1297,1,277
30,11,8,541,224,1,285
30,12,2,187,1416,1,286
30,28,8,324,895,1,382
30,1,2,338,179,1,429
30,23,7,187,954,1,445
30,21,4,453,1193,1,479
30,3,2,231,388,1,517
