from,to,quantity
14,18,42
27,15,25
21,19,22
22,16,44
10,7,21
8,2,41
27,9,39
13,23,44
23,29,66
21,9,69
20,7,18
25,14,71
14,25,48
26,21,25
3,16,15
12,19,22
4,5,57
29,11,57
23,1,51
21,26,42
12,16,63
16,18,54
13,3,69
29,5,15
21,22,58
16,24,44
25,5,34
16,12,52
25,11,39
15,25,56
3,5,64
5,1,16
25,10,19
2,21,63
26,18,53
20,13,43
4,30,32
13,18,59
8,22,45
25,12,57
21,7,38
27,11,39
5,23,43
16,23,62
20,3,23
23,21,48
13,28,37
18,17,72
5,28,73
12,10,22
20,8,49
14,13,55
9,16,46
18,25,38
8,16,56
10,8,21
12,3,68
17,4,50
27,19,31
29,7,51
18,15,48
29,14,26
24,2,23
11,22,44
15,24,37
24,10,60
7,27,66
30,15,19
1,30,37
22,5,67
21,3,37
12,27,23
8,4,56
21,14,48
17,6,35
21,30,61
3,2,69
3,18,44
5,12,28
3,13,49
26,20,51
1,19,52
9,23,48
9,15,17
23,14,49
29,4,28
14,28,48
14,17,27
22,10,65
24,19,21
26,19,37
16,30,39
16,11,23
26,24,22
11,15,39
25,22,55
6,25,29
17,15,34
1,15,20
5,26,23
