from,to,quantity
9,1,58
12,4,38
3,9,55
13,15,56
16,17,34
18,11,35
7,14,47
3,14,17
2,20,27
3,11,60
16,3,54
12,3,74
19,4,18
10,9,59
3,8,25
12,9,46
8,17,72
15,20,52
7,15,64
1,14,34
10,1,42
6,3,49
14,10,68
2,14,39
18,4,26
13,7,66
6,13,19
2,13,30
4,18,24
9,19,19
9,18,34
11,8,59
8,13,64
5,1,53
8,7,57
8,14,44
11,1,56
13,19,51
18,2,56
9,17,60
12,19,19
9,13,42
2,6,45
10,20,69
12,16,29
17,3,68
10,13,57
17,18,45
11,18,16
19,6,49
6,14,21
5,4,45
20,4,60
18,3,19
12,10,20
15,14,69
1,6,20
3,7,63
5,14,26
4,9,70
5,18,34
18,5,58
11,6,33
18,8,23
8,11,56
3,16,67
5,12,25
14,15,54
18,19,19
9,2,40
12,13,69
6,1,34
11,10,16
2,16,69
19,17,44
8,4,19
11,16,38
6,20,49
13,11,72
1,15,54
16,15,26
3,19,57
15,1,39
15,11,65
14,9,53
12,1,67
13,20,57
15,4,27
9,6,62
12,14,61
14,5,51
13,1,35
16,14,15
7,12,23
12,20,58
3,4,37
17,6,62
3,12,17
17,16,34
16,18,66
3,17,63
19,12,16
18,6,32
10,5,52
8,10,66
2,15,31
11,19,20
11,15,15
6,17,27
3,20,23
9,4,59
16,6,61
1,10,52
15,8,39
13,2,34
8,19,30
20,17,44
12,7,59
11,5,15
3,18,21
18,12,40
20,19,25
6,7,62
7,20,28
15,3,33
11,14,53
1,12,61
7,8,35
3,5,55
2,12,38
18,13,21
2,11,19
15,19,40
20,1,25
7,5,70
16,4,71
13,12,27
9,12,53
15,12,20
13,18,35
6,18,18
4,3,22
11,3,59
4,2,53
6,9,67
18,9,69
8,15,55
19,8,54
1,20,63
4,7,32
1,17,26
19,5,18
18,14,22
10,15,38
5,15,57
10,3,21
1,2,37
17,1,41
1,5,29
20,18,46
2,1,33
9,11,26
10,4,49
19,1,49
3,10,20
7,9,33
4,1,68
10,7,32
7,10,54
19,20,61
19,14,60
19,13,36
6,11,22
6,19,40
1,4,32
11,7,36
20,14,31
9,7,36
9,15,74
1,13,27
2,9,31
10,18,58
4,20,21
18,20,15
14,12,74
15,6,15
2,18,36
17,9,31
4,15,48
17,7,22
12,8,41
11,13,15
10,14,67
20,3,72
5,19,63
7,17,35
12,17,30
15,9,42
15,17,48
13,10,48
