solving instance uflp nlass gunluk ../../../../../instances/uflp/gunluk/gunluk-50-100-4.txt sinabc2
The latest version of Julia in the `1.10` channel is 1.10.6+0.x64.linux.gnu. You currently have `1.10.5+0.x64.linux.gnu` installed. Run:

  juliaup update

in your terminal shell to install Julia 1.10.6+0.x64.linux.gnu and update the `1.10` channel to that version.
reading gunluk data file ../../../../../instances/uflp/gunluk/gunluk-50-100-4.txt
1.1192357220365765 * (sin(5.0x) + 5.0x) ^ 2
1.467351254612602 * (sin(5.0x) + 5.0x) ^ 2
2.0894799512543663 * (sin(5.0x) + 5.0x) ^ 2
1.1628751469987328 * (sin(5.0x) + 5.0x) ^ 2
0.901190894112977 * (sin(5.0x) + 5.0x) ^ 2
1.5232707959187313 * (sin(5.0x) + 5.0x) ^ 2
1.7288960714707826 * (sin(5.0x) + 5.0x) ^ 2
0.8385497113894808 * (sin(5.0x) + 5.0x) ^ 2
1.3739801554341573 * (sin(5.0x) + 5.0x) ^ 2
0.9868403247645978 * (sin(5.0x) + 5.0x) ^ 2
0.7600424031692732 * (sin(5.0x) + 5.0x) ^ 2
1.8345958555978383 * (sin(5.0x) + 5.0x) ^ 2
2.2763764984895145 * (sin(5.0x) + 5.0x) ^ 2
2.3903467866013925 * (sin(5.0x) + 5.0x) ^ 2
0.9796697984988154 * (sin(5.0x) + 5.0x) ^ 2
2.079549799295071 * (sin(5.0x) + 5.0x) ^ 2
1.6921002401442313 * (sin(5.0x) + 5.0x) ^ 2
1.2274926194642741 * (sin(5.0x) + 5.0x) ^ 2
2.067462831946344 * (sin(5.0x) + 5.0x) ^ 2
1.1343522305319482 * (sin(5.0x) + 5.0x) ^ 2
2.1274924927539742 * (sin(5.0x) + 5.0x) ^ 2
2.253306128416937 * (sin(5.0x) + 5.0x) ^ 2
1.9495720388058129 * (sin(5.0x) + 5.0x) ^ 2
0.7636086208435706 * (sin(5.0x) + 5.0x) ^ 2
0.9533682008415212 * (sin(5.0x) + 5.0x) ^ 2
1.607627677732707 * (sin(5.0x) + 5.0x) ^ 2
1.0951426939852393 * (sin(5.0x) + 5.0x) ^ 2
0.4390436322441573 * (sin(5.0x) + 5.0x) ^ 2
1.3193648346699076 * (sin(5.0x) + 5.0x) ^ 2
2.2581061795972035 * (sin(5.0x) + 5.0x) ^ 2
1.5934958379637594 * (sin(5.0x) + 5.0x) ^ 2
1.6796060078989483 * (sin(5.0x) + 5.0x) ^ 2
1.5017076997228338 * (sin(5.0x) + 5.0x) ^ 2
2.1486865073161305 * (sin(5.0x) + 5.0x) ^ 2
1.777262302560668 * (sin(5.0x) + 5.0x) ^ 2
0.22027200796690113 * (sin(5.0x) + 5.0x) ^ 2
0.5609299486195314 * (sin(5.0x) + 5.0x) ^ 2
1.4964714710257256 * (sin(5.0x) + 5.0x) ^ 2
1.2857333612145432 * (sin(5.0x) + 5.0x) ^ 2
2.4162468513615276 * (sin(5.0x) + 5.0x) ^ 2
0.6046948915041622 * (sin(5.0x) + 5.0x) ^ 2
1.0216433500037831 * (sin(5.0x) + 5.0x) ^ 2
1.2524991169777988 * (sin(5.0x) + 5.0x) ^ 2
1.122288674885196 * (sin(5.0x) + 5.0x) ^ 2
1.2926649003201816 * (sin(5.0x) + 5.0x) ^ 2
1.0383992205734214 * (sin(5.0x) + 5.0x) ^ 2
1.8725695293362734 * (sin(5.0x) + 5.0x) ^ 2
1.6376161280547583 * (sin(5.0x) + 5.0x) ^ 2
1.6973516417325694 * (sin(5.0x) + 5.0x) ^ 2
0.7607749622342741 * (sin(5.0x) + 5.0x) ^ 2
0.3585022828878415 * (sin(5.0x) + 5.0x) ^ 2
2.0248704519193232 * (sin(5.0x) + 5.0x) ^ 2
2.099782283364853 * (sin(5.0x) + 5.0x) ^ 2
1.283339794585592 * (sin(5.0x) + 5.0x) ^ 2
1.0624481515230833 * (sin(5.0x) + 5.0x) ^ 2
1.6984171333528315 * (sin(5.0x) + 5.0x) ^ 2
1.915649862702203 * (sin(5.0x) + 5.0x) ^ 2
0.6447171068843075 * (sin(5.0x) + 5.0x) ^ 2
1.8374079359339575 * (sin(5.0x) + 5.0x) ^ 2
1.371900183643955 * (sin(5.0x) + 5.0x) ^ 2
0.9848993377522118 * (sin(5.0x) + 5.0x) ^ 2
2.0812699305312203 * (sin(5.0x) + 5.0x) ^ 2
2.14689793940323 * (sin(5.0x) + 5.0x) ^ 2
2.1272529679918617 * (sin(5.0x) + 5.0x) ^ 2
1.2053486820068053 * (sin(5.0x) + 5.0x) ^ 2
2.125847785109717 * (sin(5.0x) + 5.0x) ^ 2
1.021873123206378 * (sin(5.0x) + 5.0x) ^ 2
0.612005288905473 * (sin(5.0x) + 5.0x) ^ 2
1.8863515744317239 * (sin(5.0x) + 5.0x) ^ 2
1.8795559580180068 * (sin(5.0x) + 5.0x) ^ 2
1.9054762137530163 * (sin(5.0x) + 5.0x) ^ 2
2.7123474058056294 * (sin(5.0x) + 5.0x) ^ 2
1.6341544173595024 * (sin(5.0x) + 5.0x) ^ 2
0.3361171031911762 * (sin(5.0x) + 5.0x) ^ 2
0.5501727480724438 * (sin(5.0x) + 5.0x) ^ 2
0.903665204415008 * (sin(5.0x) + 5.0x) ^ 2
1.6914540905314652 * (sin(5.0x) + 5.0x) ^ 2
1.1898692984132526 * (sin(5.0x) + 5.0x) ^ 2
0.6175576502137269 * (sin(5.0x) + 5.0x) ^ 2
2.713419372955033 * (sin(5.0x) + 5.0x) ^ 2
1.5636327702307833 * (sin(5.0x) + 5.0x) ^ 2
0.9226158563898901 * (sin(5.0x) + 5.0x) ^ 2
0.8250347379664239 * (sin(5.0x) + 5.0x) ^ 2
2.342944940860644 * (sin(5.0x) + 5.0x) ^ 2
1.8729117059677498 * (sin(5.0x) + 5.0x) ^ 2
0.7992390269421645 * (sin(5.0x) + 5.0x) ^ 2
0.7459207027472584 * (sin(5.0x) + 5.0x) ^ 2
1.8277242461956136 * (sin(5.0x) + 5.0x) ^ 2
1.1306219047865609 * (sin(5.0x) + 5.0x) ^ 2
1.9798415691377569 * (sin(5.0x) + 5.0x) ^ 2
1.3180375643874696 * (sin(5.0x) + 5.0x) ^ 2
1.7794831138591758 * (sin(5.0x) + 5.0x) ^ 2
1.818293139002949 * (sin(5.0x) + 5.0x) ^ 2
1.7258290266238634 * (sin(5.0x) + 5.0x) ^ 2
0.6286822043865621 * (sin(5.0x) + 5.0x) ^ 2
1.641620806539384 * (sin(5.0x) + 5.0x) ^ 2
1.2428581545224262 * (sin(5.0x) + 5.0x) ^ 2
2.189955475013943 * (sin(5.0x) + 5.0x) ^ 2
2.3181155486346547 * (sin(5.0x) + 5.0x) ^ 2
0.06752076775522341 * (sin(5.0x) + 5.0x) ^ 2
1.6239759026620273 * (sin(5.0x) + 5.0x) ^ 2
0.7382740213459096 * (sin(5.0x) + 5.0x) ^ 2
1.2891254774064695 * (sin(5.0x) + 5.0x) ^ 2
0.46667833141979537 * (sin(5.0x) + 5.0x) ^ 2
0.3801493237280083 * (sin(5.0x) + 5.0x) ^ 2
0.6619981913703512 * (sin(5.0x) + 5.0x) ^ 2
0.8416084845544983 * (sin(5.0x) + 5.0x) ^ 2
0.8260366443677076 * (sin(5.0x) + 5.0x) ^ 2
0.5166178630706428 * (sin(5.0x) + 5.0x) ^ 2
0.06576061018651269 * (sin(5.0x) + 5.0x) ^ 2
1.6806352083168958 * (sin(5.0x) + 5.0x) ^ 2
0.9203214063033492 * (sin(5.0x) + 5.0x) ^ 2
1.5771991446126 * (sin(5.0x) + 5.0x) ^ 2
1.8135669088567696 * (sin(5.0x) + 5.0x) ^ 2
0.2760113941813146 * (sin(5.0x) + 5.0x) ^ 2
1.2534738121720173 * (sin(5.0x) + 5.0x) ^ 2
1.8020771273251854 * (sin(5.0x) + 5.0x) ^ 2
1.9252704470944586 * (sin(5.0x) + 5.0x) ^ 2
1.4458681281936447 * (sin(5.0x) + 5.0x) ^ 2
1.0643415611312508 * (sin(5.0x) + 5.0x) ^ 2
1.5404227961482775 * (sin(5.0x) + 5.0x) ^ 2
1.395951059499101 * (sin(5.0x) + 5.0x) ^ 2
1.5001765163450973 * (sin(5.0x) + 5.0x) ^ 2
1.0617976767577963 * (sin(5.0x) + 5.0x) ^ 2
1.0448630996550652 * (sin(5.0x) + 5.0x) ^ 2
2.2122686728471415 * (sin(5.0x) + 5.0x) ^ 2
0.5062015186042373 * (sin(5.0x) + 5.0x) ^ 2
0.8025429549791694 * (sin(5.0x) + 5.0x) ^ 2
1.9337930578760292 * (sin(5.0x) + 5.0x) ^ 2
1.3979252149774082 * (sin(5.0x) + 5.0x) ^ 2
0.9066710107055784 * (sin(5.0x) + 5.0x) ^ 2
2.1506134602538105 * (sin(5.0x) + 5.0x) ^ 2
1.666901930700513 * (sin(5.0x) + 5.0x) ^ 2
1.242283802844936 * (sin(5.0x) + 5.0x) ^ 2
0.9435512285018858 * (sin(5.0x) + 5.0x) ^ 2
0.7068104083531317 * (sin(5.0x) + 5.0x) ^ 2
0.5751889277870702 * (sin(5.0x) + 5.0x) ^ 2
0.5750899805579798 * (sin(5.0x) + 5.0x) ^ 2
0.8631195925012642 * (sin(5.0x) + 5.0x) ^ 2
2.0435937909083197 * (sin(5.0x) + 5.0x) ^ 2
