solver,problem,instance,gridno,cost,dualbound,primalbound,gap,cpu
gurobi,knapsack,knapsack-10-1,1,exp,-878.5186093653,-878.5177361173378,9.940005287251648e-5,23.47
gurobi,knapsack,knapsack-10-1,10,log,-445.2240446909,-445.2237547772433,6.511635212195229e-5,0.39
gurobi,knapsack,knapsack-10-10,100,log,-252.5327625834,-252.53272054883803,1.6645191515584994e-5,0.3
gurobi,knapsack,knapsack-20-1,101,exp,-1556.539514686,-1556.5379612626905,9.97997991654657e-5,331.08
gurobi,knapsack,knapsack-20-1,102,cubic,-750.1133022892,-750.113169843195,1.7656799919471578e-5,0.33
gurobi,knapsack,knapsack-20-1,103,sinabc1,-738.3658181568,-738.3650801719915,9.994839824527496e-5,5.26
gurobi,knapsack,knapsack-20-1,104,sinabc2,-734.6606574846,-734.6599415594878,9.744976880465745e-5,1.53
gurobi,knapsack,knapsack-20-1,105,sinabc3,-772.4329121384,-772.4321376931945,0.00010026051367172497,16.15
gurobi,knapsack,knapsack-20-1,106,sincos,-737.1412399737,-737.1405031225733,9.996064346223202e-5,117.01
gurobi,knapsack,knapsack-20-1,107,divexp,-778.4569686156,-734.9935481402431,5.583278489066877,3600.27
gurobi,knapsack,knapsack-20-1,108,sqrt,-755.0530424247,-755.0522908932664,9.953359451144105e-5,0.54
gurobi,knapsack,knapsack-20-1,109,square,-722.7953899909,-722.795389990924,3.3187708570695493e-12,0.28
gurobi,knapsack,knapsack-10-2,11,exp,-583.0457093781,-583.0451284479439,9.96371548263126e-5,4.63
gurobi,knapsack,knapsack-20-1,110,log,-770.3870546924,-770.3862979282296,9.823168312905381e-5,0.38
gurobi,knapsack,knapsack-20-2,111,exp,-967.1867368221,-967.1857697283272,9.999038820635299e-5,3298.39
gurobi,knapsack,knapsack-20-2,112,cubic,-453.8309766359,-453.83065433012473,7.10189017228287e-5,0.31
gurobi,knapsack,knapsack-20-2,113,sinabc1,-442.4989262069,-442.4984836326571,0.00010001702076851709,25.59
gurobi,knapsack,knapsack-20-2,114,sinabc2,-435.6876453729,-435.68721081465577,9.97407773358273e-5,3.71
gurobi,knapsack,knapsack-20-2,115,sinabc3,-472.9990996252,-472.99862652386355,0.00010002161459556442,215.85
gurobi,knapsack,knapsack-20-2,116,sincos,-437.3877242718,-437.3872868867935,9.999937863053842e-5,1479.36
gurobi,knapsack,knapsack-20-2,117,divexp,-480.7868572837,-450.19353525646596,6.363177687526032,3600.29
gurobi,knapsack,knapsack-20-2,118,sqrt,-456.2200711526,-456.2196443683522,9.354788944614673e-5,0.64
gurobi,knapsack,knapsack-20-2,119,square,-427.789442071,-427.7894420710271,6.338237490233234e-12,0.29
gurobi,knapsack,knapsack-10-2,12,cubic,-291.0318186771,-291.0315667391494,8.65671498432228e-5,0.48
gurobi,knapsack,knapsack-20-2,120,log,-471.3182162811,-471.3177603705541,9.6730941038636e-5,0.66
gurobi,knapsack,knapsack-20-3,121,exp,-1741.801585591,-1741.7998839919328,9.769190023264605e-5,1610.77
gurobi,knapsack,knapsack-20-3,122,cubic,-836.8658719264,-836.8658719263593,4.863370495758247e-12,0.31
gurobi,knapsack,knapsack-20-3,123,sinabc1,-821.6402137,-821.6393915750639,0.00010005899448605905,13.81
gurobi,knapsack,knapsack-20-3,124,sinabc2,-822.7609959311,-822.7609850678884,1.3203362298476512e-6,0.45
gurobi,knapsack,knapsack-20-3,125,sinabc3,-867.8735309395,-867.8726658637372,9.967762951371468e-5,0.83
gurobi,knapsack,knapsack-20-3,126,sincos,-822.9031286585,-822.902307652211,9.976949417534978e-5,19.17
gurobi,knapsack,knapsack-20-3,127,divexp,-869.9258941429,-869.6290491046091,0.03412302591399558,3600.29
gurobi,knapsack,knapsack-20-3,128,sqrt,-844.7498899152,-844.7490502481196,9.939830598823212e-5,0.45
gurobi,knapsack,knapsack-20-3,129,square,-808.0622942262,-808.0622942262235,2.8982281116183882e-12,0.3
gurobi,knapsack,knapsack-10-2,13,sinabc1,-286.5564754822,-286.55631974349154,5.434834729306821e-5,0.37
gurobi,knapsack,knapsack-20-3,130,log,-860.4059568277,-860.405098878261,9.97144931662874e-5,0.44
gurobi,knapsack,knapsack-20-4,131,exp,-1115.259769816,-1115.2586565462368,9.982156564231824e-5,493.68
gurobi,knapsack,knapsack-20-4,132,cubic,-549.2019274556,-549.2018817645837,8.31952947385462e-6,0.31
gurobi,knapsack,knapsack-20-4,133,sinabc1,-536.672965141,-536.6724277811562,0.00010012798830030005,12.56
gurobi,knapsack,knapsack-20-4,134,sinabc2,-535.0401492818,-535.0399953687282,2.8766639666106642e-5,0.57
gurobi,knapsack,knapsack-20-4,135,sinabc3,-555.5432372163,-555.5426794799263,0.00010039477332172632,36.66
gurobi,knapsack,knapsack-20-4,136,sincos,-536.5648935412,-536.564790901796,1.912898240490603e-5,28.7
gurobi,knapsack,knapsack-20-4,137,divexp,-552.5169467374,-552.5163951010295,9.984062456680717e-5,390.12
gurobi,knapsack,knapsack-20-4,138,sqrt,-547.7108903166,-547.7103456145632,9.945064931540104e-5,0.42
gurobi,knapsack,knapsack-20-4,139,square,-535.0834893033,-535.083489165667,2.5721787377636502e-8,0.3
gurobi,knapsack,knapsack-10-2,14,sinabc2,-286.1872670732,-286.1872670732392,1.3685135609151277e-11,0.31
gurobi,knapsack,knapsack-20-4,140,log,-555.4660268543,-555.4654748605508,9.937488929195189e-5,0.39
