solver,problem,instance,gridno,cost,dualbound,primalbound,gap,cpu
baron,knapsack,knapsack-10-1,1,exp,-878.512580034,-878.511701521,0.00010000004781431672,31.88
baron,knapsack,knapsack-10-2,10,sqrt,-289.296030211,-289.295740915,9.99999895589231e-5,3.51
baron,knapsack,knapsack-20-7,100,sqrt,-529.999080183,-529.998550184,9.999998487802961e-5,999.88
baron,knapsack,knapsack-20-7,101,square,-491.310512474,-491.310021164,9.99998956984344e-5,2.93
baron,knapsack,knapsack-20-7,102,log,-548.161767925,-548.161677127,1.656408844987374e-5,3.17
baron,knapsack,knapsack-20-8,103,exp,-1314.40112252,-1268.19171978,3.515624108065743,3618.42
baron,knapsack,knapsack-20-8,104,cubic,-604.769970611,-604.769365841,0.00010000000485876792,3.51
baron,knapsack,knapsack-20-8,105,divexp,-658.528206523,-611.728668747,7.106686898515627,3619.15
baron,knapsack,knapsack-20-8,106,sqrt,-611.804355531,-611.503418613,0.04918842359970731,3618.99
baron,knapsack,knapsack-20-8,107,square,-578.86041746,-578.8598386,9.999992788567577e-5,2.81
baron,knapsack,knapsack-20-8,108,log,-626.657772675,-626.657512611,4.150016346575422e-5,3.06
baron,knapsack,knapsack-20-9,109,exp,-1355.41382253,-1355.41246712,9.999971798704534e-5,1781.17
baron,knapsack,knapsack-10-2,11,square,-284.847888037,-284.847603189,0.00010000003931861827,2.7
baron,knapsack,knapsack-20-9,110,cubic,-656.877622128,-656.876965251,9.99999052875437e-5,2.9
baron,knapsack,knapsack-20-9,111,divexp,-689.126989875,-663.569551982,3.708668832958621,3618.99
baron,knapsack,knapsack-20-9,112,sqrt,-657.552422566,-657.539337475,0.001989969248220688,3618.55
baron,knapsack,knapsack-20-9,113,square,-634.30439493,-634.303760626,9.999993773166733e-5,2.67
baron,knapsack,knapsack-20-10,117,divexp,-854.600635173,-854.599780573,9.999992567898453e-5,43.77
baron,knapsack,knapsack-20-10,118,sqrt,-820.84360877,-820.842787927,9.999992582735361e-5,14.64
baron,knapsack,knapsack-20-10,119,square,-782.07437608,-782.073594006,9.99999519088635e-5,2.73
baron,knapsack,knapsack-10-2,12,log,-290.617347784,-290.617218058,4.463807855954481e-5,2.83
baron,knapsack,knapsack-20-10,120,log,-840.100664104,-840.100183758,5.717719560784654e-5,3.04
baron,knapsack,knapsack-50-1,121,exp,-3394.72975164,-3394.72635691,0.00010000000731175911,20.06
baron,knapsack,knapsack-50-1,122,cubic,-1636.59792946,-1629.62373984,0.4261394625068961,3618.9
baron,knapsack,knapsack-50-1,123,divexp,-1733.67428358,-1667.16560436,3.836284580668808,3620.36
baron,knapsack,knapsack-50-1,124,sqrt,-1640.44276607,-1621.42901402,1.1590622021852757,3625.79
baron,knapsack,knapsack-50-1,125,square,-1571.74977764,-1571.74820589,0.00010000001414978242,3.41
baron,knapsack,knapsack-50-1,126,log,-1670.61747432,-1670.6158037,0.00010000015117724485,2.75
baron,knapsack,knapsack-50-2,127,exp,-3498.04220236,-3393.78377354,2.980479445035304,3620.82
baron,knapsack,knapsack-50-2,128,cubic,-1669.9662073,-1665.49570787,0.26769999359615293,3620.17
baron,knapsack,knapsack-50-2,129,divexp,-1742.92220866,-1656.0710076,4.983079602088107,3620.16
baron,knapsack,knapsack-10-3,13,exp,-476.308111236,-476.307634928,9.999997664091402e-5,17.47
baron,knapsack,knapsack-50-2,130,sqrt,-1662.50167781,-1652.05181761,0.628562385198048,3616.4
baron,knapsack,knapsack-50-2,131,square,-1620.93260943,-1620.9309885,9.999983901332973e-5,2.92
baron,knapsack,knapsack-50-2,132,log,-1683.2239172,-1683.22223398,9.99997672742429e-5,3.18
baron,knapsack,knapsack-50-3,133,exp,-3202.91240828,-3202.90920536,0.00010000023701597682,43.89
baron,knapsack,knapsack-50-3,134,cubic,-1572.90743822,-1565.1227279,0.4949248843790576,3620.08
baron,knapsack,knapsack-50-3,135,divexp,-1663.03964792,-1418.61256032,14.697610360986301,3620.66
baron,knapsack,knapsack-50-3,136,sqrt,-1569.29681437,-1568.77792612,0.03306501646141605,3620.8
baron,knapsack,knapsack-50-3,137,square,-1527.26537276,-1527.2638455,9.999964821716769e-5,2.97
baron,knapsack,knapsack-50-3,138,log,-1592.07501175,-1592.07445628,3.488968772083973e-5,3.21
baron,knapsack,knapsack-50-4,139,exp,-3527.9237884,-3442.63486147,2.4175388144844394,3619.69
baron,knapsack,knapsack-10-3,14,cubic,-224.935083639,-220.826948173,1.8263649225094518,3616.17
