node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,20.0,6.0,264.0,488.0,832.0,194.117647
2.0,10.0,3.0,129.0,238.0,405.0,188.888889
3.0,7.0,2.0,8.0,15.0,25.0,18.0
4.0,11.0,4.0,82.0,151.0,257.0,106.5
5.0,8.0,3.0,72.0,132.0,226.0,140.142857
6.0,7.0,2.0,8.0,15.0,25.0,18.0
7.0,8.0,3.0,20.0,37.0,63.0,39.0
8.0,19.0,6.0,160.0,297.0,506.0,125.857143
9.0,8.0,3.0,95.0,175.0,299.0,185.714286
10.0,7.0,2.0,8.0,15.0,25.0,18.0
11.0,7.0,2.0,8.0,15.0,25.0,18.0
12.0,7.0,2.0,8.0,15.0,25.0,18.0
13.0,7.0,2.0,8.0,15.0,25.0,18.0
14.0,17.0,6.0,123.0,228.0,388.0,103.4
15.0,19.0,6.0,246.0,456.0,777.0,193.333333
16.0,7.0,2.0,8.0,15.0,25.0,18.0
17.0,7.0,2.0,8.0,15.0,25.0,18.0
18.0,7.0,2.0,8.0,15.0,25.0,18.5
19.0,10.0,3.0,129.0,238.0,405.0,188.888889
20.0,10.0,3.0,129.0,238.0,405.0,188.888889
21.0,9.0,3.0,72.0,134.0,228.0,121.375
22.0,7.0,2.0,8.0,15.0,25.0,18.0
23.0,16.0,5.0,110.0,203.0,347.0,99.428571
24.0,8.0,3.0,87.0,161.0,275.0,170.571429
25.0,7.0,2.0,8.0,15.0,25.0,18.0
26.0,8.0,3.0,11.0,21.0,35.0,21.285714
27.0,31.0,10.0,317.0,588.0,1002.0,149.6
28.0,8.0,3.0,66.0,121.0,206.0,128.0
29.0,7.0,2.0,8.0,15.0,25.0,18.0
30.0,31.0,10.0,279.0,517.0,882.0,131.666667
31.0,7.0,2.0,8.0,15.0,25.0,18.0
32.0,8.0,3.0,61.0,113.0,193.0,119.857143
33.0,7.0,2.0,8.0,15.0,25.0,18.0
34.0,7.0,2.0,8.0,15.0,25.0,18.0
35.0,19.0,6.0,66.0,122.0,207.0,51.5
36.0,11.0,4.0,145.0,269.0,458.0,190.0
37.0,10.0,3.0,126.0,234.0,398.0,185.714286
38.0,19.0,6.0,177.0,328.0,559.0,138.9375
39.0,10.0,3.0,34.0,63.0,107.0,49.777778
40.0,7.0,2.0,8.0,15.0,25.0,18.0
41.0,7.0,2.0,26.0,48.0,81.0,60.333333
42.0,7.0,2.0,8.0,15.0,25.0,18.0
43.0,10.0,3.0,116.0,215.0,366.0,170.555556
44.0,7.0,2.0,8.0,15.0,25.0,18.0
45.0,7.0,2.0,8.0,15.0,25.0,18.0
46.0,8.0,3.0,35.0,64.0,110.0,67.857143
47.0,16.0,5.0,205.0,379.0,647.0,185.714286
48.0,7.0,2.0,40.0,75.0,127.0,94.333333
49.0,8.0,3.0,82.0,151.0,257.0,159.857143
50.0,20.0,6.0,121.0,224.0,382.0,89.111111
51.0,10.0,3.0,66.0,121.0,206.0,96.111111
52.0,10.0,3.0,129.0,238.0,405.0,188.888889
53.0,9.0,3.0,112.0,207.0,352.0,187.5
54.0,7.0,2.0,8.0,15.0,25.0,18.0
55.0,7.0,2.0,8.0,15.0,25.0,18.0
56.0,11.0,4.0,19.0,35.0,60.0,24.7
57.0,9.0,3.0,42.0,77.0,130.0,69.25
58.0,9.0,3.0,112.0,207.0,352.0,187.5
59.0,10.0,3.0,128.0,236.0,402.0,187.5
60.0,10.0,3.0,129.0,238.0,405.0,188.888889
61.0,19.0,6.0,172.0,319.0,544.0,135.3125
62.0,7.0,2.0,8.0,15.0,25.0,18.0
63.0,7.0,2.0,8.0,15.0,25.0,18.0
64.0,8.0,3.0,57.0,105.0,179.0,111.0
65.0,7.0,2.0,8.0,15.0,25.0,18.0
66.0,7.0,2.0,8.0,15.0,25.0,18.0
67.0,7.0,2.0,8.0,15.0,25.0,18.0
68.0,7.0,2.0,8.0,15.0,25.0,18.0
69.0,9.0,3.0,101.0,187.0,319.0,169.75
70.0,7.0,2.0,8.0,15.0,25.0,18.0
71.0,16.0,5.0,142.0,263.0,449.0,128.857143
72.0,11.0,4.0,129.0,238.0,406.0,168.3
73.0,19.0,6.0,56.0,103.0,175.0,43.5
74.0,7.0,2.0,78.0,144.0,246.0,183.333333
75.0,8.0,3.0,95.0,175.0,299.0,185.714286
76.0,7.0,2.0,8.0,15.0,25.0,18.0
77.0,7.0,2.0,8.0,15.0,25.0,18.0
78.0,9.0,3.0,67.0,123.0,210.0,111.5
79.0,9.0,3.0,112.0,207.0,352.0,187.5
80.0,9.0,3.0,112.0,207.0,352.0,187.5
81.0,7.0,2.0,8.0,15.0,25.0,18.0
82.0,7.0,2.0,8.0,15.0,25.0,18.0
83.0,10.0,3.0,109.0,201.0,343.0,159.666667
84.0,20.0,6.0,157.0,290.0,494.0,115.176471
85.0,20.0,6.0,264.0,488.0,832.0,194.117647
86.0,7.0,2.0,8.0,15.0,25.0,18.0
87.0,7.0,2.0,8.0,15.0,25.0,18.0
88.0,27.0,8.0,244.0,451.0,769.0,130.357143
89.0,7.0,2.0,48.0,89.0,152.0,113.0
90.0,7.0,2.0,8.0,15.0,25.0,18.0
91.0,7.0,2.0,72.0,134.0,228.0,169.833333
92.0,7.0,2.0,78.0,144.0,246.0,183.333333
93.0,7.0,2.0,8.0,15.0,25.0,18.0
94.0,9.0,3.0,102.0,188.0,321.0,170.75
95.0,10.0,3.0,129.0,238.0,405.0,188.888889
96.0,7.0,2.0,8.0,15.0,25.0,18.0
97.0,7.0,2.0,8.0,15.0,25.0,18.0
98.0,8.0,3.0,18.0,32.0,55.0,33.857143
99.0,10.0,3.0,16.0,28.0,48.0,22.222222
100.0,26.0,8.0,258.0,478.0,815.0,144.863636
