node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,146.0,44.0,288.0,533.0,909.0,28.033
2.0,116.0,35.0,245.0,454.0,774.0,30.103
3.0,135.0,41.0,313.0,580.0,989.0,32.965
4.0,148.0,45.0,291.0,539.0,920.0,27.903
5.0,88.0,27.0,206.0,381.0,650.0,33.243
6.0,112.0,34.0,240.0,445.0,758.0,30.426
7.0,112.0,34.0,240.0,445.0,758.0,30.426
8.0,112.0,34.0,240.0,445.0,758.0,30.426
9.0,112.0,34.0,240.0,445.0,758.0,30.426
10.0,202.0,61.0,368.0,681.0,1161.0,25.799
11.0,202.0,61.0,368.0,681.0,1161.0,25.799
12.0,202.0,61.0,368.0,681.0,1161.0,25.799
13.0,202.0,61.0,368.0,681.0,1161.0,25.799
14.0,202.0,61.0,368.0,681.0,1161.0,25.799
15.0,202.0,61.0,368.0,681.0,1161.0,25.799
16.0,202.0,61.0,368.0,681.0,1161.0,25.799
17.0,202.0,61.0,368.0,681.0,1161.0,25.799
18.0,202.0,61.0,368.0,681.0,1161.0,25.799
19.0,148.0,45.0,291.0,539.0,920.0,27.903
20.0,148.0,45.0,291.0,539.0,920.0,27.903
21.0,148.0,45.0,291.0,539.0,920.0,27.903
22.0,135.0,41.0,273.0,505.0,860.0,28.673
23.0,116.0,35.0,245.0,454.0,774.0,30.103
24.0,65.0,20.0,174.0,321.0,547.0,37.818
25.0,89.0,27.0,208.0,385.0,656.0,33.067
