node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,4.0,2.0,13.0,23.0,40.0,48.666667
2.0,145.0,44.0,1330.0,2463.0,4202.0,130.72973
3.0,116.0,35.0,1456.0,2698.0,4602.0,178.983051
4.0,14.0,4.0,129.0,239.0,407.0,137.909091
5.0,115.0,35.0,830.0,1537.0,2622.0,103.035714
6.0,52.0,16.0,435.0,805.0,1373.0,119.172414
7.0,119.0,36.0,1389.0,2574.0,4390.0,165.581818
8.0,187.0,56.0,2620.0,4854.0,8280.0,199.471831
9.0,65.0,20.0,854.0,1582.0,2698.0,186.545455
10.0,5.0,2.0,28.0,51.0,86.0,79.8
11.0,88.0,27.0,499.0,925.0,1577.0,80.644068
12.0,39.0,12.0,535.0,990.0,1688.0,196.969697
13.0,122.0,37.0,1284.0,2379.0,4058.0,150.019608
14.0,117.0,35.0,1636.0,3030.0,5169.0,198.979592
15.0,34.0,11.0,361.0,668.0,1140.0,151.965517
16.0,4.0,2.0,12.0,22.0,37.0,45.0
17.0,91.0,28.0,545.0,1010.0,1722.0,85.704918
18.0,67.0,20.0,797.0,1476.0,2517.0,170.857143
19.0,32.0,10.0,433.0,802.0,1367.0,196.296296
20.0,40.0,12.0,431.0,798.0,1362.0,154.029412
21.0,64.0,20.0,521.0,965.0,1645.0,115.882353
22.0,52.0,16.0,721.0,1335.0,2277.0,197.727273
23.0,107.0,33.0,738.0,1366.0,2331.0,97.764706
24.0,33.0,10.0,222.0,411.0,701.0,96.833333
25.0,89.0,27.0,907.0,1680.0,2866.0,144.597015
26.0,32.0,10.0,352.0,651.0,1111.0,159.5
27.0,69.0,21.0,221.0,409.0,697.0,45.642857
28.0,82.0,25.0,995.0,1843.0,3144.0,172.615385
29.0,135.0,41.0,743.0,1377.0,2348.0,78.276923
30.0,21.0,7.0,200.0,370.0,631.0,138.555556
31.0,31.0,10.0,412.0,764.0,1302.0,194.444444
32.0,4.0,2.0,12.0,22.0,37.0,45.0
33.0,20.0,6.0,252.0,467.0,796.0,185.666667
34.0,88.0,27.0,799.0,1480.0,2525.0,129.125
35.0,44.0,13.0,259.0,479.0,816.0,84.625
36.0,27.0,8.0,350.0,648.0,1105.0,187.5
37.0,38.0,12.0,513.0,951.0,1621.0,195.238095
38.0,118.0,36.0,719.0,1332.0,2272.0,86.546392
39.0,27.0,8.0,356.0,659.0,1125.0,190.782609
40.0,55.0,17.0,499.0,924.0,1576.0,130.76087
41.0,51.0,16.0,697.0,1290.0,2201.0,195.652174
42.0,109.0,33.0,1456.0,2698.0,4602.0,190.921569
43.0,117.0,35.0,1152.0,2134.0,3640.0,140.122449
44.0,128.0,39.0,1486.0,2753.0,4696.0,165.428571
45.0,40.0,12.0,317.0,586.0,999.0,113.029412
46.0,4.0,2.0,12.0,22.0,37.0,45.0
47.0,113.0,34.0,423.0,784.0,1337.0,53.103448
48.0,80.0,24.0,1025.0,1898.0,3237.0,183.125
49.0,67.0,20.0,922.0,1707.0,2912.0,197.674419
50.0,101.0,31.0,1407.0,2607.0,4447.0,197.674419
51.0,136.0,41.0,1813.0,3358.0,5728.0,189.258929
52.0,50.0,15.0,215.0,397.0,678.0,61.675676
53.0,44.0,13.0,375.0,695.0,1185.0,122.875
54.0,40.0,12.0,552.0,1021.0,1742.0,197.058824
55.0,94.0,29.0,586.0,1084.0,1849.0,88.516667
56.0,21.0,7.0,281.0,519.0,886.0,194.444444
57.0,21.0,7.0,129.0,238.0,406.0,89.166667
58.0,117.0,35.0,1426.0,2641.0,4506.0,173.430769
59.0,49.0,15.0,591.0,1094.0,1867.0,174.219512
60.0,135.0,41.0,1631.0,3021.0,5154.0,171.819277
61.0,58.0,18.0,800.0,1482.0,2529.0,196.666667
62.0,86.0,26.0,911.0,1687.0,2878.0,151.357143
63.0,57.0,17.0,299.0,554.0,945.0,75.0625
64.0,62.0,19.0,853.0,1581.0,2696.0,197.368421
65.0,87.0,26.0,580.0,1074.0,1832.0,94.978261
66.0,67.0,20.0,921.0,1706.0,2911.0,197.580645
67.0,45.0,14.0,427.0,790.0,1348.0,136.0
68.0,62.0,19.0,853.0,1581.0,2696.0,197.368421
69.0,71.0,22.0,793.0,1468.0,2504.0,158.477273
70.0,87.0,26.0,776.0,1437.0,2451.0,127.109589
71.0,112.0,34.0,737.0,1366.0,2330.0,93.521277
72.0,131.0,40.0,1074.0,1990.0,3395.0,116.27957
73.0,33.0,10.0,348.0,644.0,1099.0,151.933333
74.0,68.0,21.0,768.0,1422.0,2425.0,161.666667
75.0,69.0,21.0,316.0,586.0,999.0,65.411765
