node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,4.0,3.0,56.0,104.0,177.0,144.5
2.0,2.0,1.0,9.0,16.0,26.0,63.0
3.0,5.0,4.0,87.0,161.0,275.0,168.6
4.0,4.0,3.0,39.0,71.0,121.0,99.0
5.0,4.0,3.0,68.0,126.0,214.0,175.0
6.0,17.0,14.0,138.0,256.0,436.0,76.333
7.0,5.0,4.0,93.0,172.0,294.0,180.0
8.0,5.0,4.0,50.0,93.0,158.0,96.6
9.0,13.0,10.0,140.0,260.0,443.0,108.636
10.0,8.0,6.0,144.0,266.0,454.0,185.714
11.0,10.0,8.0,195.0,361.0,616.0,188.889
12.0,10.0,8.0,195.0,361.0,616.0,188.889
13.0,17.0,14.0,346.0,641.0,1093.0,191.667
14.0,16.0,13.0,232.0,430.0,733.0,138.357
15.0,2.0,1.0,9.0,16.0,26.0,63.0
16.0,5.0,4.0,93.0,172.0,294.0,180.0
17.0,5.0,4.0,93.0,172.0,294.0,180.0
18.0,7.0,5.0,72.0,133.0,226.0,110.833
19.0,2.0,1.0,10.0,17.0,29.0,70.0
20.0,2.0,1.0,9.0,16.0,26.0,63.0
21.0,2.0,1.0,9.0,16.0,26.0,63.0
22.0,5.0,4.0,33.0,61.0,104.0,63.6
23.0,4.0,3.0,68.0,126.0,214.0,175.0
24.0,7.0,5.0,81.0,149.0,255.0,124.833
25.0,2.0,1.0,9.0,16.0,26.0,63.0
