node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,4.0,3.0,19.0,35.0,60.0,48.666667
2.0,145.0,116.0,2022.0,3745.0,6389.0,130.72973
3.0,116.0,93.0,2215.0,4102.0,6998.0,178.983051
4.0,14.0,11.0,196.0,363.0,618.0,137.909091
5.0,115.0,92.0,1262.0,2337.0,3987.0,103.035714
6.0,52.0,42.0,661.0,1224.0,2087.0,119.172414
7.0,119.0,96.0,2113.0,3914.0,6676.0,165.581818
8.0,187.0,149.0,3984.0,7381.0,12592.0,199.471831
9.0,65.0,52.0,1298.0,2405.0,4103.0,186.545455
10.0,5.0,4.0,42.0,77.0,130.0,79.8
11.0,88.0,71.0,759.0,1406.0,2398.0,80.644068
12.0,39.0,31.0,813.0,1505.0,2567.0,196.969697
13.0,122.0,97.0,1953.0,3618.0,6171.0,150.019608
14.0,117.0,94.0,2488.0,4608.0,7861.0,198.979592
15.0,34.0,27.0,549.0,1016.0,1733.0,151.965517
16.0,4.0,3.0,18.0,33.0,55.0,45.0
17.0,91.0,73.0,829.0,1535.0,2618.0,85.704918
18.0,67.0,53.0,1211.0,2244.0,3827.0,170.857143
19.0,32.0,25.0,658.0,1219.0,2079.0,196.296296
20.0,40.0,32.0,655.0,1214.0,2070.0,154.029412
21.0,64.0,51.0,792.0,1467.0,2502.0,115.882353
22.0,52.0,42.0,1096.0,2030.0,3463.0,197.727273
23.0,107.0,86.0,1122.0,2078.0,3544.0,97.764706
24.0,33.0,26.0,337.0,625.0,1065.0,96.833333
25.0,89.0,72.0,1379.0,2555.0,4358.0,144.597015
26.0,32.0,25.0,535.0,990.0,1689.0,159.5
27.0,69.0,55.0,336.0,622.0,1060.0,45.642857
28.0,82.0,66.0,1513.0,2803.0,4781.0,172.615385
29.0,135.0,108.0,1130.0,2093.0,3571.0,78.276923
30.0,21.0,17.0,304.0,563.0,960.0,138.555556
31.0,31.0,25.0,627.0,1161.0,1980.0,194.444444
32.0,4.0,3.0,18.0,33.0,55.0,45.0
33.0,20.0,16.0,383.0,710.0,1210.0,185.666667
34.0,88.0,71.0,1215.0,2251.0,3839.0,129.125
35.0,44.0,35.0,393.0,728.0,1241.0,84.625
36.0,27.0,22.0,532.0,985.0,1680.0,187.5
37.0,38.0,30.0,780.0,1445.0,2465.0,195.238095
38.0,118.0,95.0,1093.0,2025.0,3455.0,86.546392
39.0,27.0,22.0,541.0,1002.0,1710.0,190.782609
40.0,55.0,44.0,759.0,1405.0,2397.0,130.76087
41.0,51.0,41.0,1059.0,1962.0,3347.0,195.652174
42.0,109.0,87.0,2215.0,4102.0,6998.0,190.921569
43.0,117.0,94.0,1752.0,3245.0,5536.0,140.122449
44.0,128.0,102.0,2260.0,4186.0,7142.0,165.428571
45.0,40.0,32.0,481.0,891.0,1519.0,113.029412
46.0,4.0,3.0,18.0,33.0,55.0,45.0
47.0,113.0,91.0,644.0,1192.0,2033.0,53.103448
