node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,1179.0,354.0,3468.0,6424.0,10959.0,41.672431
2.0,2683.0,805.0,5171.0,9579.0,16341.0,27.300984
3.0,2480.0,744.0,6919.0,12818.0,21867.0,39.523161
4.0,2583.0,775.0,2039.0,3777.0,6442.0,11.177815
5.0,1623.0,487.0,4037.0,7479.0,12758.0,35.235572
6.0,2579.0,774.0,5514.0,10215.0,17426.0,30.27907
7.0,2873.0,862.0,5650.0,10466.0,17854.0,27.848665
8.0,4162.0,1249.0,6997.0,12962.0,22112.0,23.808646
9.0,2774.0,832.0,5874.0,10881.0,18562.0,29.992354
10.0,763.0,229.0,1720.0,3185.0,5434.0,31.949686
11.0,2349.0,705.0,5066.0,9384.0,16009.0,30.545965
12.0,1838.0,552.0,2385.0,4417.0,7536.0,18.378218
13.0,2260.0,678.0,6535.0,12107.0,20653.0,40.955801
14.0,1523.0,457.0,3775.0,6993.0,11929.0,35.100787
15.0,2493.0,748.0,6604.0,12235.0,20872.0,37.524361
16.0,1540.0,462.0,3186.0,5902.0,10068.0,29.301527
17.0,3519.0,1056.0,5574.0,10326.0,17615.0,22.434168
18.0,1508.0,453.0,3983.0,7378.0,12587.0,37.420256
19.0,3398.0,1020.0,9102.0,16862.0,28765.0,37.941092
20.0,1526.0,458.0,3263.0,6045.0,10312.0,30.294025
