node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,33.0,26.0,274.0,506.0,864.0,78.5
2.0,34.0,27.0,367.0,680.0,1160.0,101.6667
3.0,7.0,5.0,16.0,29.0,49.0,24.0
4.0,32.0,25.0,362.0,671.0,1144.0,108.0
5.0,34.0,27.0,410.0,759.0,1294.0,113.4444
6.0,28.0,23.0,267.0,495.0,843.0,90.0
7.0,7.0,5.0,16.0,29.0,49.0,24.0
8.0,8.0,6.0,74.0,138.0,234.0,95.7143
9.0,7.0,5.0,16.0,29.0,49.0,24.0
10.0,23.0,19.0,582.0,1078.0,1838.0,237.5
11.0,58.0,47.0,622.0,1151.0,1964.0,100.4333
12.0,19.0,15.0,310.0,573.0,978.0,160.0
13.0,7.0,5.0,16.0,29.0,49.0,24.0
14.0,68.0,54.0,435.0,806.0,1374.0,60.2381
15.0,34.0,27.0,281.0,519.0,886.0,77.6471
16.0,20.0,16.0,112.0,207.0,352.0,54.0
17.0,27.0,22.0,366.0,677.0,1155.0,128.8889
18.0,17.0,14.0,233.0,431.0,735.0,128.8889
19.0,59.0,48.0,814.0,1508.0,2572.0,128.8889
20.0,92.0,73.0,523.0,968.0,1651.0,53.3333
21.0,25.0,20.0,473.0,876.0,1494.0,183.3333
22.0,26.0,21.0,115.0,212.0,361.0,42.1333
23.0,7.0,5.0,16.0,29.0,49.0,24.0
24.0,8.0,6.0,66.0,121.0,206.0,84.1429
25.0,7.0,5.0,16.0,29.0,49.0,24.0
26.0,20.0,16.0,289.0,534.0,911.0,139.7143
27.0,7.0,5.0,16.0,29.0,49.0,24.0
28.0,43.0,34.0,216.0,400.0,683.0,47.875
29.0,25.0,20.0,413.0,764.0,1304.0,160.0
30.0,67.0,53.0,953.0,1765.0,3011.0,134.4286
31.0,8.0,6.0,56.0,103.0,176.0,71.7143
32.0,7.0,5.0,16.0,29.0,49.0,24.0
33.0,19.0,15.0,158.0,291.0,497.0,81.25
34.0,63.0,50.0,855.0,1583.0,2701.0,127.5
35.0,13.0,10.0,117.0,216.0,368.0,90.3333
36.0,7.0,5.0,16.0,29.0,49.0,24.0
37.0,40.0,32.0,553.0,1025.0,1748.0,130.0
38.0,17.0,14.0,256.0,474.0,808.0,141.5714
39.0,7.0,5.0,16.0,29.0,49.0,24.0
40.0,7.0,5.0,91.0,169.0,288.0,141.0
41.0,7.0,5.0,16.0,29.0,49.0,24.0
42.0,7.0,5.0,16.0,29.0,49.0,24.0
43.0,7.0,5.0,16.0,29.0,49.0,24.0
44.0,7.0,5.0,16.0,29.0,49.0,24.0
45.0,59.0,48.0,466.0,863.0,1473.0,73.7727
46.0,8.0,6.0,32.0,58.0,99.0,40.4286
47.0,20.0,16.0,85.0,157.0,268.0,41.0667
48.0,17.0,14.0,225.0,417.0,711.0,124.5714
49.0,7.0,5.0,16.0,29.0,49.0,24.0
50.0,7.0,5.0,119.0,219.0,374.0,183.3333
51.0,53.0,43.0,176.0,326.0,556.0,31.0
52.0,7.0,5.0,16.0,29.0,49.0,24.0
53.0,31.0,25.0,344.0,637.0,1086.0,106.6667
54.0,7.0,5.0,16.0,29.0,49.0,24.0
55.0,31.0,25.0,226.0,418.0,712.0,69.9333
56.0,43.0,34.0,197.0,365.0,622.0,43.5882
57.0,7.0,5.0,16.0,29.0,49.0,24.0
58.0,49.0,39.0,376.0,696.0,1187.0,72.85
59.0,50.0,40.0,526.0,974.0,1661.0,99.4516
60.0,7.0,5.0,16.0,29.0,49.0,24.0
61.0,10.0,8.0,80.0,149.0,253.0,77.5556
62.0,35.0,28.0,447.0,828.0,1412.0,119.5
63.0,33.0,26.0,144.0,266.0,453.0,41.1429
64.0,10.0,8.0,61.0,113.0,193.0,59.1111
65.0,32.0,25.0,236.0,437.0,744.0,70.25
