node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,227.0,69.0,444.0,822.0,1401.0,27.68
2.0,212.0,64.0,559.0,1035.0,1766.0,37.452
3.0,170.0,51.0,394.0,730.0,1245.0,32.967
4.0,160.0,48.0,263.0,487.0,830.0,23.282
5.0,113.0,34.0,345.0,639.0,1091.0,43.303
6.0,148.0,45.0,352.0,652.0,1112.0,33.747
7.0,283.0,85.0,452.0,837.0,1428.0,22.681
8.0,182.0,55.0,486.0,899.0,1534.0,37.924
9.0,170.0,51.0,388.0,718.0,1224.0,32.412
10.0,155.0,47.0,426.0,789.0,1346.0,38.961
11.0,106.0,32.0,435.0,805.0,1373.0,58.231
12.0,133.0,40.0,539.0,999.0,1704.0,57.824
13.0,70.0,21.0,443.0,820.0,1398.0,90.0
14.0,227.0,69.0,462.0,856.0,1461.0,28.848
15.0,263.0,79.0,546.0,1010.0,1723.0,29.377
16.0,169.0,51.0,445.0,824.0,1406.0,37.488
17.0,302.0,91.0,544.0,1007.0,1718.0,25.545
18.0,105.0,32.0,330.0,611.0,1041.0,44.671
19.0,137.0,42.0,318.0,589.0,1005.0,32.895
20.0,179.0,54.0,390.0,723.0,1233.0,30.886
21.0,41.0,13.0,219.0,405.0,691.0,75.824
22.0,70.0,21.0,185.0,342.0,584.0,37.543
23.0,267.0,80.0,651.0,1206.0,2057.0,34.599
24.0,262.0,79.0,594.0,1100.0,1877.0,32.144
25.0,155.0,47.0,389.0,720.0,1228.0,35.521
